number,coordinate,dependencies
0,com.wmp.intellio:dataops-sdk_2.12:0.0.2,com.wmp.intellio:dataops-sdk_2.12:0.0.2;org.scala-lang:scala-library:2.12.10;com.typesafe.play:play-json_2.12:2.6.0;com.typesafe.play:play-functional_2.12:2.6.0;org.scala-lang:scala-reflect:2.12.2;org.typelevel:macro-compat_2.12:1.1.1;joda-time:joda-time:2.9.9;com.fasterxml.jackson.core:jackson-core:2.8.8;com.fasterxml.jackson.core:jackson-annotations:2.8.8;com.fasterxml.jackson.core:jackson-databind:2.8.8;com.fasterxml.jackson.datatype:jackson-datatype-jdk8:2.8.8;com.fasterxml.jackson.datatype:jackson-datatype-jsr310:2.8.8;com.typesafe:config:1.4.0;org.playframework.anorm:anorm-postgres_2.12:2.6.5;org.playframework.anorm:anorm_2.12:2.6.5;org.playframework.anorm:anorm-tokenizer_2.12:2.6.5;org.joda:joda-convert:2.2.1;org.scala-lang.modules:scala-parser-combinators_2.12:1.1.2;org.postgresql:postgresql:42.2.8;com.databricks:dbutils-api_2.11:0.0.4;com.amazonaws:aws-java-sdk-s3:1.11.865;com.amazonaws:aws-java-sdk-kms:1.11.865;com.amazonaws:aws-java-sdk-core:1.11.865;commons-logging:commons-logging:1.1.3;org.apache.httpcomponents:httpclient:4.5.9;org.apache.httpcomponents:httpcore:4.4.11;commons-codec:commons-codec:1.11;software.amazon.ion:ion-java:1.0.2;com.fasterxml.jackson.dataformat:jackson-dataformat-cbor:2.6.7;com.amazonaws:jmespath-java:1.11.865;com.amazonaws:aws-java-sdk-secretsmanager:1.11.865;com.amazonaws:aws-java-sdk-sns:1.11.865;com.amazonaws:aws-java-sdk-sqs:1.11.865;com.azure:azure-storage-blob:12.8.0;com.azure:azure-core:1.7.0;com.fasterxml.jackson.dataformat:jackson-dataformat-xml:2.10.1;com.fasterxml.jackson.module:jackson-module-jaxb-annotations:2.10.1;jakarta.xml.bind:jakarta.xml.bind-api:2.3.2;jakarta.activation:jakarta.activation-api:1.2.1;org.codehaus.woodstox:stax2-api:4.2;com.fasterxml.woodstox:woodstox-core:6.0.2;org.slf4j:slf4j-api:1.7.30;io.projectreactor:reactor-core:3.3.8.RELEASE;org.reactivestreams:reactive-streams:1.0.3;io.netty:netty-tcnative-boringssl-static:2.0.31.Final;com.azure:azure-storage-common:12.8.0;com.azure:azure-core-http-netty:1.5.4;io.netty:netty-handler:4.1.51.Final;io.netty:netty-common:4.1.51.Final;io.netty:netty-resolver:4.1.51.Final;io.netty:netty-transport:4.1.51.Final;io.netty:netty-codec:4.1.51.Final;io.netty:netty-handler-proxy:4.1.51.Final;io.netty:netty-codec-socks:4.1.51.Final;io.netty:netty-buffer:4.1.51.Final;io.netty:netty-codec-http:4.1.51.Final;io.netty:netty-codec-http2:4.1.51.Final;io.netty:netty-transport-native-unix-common:4.1.51.Final;io.netty:netty-transport-native-epoll:4.1.51.Final;io.netty:netty-transport-native-kqueue:4.1.51.Final;io.projectreactor.netty:reactor-netty:0.9.10.RELEASE;com.azure:azure-storage-internal-avro:12.0.0;org.apache.commons:commons-text:1.3;org.apache.commons:commons-lang3:3.7
1,net.n2oapp.platform:n2o-platform-starter-jwt:4.2.5,net.n2oapp.platform:n2o-platform-starter-jwt:4.2.5;net.n2oapp.platform:n2o-platform-security-autoconfigure:4.2.5;org.springframework.boot:spring-boot-starter-web:2.3.4.RELEASE;org.springframework.boot:spring-boot-starter:2.3.4.RELEASE;org.springframework.boot:spring-boot-starter-logging:2.3.4.RELEASE;org.apache.logging.log4j:log4j-to-slf4j:2.13.3;org.apache.logging.log4j:log4j-api:2.13.3;org.slf4j:jul-to-slf4j:1.7.30;jakarta.annotation:jakarta.annotation-api:1.3.5;org.springframework:spring-core:5.2.9.RELEASE;org.springframework:spring-jcl:5.2.9.RELEASE;org.yaml:snakeyaml:1.26;org.springframework.boot:spring-boot-starter-json:2.3.4.RELEASE;com.fasterxml.jackson.datatype:jackson-datatype-jdk8:2.11.2;com.fasterxml.jackson.datatype:jackson-datatype-jsr310:2.11.2;com.fasterxml.jackson.module:jackson-module-parameter-names:2.11.2;org.springframework.boot:spring-boot-starter-tomcat:2.3.4.RELEASE;org.apache.tomcat.embed:tomcat-embed-core:9.0.38;org.glassfish:jakarta.el:3.0.3;org.apache.tomcat.embed:tomcat-embed-websocket:9.0.38;org.springframework:spring-web:5.2.9.RELEASE;org.springframework:spring-beans:5.2.9.RELEASE;org.springframework:spring-webmvc:5.2.9.RELEASE;org.springframework:spring-aop:5.2.9.RELEASE;org.springframework:spring-context:5.2.9.RELEASE;org.springframework:spring-expression:5.2.9.RELEASE;org.springframework.security.oauth.boot:spring-security-oauth2-autoconfigure:2.1.2.RELEASE;com.fasterxml.jackson.core:jackson-annotations:2.9.0;com.fasterxml.jackson.core:jackson-databind:2.9.8;com.fasterxml.jackson.core:jackson-core:2.9.8;com.sun.xml.bind:jaxb-core:2.3.0.1;com.sun.xml.bind:jaxb-impl:2.3.0.1;javax.xml.bind:jaxb-api:2.4.0-b180830.0359;javax.activation:javax.activation-api:1.2.0;org.springframework.boot:spring-boot:2.1.2.RELEASE;org.springframework.boot:spring-boot-autoconfigure:2.1.2.RELEASE;org.springframework.security.oauth:spring-security-oauth2:2.3.4.RELEASE;org.springframework.security:spring-security-core:3.2.10.RELEASE;aopalliance:aopalliance:1.0;org.springframework.security:spring-security-config:3.2.10.RELEASE;org.springframework.security:spring-security-web:3.2.10.RELEASE;commons-codec:commons-codec:1.9;org.codehaus.jackson:jackson-mapper-asl:1.9.13;org.codehaus.jackson:jackson-core-asl:1.9.13;org.springframework.security:spring-security-jwt:1.0.9.RELEASE;org.bouncycastle:bcpkix-jdk15on:1.56;org.bouncycastle:bcprov-jdk15on:1.56;org.slf4j:slf4j-api:1.7.30;ch.qos.logback:logback-classic:1.2.3;ch.qos.logback:logback-core:1.2.3;org.slf4j:log4j-over-slf4j:1.7.30
2,org.toile-libre.libe:curl:0.0.39,org.toile-libre.libe:curl:0.0.39;commons-cli:commons-cli:1.4;org.apache.httpcomponents:httpmime:4.5.13;org.apache.httpcomponents:httpclient:4.5.13;org.apache.httpcomponents:httpcore:4.4.13;commons-logging:commons-logging:1.2;commons-codec:commons-codec:1.11
3,net.n2oapp.platform:n2o-platform-actuator-autoconfigure:4.2.4,net.n2oapp.platform:n2o-platform-actuator-autoconfigure:4.2.4;org.springframework.boot:spring-boot-autoconfigure:2.3.4.RELEASE;org.springframework.boot:spring-boot:2.3.4.RELEASE;org.springframework:spring-core:5.2.9.RELEASE;org.springframework:spring-jcl:5.2.9.RELEASE;org.springframework:spring-context:5.2.9.RELEASE;org.springframework:spring-aop:5.2.9.RELEASE;org.springframework:spring-beans:5.2.9.RELEASE;org.springframework:spring-expression:5.2.9.RELEASE;org.springframework.boot:spring-boot-actuator:2.3.4.RELEASE;org.springframework.boot:spring-boot-actuator-autoconfigure:2.3.4.RELEASE;com.fasterxml.jackson.core:jackson-databind:2.11.2;com.fasterxml.jackson.core:jackson-annotations:2.11.2;com.fasterxml.jackson.core:jackson-core:2.11.2;com.fasterxml.jackson.datatype:jackson-datatype-jsr310:2.11.2;org.slf4j:slf4j-api:1.7.30;ch.qos.logback:logback-classic:1.2.3;ch.qos.logback:logback-core:1.2.3;org.slf4j:log4j-over-slf4j:1.7.30
4,com.truthbean.debbie:debbie-kafka:0.1.0-RELEASE,com.truthbean.debbie:debbie-kafka:0.1.0-RELEASE;com.truthbean.debbie:debbie-core:0.1.0-RELEASE;com.truthbean.logger:logger-core:0.2.0-RELEASE;org.ow2.asm:asm:8.0.1;com.fasterxml.jackson.dataformat:jackson-dataformat-xml:2.10.5;com.fasterxml.jackson.module:jackson-module-jaxb-annotations:2.10.5;jakarta.xml.bind:jakarta.xml.bind-api:2.3.2;jakarta.activation:jakarta.activation-api:1.2.1;org.codehaus.woodstox:stax2-api:4.2.1;com.fasterxml.woodstox:woodstox-core:6.2.1;com.fasterxml.jackson.dataformat:jackson-dataformat-yaml:2.10.5;org.yaml:snakeyaml:1.26;org.apache.kafka:kafka-clients:2.5.1;com.github.luben:zstd-jni:1.4.4-7;org.lz4:lz4-java:1.7.1;org.xerial.snappy:snappy-java:1.1.7.3;org.slf4j:slf4j-api:1.7.30;com.fasterxml.jackson.datatype:jackson-datatype-jsr310:2.10.5;com.fasterxml.jackson.core:jackson-annotations:2.10.5;com.fasterxml.jackson.core:jackson-core:2.10.5;com.fasterxml.jackson.core:jackson-databind:2.10.5;com.truthbean.logger:slf4j-boot:0.2.0-RELEASE;com.truthbean.logger:slf4j-adapter:0.2.0-RELEASE;ch.qos.logback:logback-classic:1.2.3;ch.qos.logback:logback-core:1.2.3;org.slf4j:osgi-over-slf4j:1.7.30;org.slf4j:jcl-over-slf4j:1.7.30;org.slf4j:log4j-over-slf4j:1.7.30;org.slf4j:jul-to-slf4j:1.7.30
5,net.exoego:aws-sdk-scalajs-facade-apigatewayv2_sjs1_2.12:0.32.0-v2.798.0,net.exoego:aws-sdk-scalajs-facade-apigatewayv2_sjs1_2.12:0.32.0-v2.798.0;org.scala-lang:scala-library:2.12.12;net.exoego:aws-sdk-scalajs-facade-core_sjs1_2.12:0.32.0-v2.798.0;org.scala-js:scalajs-library_2.12:1.3.1
6,org.appsweaver.starter.oss-commons.spring:oss-commons-spring-web:1.3.4,org.appsweaver.starter.oss-commons.spring:oss-commons-spring-web:1.3.4;org.appsweaver.starter.oss-commons.spring:oss-commons-spring-services:1.3.4;commons-beanutils:commons-beanutils:1.9.4;commons-logging:commons-logging:1.2;commons-collections:commons-collections:3.2.2;org.appsweaver.starter.oss-commons.spring:oss-commons-spring-jpa:1.3.4;org.springframework.boot:spring-boot-starter-data-jpa:2.1.6.RELEASE;org.springframework.boot:spring-boot-starter-aop:2.1.6.RELEASE;org.aspectj:aspectjweaver:1.9.4;org.springframework.boot:spring-boot-starter-jdbc:2.1.6.RELEASE;com.zaxxer:HikariCP:3.2.0;org.springframework:spring-jdbc:5.1.8.RELEASE;javax.transaction:javax.transaction-api:1.3;javax.xml.bind:jaxb-api:2.3.1;javax.activation:javax.activation-api:1.2.0;org.hibernate:hibernate-core:5.3.10.Final;javax.persistence:javax.persistence-api:2.2;org.javassist:javassist:3.23.2-GA;antlr:antlr:2.7.7;org.jboss:jandex:2.0.5.Final;org.dom4j:dom4j:2.1.1;org.springframework.data:spring-data-jpa:2.1.9.RELEASE;org.springframework:spring-orm:5.1.8.RELEASE;org.springframework:spring-aspects:5.1.8.RELEASE;org.hibernate:hibernate-search-engine:5.10.4.Final;org.hibernate.common:hibernate-commons-annotations:5.0.4.Final;org.apache.lucene:lucene-core:5.5.5;org.apache.lucene:lucene-misc:5.5.5;org.apache.lucene:lucene-analyzers-common:5.5.5;org.apache.lucene:lucene-facet:5.5.5;org.hibernate:hibernate-search-orm:5.10.4.Final;org.apache.lucene:lucene-queryparser:5.5.5;org.apache.lucene:lucene-queries:5.5.5;org.apache.lucene:lucene-sandbox:5.5.5;org.flywaydb:flyway-core:5.2.4;org.springframework:spring-messaging:5.1.8.RELEASE;org.appsweaver.starter.oss-commons.utilities:oss-commons-test-utilities:1.3.4;org.springframework.boot:spring-boot-starter-test:2.1.6.RELEASE;org.springframework.boot:spring-boot-test:2.1.6.RELEASE;org.springframework.boot:spring-boot-test-autoconfigure:2.1.6.RELEASE;com.jayway.jsonpath:json-path:2.4.0;net.minidev:json-smart:2.3;net.minidev:accessors-smart:1.2;org.ow2.asm:asm:5.0.4;junit:junit:4.12;org.assertj:assertj-core:3.11.1;org.mockito:mockito-core:2.23.4;net.bytebuddy:byte-buddy-agent:1.9.3;org.objenesis:objenesis:2.6;org.hamcrest:hamcrest-core:1.3;org.hamcrest:hamcrest-library:1.3;org.skyscreamer:jsonassert:1.5.0;com.vaadin.external.google:android-json:0.0.20131108.vaadin1;org.springframework:spring-test:5.1.8.RELEASE;org.xmlunit:xmlunit-core:2.6.2;org.springframework.data:spring-data-commons:2.1.9.RELEASE;org.appsweaver.starter.oss-commons.models:oss-commons-constants:1.3.4;org.apache.commons:commons-lang3:3.8.1;org.appsweaver.starter.oss-commons.models:oss-commons-models:1.3.4;org.springframework:spring-web:5.1.8.RELEASE;com.fasterxml.jackson.core:jackson-annotations:2.9.0;com.fasterxml.jackson.core:jackson-databind:2.9.9;com.fasterxml.jackson.core:jackson-core:2.9.9;org.appsweaver.starter.oss-commons.spring:oss-commons-spring:1.3.4;org.springframework.cloud:spring-cloud-starter-netflix-eureka-client:2.1.1.RELEASE;org.springframework.cloud:spring-cloud-starter:2.1.1.RELEASE;org.springframework.cloud:spring-cloud-context:2.1.1.RELEASE;org.springframework.security:spring-security-crypto:5.1.4.RELEASE;org.springframework.cloud:spring-cloud-commons:2.1.1.RELEASE;org.springframework.security:spring-security-rsa:1.0.7.RELEASE;org.bouncycastle:bcpkix-jdk15on:1.60;org.springframework.cloud:spring-cloud-netflix-hystrix:2.1.1.RELEASE;org.springframework.cloud:spring-cloud-netflix-eureka-client:2.1.1.RELEASE;com.netflix.eureka:eureka-client:1.9.8;org.codehaus.jettison:jettison:1.3.7;stax:stax-api:1.0.1;com.netflix.netflix-commons:netflix-eventbus:0.3.0;com.netflix.netflix-commons:netflix-infix:0.3.0;commons-jxpath:commons-jxpath:1.3;joda-time:joda-time:2.3;org.antlr:antlr-runtime:3.4;org.antlr:stringtemplate:3.2.1;org.apache.commons:commons-math:2.2;com.netflix.archaius:archaius-core:0.7.6;javax.ws.rs:jsr311-api:1.1.1;com.netflix.servo:servo-core:0.12.21;com.google.inject:guice:4.1.0;javax.inject:javax.inject:1;aopalliance:aopalliance:1.0;com.github.vlsi.compactmap:compactmap:1.2.1;com.github.andrewoma.dexx:dexx-collections:0.2;com.netflix.eureka:eureka-core:1.9.8;org.codehaus.woodstox:woodstox-core-asl:4.4.1;javax.xml.stream:stax-api:1.0-2;org.codehaus.woodstox:stax2-api:3.1.4;org.springframework.cloud:spring-cloud-starter-netflix-archaius:2.1.1.RELEASE;org.springframework.cloud:spring-cloud-netflix-ribbon:2.1.1.RELEASE;org.springframework.cloud:spring-cloud-netflix-archaius:2.1.1.RELEASE;commons-configuration:commons-configuration:1.8;commons-lang:commons-lang:2.6;org.springframework.cloud:spring-cloud-starter-netflix-ribbon:2.1.1.RELEASE;com.netflix.ribbon:ribbon:2.3.0;com.netflix.ribbon:ribbon-transport:2.3.0;io.reactivex:rxnetty-contexts:0.4.9;io.reactivex:rxnetty-servo:0.4.9;com.netflix.hystrix:hystrix-core:1.4.3;io.reactivex:rxnetty:0.4.9;com.netflix.ribbon:ribbon-core:2.3.0;com.netflix.ribbon:ribbon-httpclient:2.3.0;com.netflix.netflix-commons:netflix-commons-util:0.1.1;com.netflix.ribbon:ribbon-loadbalancer:2.3.0;com.netflix.netflix-commons:netflix-statistics:0.1.1;io.reactivex:rxjava:1.2.0;com.netflix.ribbon:ribbon-eureka:2.3.0;com.thoughtworks.xstream:xstream:1.4.10;xmlpull:xmlpull:1.1.3.1;xpp3:xpp3_min:1.1.4c;javax.servlet:javax.servlet-api:4.0.1;org.cryptacular:cryptacular:1.2.2;org.bouncycastle:bcprov-jdk15on:1.59;com.auth0:java-jwt:3.8.0;com.opencsv:opencsv:5.0;org.apache.commons:commons-collections4:4.4;org.apache.poi:poi-ooxml:4.1.1;org.apache.poi:poi:4.1.1;org.apache.commons:commons-math3:3.6.1;org.apache.poi:poi-ooxml-schemas:4.1.1;org.apache.xmlbeans:xmlbeans:3.1.0;org.apache.commons:commons-compress:1.19;com.github.virtuald:curvesapi:1.06;org.apache.httpcomponents:httpclient:4.5.9;org.apache.httpcomponents:httpcore:4.4.11;org.jasypt:jasypt:1.9.3;com.github.ulisesbocchio:jasypt-spring-boot:2.1.0;org.appsweaver.starter.oss-commons.utilities:oss-commons-utilities:1.3.4;com.github.lalyos:jfiglet:0.0.7;org.apache.commons:commons-text:1.4;javax.mail:javax.mail-api:1.6.2;com.sun.mail:javax.mail:1.6.2;javax.activation:activation:1.1;commons-codec:commons-codec:1.11;com.google.code.gson:gson:2.8.5;com.github.drapostolos:type-parser:0.6.0;com.google.guava:guava:23.0;com.google.code.findbugs:jsr305:1.3.9;com.google.errorprone:error_prone_annotations:2.0.18;com.google.j2objc:j2objc-annotations:1.1;org.codehaus.mojo:animal-sniffer-annotations:1.14;commons-io:commons-io:2.6;org.hashids:hashids:1.0.3;io.springfox:springfox-swagger2:2.9.2;io.swagger:swagger-annotations:1.5.20;io.swagger:swagger-models:1.5.20;io.springfox:springfox-spi:2.9.2;io.springfox:springfox-core:2.9.2;net.bytebuddy:byte-buddy:1.8.12;io.springfox:springfox-schema:2.9.2;io.springfox:springfox-swagger-common:2.9.2;io.springfox:springfox-spring-web:2.9.2;com.fasterxml:classmate:1.4.0;org.springframework.plugin:spring-plugin-core:1.2.0.RELEASE;org.springframework.plugin:spring-plugin-metadata:1.2.0.RELEASE;org.mapstruct:mapstruct:1.2.0.Final;org.springframework.boot:spring-boot-starter-web:2.1.6.RELEASE;org.springframework.boot:spring-boot-starter:2.1.6.RELEASE;org.springframework.boot:spring-boot:2.1.6.RELEASE;org.springframework.boot:spring-boot-autoconfigure:2.1.6.RELEASE;javax.annotation:javax.annotation-api:1.3.2;org.yaml:snakeyaml:1.23;org.springframework.boot:spring-boot-starter-json:2.1.6.RELEASE;com.fasterxml.jackson.datatype:jackson-datatype-jdk8:2.9.9;com.fasterxml.jackson.datatype:jackson-datatype-jsr310:2.9.9;com.fasterxml.jackson.module:jackson-module-parameter-names:2.9.9;org.hibernate.validator:hibernate-validator:6.0.17.Final;javax.validation:validation-api:2.0.1.Final;org.jboss.logging:jboss-logging:3.3.2.Final;org.springframework:spring-webmvc:5.1.8.RELEASE;org.springframework:spring-expression:5.1.8.RELEASE;org.springframework.boot:spring-boot-starter-security:2.1.6.RELEASE;org.springframework:spring-aop:5.1.8.RELEASE;org.springframework.security:spring-security-config:5.1.5.RELEASE;org.springframework.security:spring-security-web:5.1.5.RELEASE;org.springframework:spring-websocket:5.1.8.RELEASE;org.springframework:spring-context:5.1.8.RELEASE;org.springframework:spring-core:5.1.8.RELEASE;org.springframework:spring-jcl:5.1.8.RELEASE;org.springframework.security:spring-security-ldap:5.1.5.RELEASE;org.springframework.ldap:spring-ldap-core:2.3.2.RELEASE;org.springframework.security:spring-security-core:5.1.5.RELEASE;org.springframework:spring-beans:5.1.6.RELEASE;org.springframework:spring-tx:5.1.6.RELEASE;org.projectlombok:lombok:1.18.8;org.springframework.boot:spring-boot-configuration-processor:2.1.6.RELEASE;org.springframework.boot:spring-boot-starter-logging:2.1.6.RELEASE;ch.qos.logback:logback-classic:1.2.3;ch.qos.logback:logback-core:1.2.3;org.apache.logging.log4j:log4j-to-slf4j:2.11.2;org.apache.logging.log4j:log4j-api:2.11.2;org.slf4j:jul-to-slf4j:1.7.26;org.slf4j:slf4j-api:1.7.26
7,com.github.huifer:view-redis-core:1.1-Releases-hotfix,com.github.huifer:view-redis-core:1.1-Releases-hotfix;org.springframework.boot:spring-boot-starter-data-redis:2.3.3.RELEASE;org.springframework.boot:spring-boot-starter:2.3.3.RELEASE;org.springframework.boot:spring-boot:2.3.3.RELEASE;org.springframework:spring-context:5.2.8.RELEASE;org.springframework:spring-expression:5.2.8.RELEASE;org.springframework.boot:spring-boot-autoconfigure:2.3.3.RELEASE;org.springframework.boot:spring-boot-starter-logging:2.3.3.RELEASE;ch.qos.logback:logback-classic:1.2.3;ch.qos.logback:logback-core:1.2.3;org.apache.logging.log4j:log4j-to-slf4j:2.13.3;org.apache.logging.log4j:log4j-api:2.13.3;org.slf4j:jul-to-slf4j:1.7.30;jakarta.annotation:jakarta.annotation-api:1.3.5;org.springframework:spring-core:5.2.8.RELEASE;org.springframework:spring-jcl:5.2.8.RELEASE;org.yaml:snakeyaml:1.26;org.springframework.data:spring-data-redis:2.3.3.RELEASE;org.springframework.data:spring-data-keyvalue:2.3.3.RELEASE;org.springframework.data:spring-data-commons:2.3.3.RELEASE;org.springframework:spring-tx:5.2.8.RELEASE;org.springframework:spring-beans:5.2.8.RELEASE;org.springframework:spring-oxm:5.2.8.RELEASE;org.springframework:spring-aop:5.2.8.RELEASE;org.springframework:spring-context-support:5.2.8.RELEASE;org.slf4j:slf4j-api:1.7.26;io.lettuce:lettuce-core:5.3.3.RELEASE;io.netty:netty-common:4.1.51.Final;io.netty:netty-handler:4.1.51.Final;io.netty:netty-resolver:4.1.51.Final;io.netty:netty-buffer:4.1.51.Final;io.netty:netty-codec:4.1.51.Final;io.netty:netty-transport:4.1.51.Final;io.projectreactor:reactor-core:3.3.9.RELEASE;org.reactivestreams:reactive-streams:1.0.3
8,com.github.mizool.technology.typemapping.store:store-cassandra:0.31,com.github.mizool.technology.typemapping.store:store-cassandra:0.31;com.datastax.cassandra:cassandra-driver-core:3.6.0;io.netty:netty-handler:4.0.56.Final;io.netty:netty-buffer:4.0.56.Final;io.netty:netty-common:4.0.56.Final;io.netty:netty-transport:4.0.56.Final;io.netty:netty-codec:4.0.56.Final;com.google.guava:guava:19.0;io.dropwizard.metrics:metrics-core:3.2.2;org.slf4j:slf4j-api:1.7.25;com.github.jnr:jnr-ffi:2.1.7;com.github.jnr:jffi:1.2.16;com.github.jnr:jffi:1.2.16;org.ow2.asm:asm:5.0.3;org.ow2.asm:asm-commons:5.0.3;org.ow2.asm:asm-analysis:5.0.3;org.ow2.asm:asm-tree:5.0.3;org.ow2.asm:asm-util:5.0.3;com.github.jnr:jnr-x86asm:1.0.2;com.github.jnr:jnr-posix:3.0.44;com.github.jnr:jnr-constants:0.9.9;com.github.mizool:mizool-core:0.31;com.beust:jcommander:1.58;javax.validation:validation-api:1.1.0.Final;javax.ws.rs:javax.ws.rs-api:2.0.1;org.antlr:ST4:4.0.7;org.antlr:antlr-runtime:3.5;org.antlr:stringtemplate:3.2.1;antlr:antlr:2.7.7;com.github.mizool.technology.table-access:table-access-business:0.31;com.github.mizool.technology.typemapping:typemapping-business:0.31;javax.inject:javax.inject:1;org.projectlombok:lombok:1.16.12
9,nl.tvos.sdi4j:sdi4j-processor:1.0.5,nl.tvos.sdi4j:sdi4j-processor:1.0.5;nl.tvos.sdi4j:sdi4j-runtime:1.0.5;com.squareup:javapoet:1.12.1;org.apache.commons:commons-text:1.8;org.apache.commons:commons-lang3:3.9;commons-io:commons-io:2.7;javax.inject:javax.inject:1
