number,coordinate,dependencies
0,us.fatehi:schemacrawler-api:16.11.4,us.fatehi:schemacrawler-api:16.11.4;us.fatehi:schemacrawler-utility:16.11.4
1,com.google.api.grpc:proto-google-cloud-bigtable-admin-v2:1.12.1,com.google.api.grpc:proto-google-cloud-bigtable-admin-v2:1.12.1;com.google.api:api-common:1.9.0;com.google.code.findbugs:jsr305:3.0.2;javax.annotation:javax.annotation-api:1.3.2;com.google.auto.value:auto-value-annotations:1.7;com.google.guava:guava:29.0-android;com.google.guava:failureaccess:1.0.1;com.google.guava:listenablefuture:9999.0-empty-to-avoid-conflict-with-guava;org.checkerframework:checker-compat-qual:2.5.5;com.google.errorprone:error_prone_annotations:2.3.4;com.google.j2objc:j2objc-annotations:1.3;com.google.api.grpc:proto-google-common-protos:1.18.0;com.google.api.grpc:proto-google-iam-v1:0.13.0;com.google.protobuf:protobuf-java:3.11.4
2,com.oracle.oci.sdk:oci-java-sdk-filestorage:1.23.0,com.oracle.oci.sdk:oci-java-sdk-filestorage:1.23.0;com.oracle.oci.sdk:oci-java-sdk-common:1.23.0;com.google.guava:guava:27.1-jre;com.google.guava:failureaccess:1.0.1;com.google.guava:listenablefuture:9999.0-empty-to-avoid-conflict-with-guava;org.checkerframework:checker-qual:2.5.2;com.google.errorprone:error_prone_annotations:2.2.0;com.google.j2objc:j2objc-annotations:1.1;org.codehaus.mojo:animal-sniffer-annotations:1.17;commons-codec:commons-codec:1.13;commons-io:commons-io:2.6;org.apache.commons:commons-lang3:3.8.1;com.google.code.findbugs:jsr305:3.0.2;com.fasterxml.jackson.datatype:jackson-datatype-jsr310:2.10.1;com.fasterxml.jackson.core:jackson-annotations:2.10.1;com.fasterxml.jackson.core:jackson-core:2.10.1;com.fasterxml.jackson.core:jackson-databind:2.10.1;com.fasterxml.jackson.datatype:jackson-datatype-jdk8:2.10.1;org.glassfish.jersey.core:jersey-client:2.27;org.glassfish.jersey.core:jersey-common:2.27;javax.annotation:javax.annotation-api:1.2;org.glassfish.hk2:osgi-resource-locator:1.0.1;org.glassfish.hk2.external:javax.inject:2.5.0-b42;org.glassfish.jersey.inject:jersey-hk2:2.27;org.glassfish.hk2:hk2-locator:2.5.0-b42;org.glassfish.hk2.external:aopalliance-repackaged:2.5.0-b42;org.glassfish.hk2:hk2-api:2.5.0-b42;javax.inject:javax.inject:1;org.glassfish.hk2:hk2-utils:2.5.0-b42;org.javassist:javassist:3.22.0-CR2;org.glassfish.jersey.media:jersey-media-json-jackson:2.27;org.glassfish.jersey.ext:jersey-entity-filtering:2.27;com.fasterxml.jackson.module:jackson-module-jaxb-annotations:2.8.10;org.bouncycastle:bcpkix-jdk15on:1.60;org.bouncycastle:bcprov-jdk15on:1.60;com.nimbusds:nimbus-jose-jwt:8.5;com.github.stephenc.jcip:jcip-annotations:1.0-1;net.minidev:json-smart:2.3;net.minidev:accessors-smart:1.2;org.ow2.asm:asm:5.0.4;io.github.resilience4j:resilience4j-circuitbreaker:1.2.0;io.vavr:vavr:0.10.0;io.vavr:vavr-match:0.10.0;io.github.resilience4j:resilience4j-core:1.2.0;com.oracle.oci.sdk:oci-java-sdk-circuitbreaker:1.23.0;javax.ws.rs:javax.ws.rs-api:2.1;org.slf4j:slf4j-api:1.7.29
3,software.amazon.awssdk:personalizeevents:2.16.27,software.amazon.awssdk:personalizeevents:2.16.27;software.amazon.awssdk:protocol-core:2.16.27;software.amazon.awssdk:aws-json-protocol:2.16.27;com.fasterxml.jackson.core:jackson-core:2.12.1;software.amazon.awssdk:sdk-core:2.16.27;software.amazon.awssdk:profiles:2.16.27;org.slf4j:slf4j-api:1.7.28;com.fasterxml.jackson.core:jackson-databind:2.12.1;org.reactivestreams:reactive-streams:1.0.2;software.amazon.awssdk:auth:2.16.27;software.amazon.eventstream:eventstream:1.0.1;software.amazon.awssdk:http-client-spi:2.16.27;software.amazon.awssdk:regions:2.16.27;com.fasterxml.jackson.core:jackson-annotations:2.12.1;software.amazon.awssdk:annotations:2.16.27;software.amazon.awssdk:utils:2.16.27;software.amazon.awssdk:aws-core:2.16.27;software.amazon.awssdk:metrics-spi:2.16.27;software.amazon.awssdk:apache-client:2.16.27;org.apache.httpcomponents:httpclient:4.5.13;commons-logging:commons-logging:1.2;commons-codec:commons-codec:1.11;org.apache.httpcomponents:httpcore:4.4.11;software.amazon.awssdk:netty-nio-client:2.16.27;io.netty:netty-codec-http:4.1.60.Final;io.netty:netty-codec-http2:4.1.60.Final;io.netty:netty-codec:4.1.60.Final;io.netty:netty-transport:4.1.60.Final;io.netty:netty-resolver:4.1.60.Final;io.netty:netty-common:4.1.60.Final;io.netty:netty-buffer:4.1.60.Final;io.netty:netty-handler:4.1.60.Final;io.netty:netty-transport-native-epoll:4.1.60.Final;io.netty:netty-transport-native-unix-common:4.1.60.Final;com.typesafe.netty:netty-reactive-streams-http:2.0.4;com.typesafe.netty:netty-reactive-streams:2.0.4
4,io.github.vigoo:zio-aws-pi_2.13:3.15.35.1,io.github.vigoo:zio-aws-pi_2.13:3.15.35.1;org.scala-lang:scala-library:2.13.3;io.github.vigoo:zio-aws-core_2.13:3.15.35.1;software.amazon.awssdk:aws-core:2.15.35;software.amazon.awssdk:profiles:2.15.35;org.slf4j:slf4j-api:1.7.28;software.amazon.eventstream:eventstream:1.0.1;dev.zio:zio_2.13:1.0.3;dev.zio:zio-stacktracer_2.13:1.0.3;dev.zio:izumi-reflect_2.13:1.0.0-M9;dev.zio:izumi-reflect-thirdparty-boopickle-shaded_2.13:1.0.0-M9;dev.zio:zio-streams_2.13:1.0.3;dev.zio:zio-interop-reactivestreams_2.13:1.3.0.7-2;org.reactivestreams:reactive-streams:1.0.3;dev.zio:zio-config_2.13:1.0.0-RC30-1;org.scala-lang.modules:scala-collection-compat_2.13:2.3.1;software.amazon.awssdk:pi:2.15.35;software.amazon.awssdk:protocol-core:2.15.35;software.amazon.awssdk:aws-json-protocol:2.15.35;com.fasterxml.jackson.core:jackson-core:2.10.4;software.amazon.awssdk:sdk-core:2.15.35;com.fasterxml.jackson.core:jackson-databind:2.10.4;software.amazon.awssdk:auth:2.15.35;software.amazon.awssdk:http-client-spi:2.15.35;software.amazon.awssdk:regions:2.15.35;com.fasterxml.jackson.core:jackson-annotations:2.10.4;software.amazon.awssdk:annotations:2.15.35;software.amazon.awssdk:utils:2.15.35;software.amazon.awssdk:metrics-spi:2.15.35;software.amazon.awssdk:apache-client:2.15.35;org.apache.httpcomponents:httpclient:4.5.13;commons-logging:commons-logging:1.2;commons-codec:commons-codec:1.11;org.apache.httpcomponents:httpcore:4.4.11;software.amazon.awssdk:netty-nio-client:2.15.35;io.netty:netty-codec-http:4.1.53.Final;io.netty:netty-codec-http2:4.1.53.Final;io.netty:netty-codec:4.1.53.Final;io.netty:netty-transport:4.1.53.Final;io.netty:netty-resolver:4.1.53.Final;io.netty:netty-common:4.1.53.Final;io.netty:netty-buffer:4.1.53.Final;io.netty:netty-handler:4.1.53.Final;io.netty:netty-transport-native-epoll:4.1.53.Final;io.netty:netty-transport-native-unix-common:4.1.53.Final;com.typesafe.netty:netty-reactive-streams-http:2.0.4;com.typesafe.netty:netty-reactive-streams:2.0.4
5,com.bybutter.sisyphus.middleware:sisyphus-hbase:1.0.2,com.bybutter.sisyphus.middleware:sisyphus-hbase:1.0.2;org.jetbrains.kotlin:kotlin-stdlib-jdk8:1.4.31;org.jetbrains.kotlin:kotlin-stdlib:1.4.31;org.jetbrains:annotations:13.0;org.jetbrains.kotlin:kotlin-stdlib-jdk7:1.4.31;org.jetbrains.kotlin:kotlin-reflect:1.4.31;org.jetbrains.kotlinx:kotlinx-coroutines-core:1.4.2;org.jetbrains.kotlin:kotlin-stdlib-common:1.4.0;org.springframework.boot:spring-boot-starter:2.4.3;org.springframework.boot:spring-boot:2.4.3;org.springframework:spring-context:5.3.4;org.springframework:spring-aop:5.3.4;org.springframework:spring-beans:5.3.4;org.springframework:spring-expression:5.3.4;org.springframework.boot:spring-boot-autoconfigure:2.4.3;org.springframework.boot:spring-boot-starter-logging:2.4.3;ch.qos.logback:logback-classic:1.2.3;ch.qos.logback:logback-core:1.2.3;org.apache.logging.log4j:log4j-to-slf4j:2.13.3;org.apache.logging.log4j:log4j-api:2.13.3;org.slf4j:jul-to-slf4j:1.7.30;jakarta.annotation:jakarta.annotation-api:1.3.5;org.springframework:spring-core:5.3.4;org.springframework:spring-jcl:5.3.4;org.yaml:snakeyaml:1.27;com.bybutter.sisyphus:sisyphus-dto:1.0.2;com.bybutter.sisyphus:sisyphus-jackson:1.0.2;com.fasterxml.jackson.module:jackson-module-kotlin:2.11.4;com.fasterxml.jackson.core:jackson-annotations:2.11.4;com.fasterxml.jackson.dataformat:jackson-dataformat-yaml:2.11.4;com.fasterxml.jackson.core:jackson-core:2.11.4;com.aliyun.hbase:alihbase-client:2.8.4;org.apache.hbase.thirdparty:hbase-shaded-protobuf:2.1.0;com.aliyun.hbase:alihbase-common:2.8.4;com.github.stephenc.findbugs:findbugs-annotations:1.3.9-1;log4j:log4j:1.2.17;com.aliyun.hbase:alihbase-hadoop-compat:2.8.4;com.aliyun.hbase:alihbase-metrics-api:2.8.4;com.aliyun.hbase:alihbase-hadoop2-compat:2.8.4;com.aliyun.hbase:alihbase-metrics:2.8.4;com.aliyun.hbase:alihbase-protocol-shaded:2.8.4;com.aliyun.hbase:alihbase-protocol:2.8.4;junit:junit:4.12;org.hamcrest:hamcrest-core:1.3;commons-codec:commons-codec:1.10;commons-io:commons-io:2.5;org.apache.commons:commons-lang3:3.6;org.slf4j:slf4j-api:1.7.25;org.apache.hbase.thirdparty:hbase-shaded-miscellaneous:2.1.0;com.google.protobuf:protobuf-java:2.5.0;org.apache.hbase.thirdparty:hbase-shaded-netty:2.1.0;org.apache.zookeeper:zookeeper:3.4.10;org.apache.htrace:htrace-core4:4.2.0-incubating;org.jruby.jcodings:jcodings:1.0.18;org.jruby.joni:joni:2.1.11;io.dropwizard.metrics:metrics-core:3.2.1;org.apache.commons:commons-crypto:1.0.0;com.fasterxml.jackson.core:jackson-databind:2.9.2;com.alibaba.hbase:alihbase-connector:2.0.27;org.apache.thrift:libthrift:0.12.0;org.apache.httpcomponents:httpcore:4.4.1;org.apache.httpcomponents:httpclient:4.5.2;com.google.code.gson:gson:2.8.2;com.yammer.metrics:metrics-core:2.2.0;org.apache.hadoop:hadoop-auth:2.7.4;org.apache.directory.server:apacheds-kerberos-codec:2.0.0-M15;org.apache.directory.server:apacheds-i18n:2.0.0-M15;org.apache.directory.api:api-asn1-api:1.0.0-M20;org.apache.directory.api:api-util:1.0.0-M20;org.apache.curator:curator-framework:2.7.1;org.apache.hadoop:hadoop-common:2.7.4;org.apache.hadoop:hadoop-annotations:2.7.4;com.google.guava:guava:11.0.2;commons-cli:commons-cli:1.2;org.apache.commons:commons-math3:3.1.1;xmlenc:xmlenc:0.52;commons-httpclient:commons-httpclient:3.1;commons-net:commons-net:3.1;commons-collections:commons-collections:3.2.2;org.mortbay.jetty:jetty-sslengine:6.1.26;commons-logging:commons-logging:1.1.3;commons-lang:commons-lang:2.6;commons-configuration:commons-configuration:1.6;commons-digester:commons-digester:1.8;commons-beanutils:commons-beanutils:1.7.0;commons-beanutils:commons-beanutils-core:1.8.0;org.codehaus.jackson:jackson-core-asl:1.9.13;org.codehaus.jackson:jackson-mapper-asl:1.9.13;org.apache.avro:avro:1.7.4;com.thoughtworks.paranamer:paranamer:2.3;org.xerial.snappy:snappy-java:1.0.4.1;com.jcraft:jsch:0.1.54;org.apache.curator:curator-client:2.7.1;org.apache.curator:curator-recipes:2.7.1;com.google.code.findbugs:jsr305:3.0.0;org.apache.commons:commons-compress:1.4.1;org.tukaani:xz:1.0;org.apache.yetus:audience-annotations:0.5.0;com.bybutter.sisyphus:sisyphus-common:1.0.2;com.salesforce.servicelibs:rxgrpc-stub:1.0.1;com.salesforce.servicelibs:reactive-grpc-common:1.0.1;javax.annotation:javax.annotation-api:1.3.2;org.reactivestreams:reactive-streams:1.0.2;io.grpc:grpc-stub:1.23.0;io.grpc:grpc-api:1.23.0;io.grpc:grpc-context:1.23.0;com.google.errorprone:error_prone_annotations:2.3.2;org.codehaus.mojo:animal-sniffer-annotations:1.17;io.reactivex.rxjava2:rxjava:2.2.12
6,com.google.cloud:google-cloud-automl:1.2.1,com.google.cloud:google-cloud-automl:1.2.1;io.grpc:grpc-api:1.31.0;io.grpc:grpc-context:1.31.0;com.google.code.findbugs:jsr305:3.0.2;org.codehaus.mojo:animal-sniffer-annotations:1.19;io.grpc:grpc-stub:1.31.0;com.google.errorprone:error_prone_annotations:2.3.4;io.grpc:grpc-protobuf:1.31.0;io.grpc:grpc-protobuf-lite:1.31.0;com.google.api:api-common:1.10.0;javax.annotation:javax.annotation-api:1.3.2;com.google.auto.value:auto-value-annotations:1.7.2;com.google.protobuf:protobuf-java:3.12.4;com.google.api.grpc:proto-google-common-protos:1.18.0;com.google.api.grpc:proto-google-cloud-automl-v1beta1:0.83.1;com.google.api.grpc:proto-google-cloud-automl-v1:1.2.1;com.google.guava:guava:29.0-android;com.google.guava:failureaccess:1.0.1;com.google.guava:listenablefuture:9999.0-empty-to-avoid-conflict-with-guava;org.checkerframework:checker-compat-qual:2.5.5;com.google.j2objc:j2objc-annotations:1.3;com.google.api:gax:1.58.2;com.google.auth:google-auth-library-oauth2-http:0.21.1;com.google.http-client:google-http-client:1.36.0;org.apache.httpcomponents:httpclient:4.5.12;commons-logging:commons-logging:1.2;commons-codec:commons-codec:1.11;org.apache.httpcomponents:httpcore:4.4.13;io.opencensus:opencensus-contrib-http-util:0.24.0;com.google.http-client:google-http-client-jackson2:1.36.0;com.fasterxml.jackson.core:jackson-core:2.11.1;io.opencensus:opencensus-api:0.24.0;com.google.api:gax-grpc:1.58.2;io.grpc:grpc-auth:1.31.0;com.google.auth:google-auth-library-credentials:0.21.1;io.grpc:grpc-netty-shaded:1.31.0;io.grpc:grpc-core:1.31.0;com.google.code.gson:gson:2.8.6;com.google.android:annotations:4.1.1.4;io.perfmark:perfmark-api:0.19.0;io.grpc:grpc-alts:1.31.0;io.grpc:grpc-grpclb:1.31.0;com.google.protobuf:protobuf-java-util:3.12.4;org.apache.commons:commons-lang3:3.5;org.conscrypt:conscrypt-openjdk-uber:2.2.1;org.threeten:threetenbp:1.4.4
7,org.wso2.carbon.identity.server.api:org.wso2.carbon.identity.rest.api.server.workflow.engine.v1:1.0.198,org.wso2.carbon.identity.server.api:org.wso2.carbon.identity.rest.api.server.workflow.engine.v1:1.0.198;io.swagger:swagger-jaxrs:1.6.2;io.swagger:swagger-core:1.6.2;org.apache.commons:commons-lang3:3.2.1;org.slf4j:slf4j-api:1.7.22;io.swagger:swagger-models:1.6.2;io.swagger:swagger-annotations:1.6.2;javax.validation:validation-api:1.1.0.Final;org.reflections:reflections:0.9.11;org.javassist:javassist:3.21.0-GA
8,com.testerum:project-manager:5.2.1,com.testerum:project-manager:5.2.1;com.testerum:common-di:5.2.1;org.slf4j:slf4j-api:1.7.25;com.testerum:file-service:5.2.1;com.testerum:common-kotlin:5.2.1;com.testerum:common-jdk:5.2.1;commons-io:commons-io:2.6;com.testerum:common-json:5.2.1;com.testerum:common-encrypted-prefs:5.2.1;com.testerum:test-file-format:5.2.1;com.testerum:common-parsing:5.2.1;org.jparsec:jparsec:3.0;com.testerum:model:5.2.1;com.testerum:common-nashorn:5.2.1;com.testerum:testerum-steps-api:5.2.0;org.jdom:jdom2:2.0.6;jaxen:jaxen:1.2.0;org.apache.commons:commons-lang3:3.8.1;com.testerum:testerum-scanner:5.2.1;com.testerum:settings:5.2.1;com.testerum:common-fast-serialization:5.2.1;io.github.classgraph:classgraph:4.8.90;com.testerum:testerum-runner-api:5.2.1;com.testerum:common-stats:5.2.1;com.fasterxml.jackson.core:jackson-annotations:2.11.3;com.fasterxml.jackson.core:jackson-core:2.11.3;com.fasterxml.jackson.core:jackson-databind:2.11.3;com.fasterxml.jackson.module:jackson-module-afterburner:2.11.3;com.fasterxml.jackson.module:jackson-module-kotlin:2.11.3;com.fasterxml.jackson.datatype:jackson-datatype-jsr310:2.11.3;com.fasterxml.jackson.datatype:jackson-datatype-guava:2.11.3;com.fasterxml.jackson.dataformat:jackson-dataformat-yaml:2.11.3;org.yaml:snakeyaml:1.26;org.jetbrains.kotlin:kotlin-reflect:1.4.31;org.jetbrains.kotlin:kotlin-stdlib:1.4.31;org.jetbrains.kotlin:kotlin-stdlib-common:1.4.31;org.jetbrains:annotations:13.0;org.jetbrains.kotlin:kotlin-stdlib-jdk8:1.4.31;org.jetbrains.kotlin:kotlin-stdlib-jdk7:1.4.31;com.google.guava:guava:22.0;com.google.code.findbugs:jsr305:1.3.9;com.google.errorprone:error_prone_annotations:2.0.18;com.google.j2objc:j2objc-annotations:1.1;org.codehaus.mojo:animal-sniffer-annotations:1.14
9,com.google.cloud:google-cloud-dataproc:0.87.0-alpha,com.google.cloud:google-cloud-dataproc:0.87.0-alpha;com.google.cloud:google-cloud-core:1.69.0;com.google.guava:guava:27.1-android;com.google.guava:failureaccess:1.0.1;com.google.guava:listenablefuture:9999.0-empty-to-avoid-conflict-with-guava;org.checkerframework:checker-compat-qual:2.5.2;com.google.errorprone:error_prone_annotations:2.2.0;com.google.j2objc:j2objc-annotations:1.1;org.codehaus.mojo:animal-sniffer-annotations:1.17;com.google.http-client:google-http-client:1.29.0;org.apache.httpcomponents:httpclient:4.5.5;org.apache.httpcomponents:httpcore:4.4.9;commons-logging:commons-logging:1.2;commons-codec:commons-codec:1.10;io.opencensus:opencensus-api:0.18.0;io.opencensus:opencensus-contrib-http-util:0.18.0;com.google.code.findbugs:jsr305:3.0.2;com.google.api:api-common:1.7.0;com.google.api:gax:1.43.0;org.threeten:threetenbp:1.3.3;com.google.auth:google-auth-library-oauth2-http:0.14.0;com.google.http-client:google-http-client-jackson2:1.29.0;com.fasterxml.jackson.core:jackson-core:2.9.6;com.google.protobuf:protobuf-java-util:3.7.0;com.google.code.gson:gson:2.7;com.google.api.grpc:proto-google-common-protos:1.15.0;com.google.api.grpc:proto-google-iam-v1:0.12.0;com.google.cloud:google-cloud-core-grpc:1.69.0;com.google.auth:google-auth-library-credentials:0.15.0;com.google.protobuf:protobuf-java:3.7.0;io.grpc:grpc-protobuf:1.19.0;io.grpc:grpc-protobuf-lite:1.19.0;io.grpc:grpc-context:1.19.0;com.google.api:gax-grpc:1.43.0;io.grpc:grpc-alts:1.19.0;io.grpc:grpc-grpclb:1.19.0;org.apache.commons:commons-lang3:3.5;com.google.api.grpc:proto-google-cloud-dataproc-v1:0.52.0;com.google.api.grpc:grpc-google-cloud-dataproc-v1:0.52.0;com.google.api.grpc:proto-google-cloud-dataproc-v1beta2:0.52.0;com.google.api.grpc:grpc-google-cloud-dataproc-v1beta2:0.52.0;io.grpc:grpc-netty-shaded:1.19.0;io.grpc:grpc-core:1.19.0;io.opencensus:opencensus-contrib-grpc-metrics:0.19.2;io.grpc:grpc-stub:1.19.0;io.grpc:grpc-auth:1.19.0;javax.annotation:javax.annotation-api:1.3.2
