number,coordinate,dependencies
0,com.sun.electric:electric-irsim:0.2,com.sun.electric:electric-irsim:0.2;com.sun.electric:electric-irsim-api:0.1-alpha-1
1,com.googlecode.lanterna:lanterna:3.0.1,com.googlecode.lanterna:lanterna:3.0.1
2,de.sekmi.histream.maven:histream-maven-plugin:0.9.3,de.sekmi.histream.maven:histream-maven-plugin:0.9.3;de.sekmi.histream:histream-i2b2:0.9.2;de.sekmi.histream:histream-core:0.9;de.sekmi.histream:histream-skos:0.9;org.openrdf.sesame:sesame-model:2.8.4;org.openrdf.sesame:sesame-util:2.8.4;com.google.guava:guava:18.0;org.openrdf.sesame:sesame-sail-memory:2.8.4;org.openrdf.sesame:sesame-sail-base:2.8.4;org.openrdf.sesame:sesame-sail-inferencer:2.8.4;org.openrdf.sesame:sesame-queryparser-serql:2.8.4;org.openrdf.sesame:sesame-sail-model:2.8.4;org.openrdf.sesame:sesame-queryalgebra-evaluation:2.8.4;org.openrdf.sesame:sesame-repository-sparql:2.8.4;org.openrdf.sesame:sesame-queryparser-sparql:2.8.4;org.openrdf.sesame:sesame-queryresultio-sparqlxml:2.8.4;org.mapdb:mapdb:1.0.7;org.openrdf.sesame:sesame-queryalgebra-model:2.8.4;org.openrdf.sesame:sesame-query:2.8.4;org.slf4j:slf4j-api:1.7.10;org.openrdf.sesame:sesame-repository-sail:2.8.4;org.openrdf.sesame:sesame-repository-api:2.8.4;org.openrdf.sesame:sesame-sail-api:2.8.4;org.openrdf.sesame:sesame-http-client:2.8.4;org.openrdf.sesame:sesame-http-protocol:2.8.4;org.openrdf.sesame:sesame-rio-ntriples:2.8.4;org.openrdf.sesame:sesame-queryresultio-api:2.8.4;org.apache.httpcomponents:httpclient:4.4;org.apache.httpcomponents:httpcore:4.4;commons-codec:commons-codec:1.10;org.openrdf.sesame:sesame-queryparser-api:2.8.4;org.openrdf.sesame:sesame-rio-trig:2.8.4;org.openrdf.sesame:sesame-rio-api:2.8.4;org.openrdf.sesame:sesame-rio-turtle:2.8.4;org.openrdf.sesame:sesame-rio-datatypes:2.8.4;org.openrdf.sesame:sesame-rio-languages:2.8.4;commons-io:commons-io:2.4;org.slf4j:slf4j-jdk14:1.7.10;org.apache.maven:maven-plugin-api:3.3.9;org.apache.maven:maven-model:3.3.9;org.apache.commons:commons-lang3:3.4;org.apache.maven:maven-artifact:3.3.9;org.eclipse.sisu:org.eclipse.sisu.plexus:0.3.2;javax.enterprise:cdi-api:1.0;javax.annotation:jsr250-api:1.0;javax.inject:javax.inject:1;org.eclipse.sisu:org.eclipse.sisu.inject:0.3.2;org.codehaus.plexus:plexus-component-annotations:1.5.5;org.codehaus.plexus:plexus-classworlds:2.5.2;org.apache.maven.shared:file-management:3.0.0;org.apache.maven.shared:maven-shared-io:3.0.0;org.apache.maven:maven-compat:3.0;org.apache.maven:maven-model-builder:3.0;org.apache.maven:maven-settings:3.0;org.apache.maven:maven-core:3.0;org.apache.maven:maven-settings-builder:3.0;org.apache.maven:maven-repository-metadata:3.0;org.apache.maven:maven-aether-provider:3.0;org.sonatype.aether:aether-impl:1.7;org.sonatype.aether:aether-spi:1.7;org.sonatype.aether:aether-api:1.7;org.sonatype.aether:aether-util:1.7;org.sonatype.plexus:plexus-sec-dispatcher:1.3;org.sonatype.plexus:plexus-cipher:1.4;org.codehaus.plexus:plexus-interpolation:1.14;org.sonatype.sisu:sisu-inject-plexus:1.4.2;org.sonatype.sisu:sisu-inject-bean:1.4.2;org.sonatype.sisu:sisu-guice:2.1.7;org.apache.maven.wagon:wagon-provider-api:2.10;org.apache.maven.shared:maven-shared-utils:3.0.0;com.google.code.findbugs:jsr305:2.0.1;org.codehaus.plexus:plexus-utils:3.0.22
3,com.stijndewitt.undertow.cors:undertow-cors-filter:0.4.0,com.stijndewitt.undertow.cors:undertow-cors-filter:0.4.0
4,com.google.apis:google-api-services-texttospeech:v1-rev30-1.25.0,com.google.apis:google-api-services-texttospeech:v1-rev30-1.25.0;com.google.api-client:google-api-client:1.25.0;com.google.oauth-client:google-oauth-client:1.25.0;com.google.http-client:google-http-client:1.25.0;org.apache.httpcomponents:httpclient:4.5.5;org.apache.httpcomponents:httpcore:4.4.9;commons-logging:commons-logging:1.2;commons-codec:commons-codec:1.10;com.google.j2objc:j2objc-annotations:1.1;com.google.code.findbugs:jsr305:3.0.2;com.google.http-client:google-http-client-jackson2:1.25.0;com.fasterxml.jackson.core:jackson-core:2.9.6;com.google.guava:guava:20.0
5,mule:mule-jbi-provider:1.3-rc4,mule:mule-jbi-provider:1.3-rc4
6,com.disney.groovity:http-auth-server:2.0.6,com.disney.groovity:http-auth-server:2.0.6;com.disney.groovity:http-auth-core:2.0.6;com.disney.groovity:uri-parcel-core:2.0.6
7,com.stijndewitt.undertow.cors:undertow-cors-filter:0.3.3,com.stijndewitt.undertow.cors:undertow-cors-filter:0.3.3
8,com.facebook.presto:presto-tpch:0.99,com.facebook.presto:presto-tpch:0.99;io.airlift.tpch:tpch:0.4;com.google.guava:guava:16.0.1
9,com.stimulsoft:stimulsoft-reports-libs:2018.2.1,com.stimulsoft:stimulsoft-reports-libs:2018.2.1;com.stimulsoft:stimulsoft-reports-webdesigner:2018.2.1;com.stimulsoft:stimulsoft-reports-report:2018.2.1;com.stimulsoft:stimulsoft-reports-web:2018.2.1;com.stimulsoft:stimulsoft-reports-demo:2018.2.1;com.stimulsoft:stimulsoft-reports-base:2018.2.1;com.stimulsoft:stimulsoft-reports-lib:2018.2.1;com.kitfox.svg:svg-salamander:1.0;com.stimulsoft:stimulsoft-reports-viewer:2018.2.1;com.stimulsoft:stimulsoft-reports-samples:2018.2.1;com.stimulsoft:stimulsoft-reports-swt:2018.2.1;com.stimulsoft:stimulsoft-reports-flex:2018.2.1;com.stimulsoft:stimulsoft-reports-webviewer:2018.2.1
10,com.hastybox:lesscss-compile-service:0.2.1,com.hastybox:lesscss-compile-service:0.2.1;org.lesscss:lesscss:1.3.1;commons-io:commons-io:2.4;commons-logging:commons-logging:1.1.1;org.apache.commons:commons-lang3:3.1;org.mozilla:rhino:1.7R4;org.slf4j:slf4j-api:1.6.6
11,com.fizzed:crux-mediatype:1.0.9,com.fizzed:crux-mediatype:1.0.9
12,com.github.a64adam:ulti:1.1.1,com.github.a64adam:ulti:1.1.1;com.google.guava:guava:17.0;com.squareup.okhttp:okhttp:2.0.0;com.squareup.okio:okio:1.0.0;com.google.code.gson:gson:2.2.4
13,com.codeheadsystems:crypto:1.0.2,com.codeheadsystems:crypto:1.0.2;org.slf4j:slf4j-api:1.7.21;ch.qos.logback:logback-classic:1.1.7;org.bouncycastle:bcprov-jdk15on:1.54;com.codeheadsystems:shash:1.0.2;ch.qos.logback:logback-core:1.1.7
14,com.disney.groovity:http-auth-server:2.0.5,com.disney.groovity:http-auth-server:2.0.5;com.disney.groovity:http-auth-core:2.0.5;com.disney.groovity:uri-parcel-core:2.0.5
15,com.goebl:david-webb:1.2.0,com.goebl:david-webb:1.2.0;org.json:json:20080701
16,com.xiaoleilu:hutool-system:3.3.2,com.xiaoleilu:hutool-system:3.3.2;com.xiaoleilu:hutool-core:3.3.2
17,mule:mule-jbi-provider:1.3-rc3,mule:mule-jbi-provider:1.3-rc3
18,com.fizzed:crux-mediatype:1.0.8,com.fizzed:crux-mediatype:1.0.8
19,com.google.api.grpc:grpc-google-cloud-redis-v1beta1:0.35.0,com.google.api.grpc:grpc-google-cloud-redis-v1beta1:0.35.0;io.grpc:grpc-stub:1.15.0;io.grpc:grpc-core:1.15.0;io.grpc:grpc-context:1.15.0;com.google.code.gson:gson:2.7;com.google.errorprone:error_prone_annotations:2.2.0;com.google.code.findbugs:jsr305:3.0.0;org.codehaus.mojo:animal-sniffer-annotations:1.17;io.opencensus:opencensus-api:0.12.3;io.opencensus:opencensus-contrib-grpc-metrics:0.12.3;io.grpc:grpc-protobuf:1.15.0;com.google.protobuf:protobuf-java:3.5.1;com.google.guava:guava:20.0;com.google.api.grpc:proto-google-common-protos:1.0.0;io.grpc:grpc-protobuf-lite:1.15.0;com.google.api.grpc:proto-google-cloud-redis-v1beta1:0.35.0;com.google.api:api-common:1.7.0
20,com.sun.grizzly:grizzly-messagesbus:1.9.9,com.sun.grizzly:grizzly-messagesbus:1.9.9;com.sun.grizzly:grizzly-comet:1.9.9;com.sun.grizzly:grizzly-http:1.9.9;com.sun.grizzly:grizzly-framework:1.9.9;com.sun.grizzly:grizzly-utils:1.9.9;com.sun.grizzly:grizzly-rcm:1.9.9;com.sun.grizzly:grizzly-portunif:1.9.9;javax.servlet:servlet-api:2.5
21,com.redhat.lightblue:util:1.2.0,com.redhat.lightblue:util:1.2.0;com.fasterxml.jackson.core:jackson-core:2.4.2;com.fasterxml.jackson.core:jackson-databind:2.4.2;com.fasterxml.jackson.core:jackson-annotations:2.4.0;org.slf4j:slf4j-api:1.7.7;com.netflix.servo:servo-core:0.7.8;com.netflix.servo:servo-internal:0.7.8;com.google.guava:guava:14.0.1;com.google.code.findbugs:annotations:2.0.0;com.netflix.servo:servo-graphite:0.7.8;commons-lang:commons-lang:2.6;com.netflix.hystrix:hystrix-servo-metrics-publisher:1.3.16;com.netflix.hystrix:hystrix-core:1.3.16;com.netflix.rxjava:rxjava-core:0.18.2;com.netflix.archaius:archaius-core:0.4.1;commons-configuration:commons-configuration:1.8;commons-logging:commons-logging:1.1.1;com.google.code.findbugs:jsr305:2.0.0
22,com.vaadin:vaadin-grid-flow:3.0.3,com.vaadin:vaadin-grid-flow:3.0.3;org.webjars.bowergithub.vaadin:vaadin-grid:5.3.2;org.webjars.bowergithub.vaadin:vaadin-lumo-styles:1.7.0-alpha2;org.webjars.bowergithub.vaadin:vaadin-text-field:2.8.2;org.webjars.bowergithub.vaadin:vaadin-element-mixin:2.4.2;org.webjars.bowergithub.vaadin:vaadin-usage-statistics:2.1.0;org.webjars.bowergithub.vaadin:vaadin-material-styles:1.4.0-alpha1;org.webjars.bowergithub.vaadin:vaadin-themable-mixin:1.6.2;org.webjars.bowergithub.polymerelements:iron-scroll-target-behavior:2.1.1;org.webjars.bowergithub.polymerelements:iron-icon:2.1.0;org.webjars.bowergithub.polymerelements:iron-flex-layout:2.0.3;org.webjars.bowergithub.polymerelements:iron-meta:2.1.1;org.webjars.bowergithub.polymerelements:iron-iconset-svg:2.2.1;org.webjars.bowergithub.polymerelements:iron-resizable-behavior:2.1.1;org.webjars.bowergithub.polymerelements:iron-a11y-keys-behavior:2.1.1;org.webjars.bowergithub.vaadin:vaadin-checkbox:2.2.7;org.webjars.bowergithub.vaadin:vaadin-control-state-mixin:2.2.4;org.webjars.bowergithub.polymerelements:iron-a11y-announcer:2.1.0;org.apache.commons:commons-lang3:3.0;com.vaadin:vaadin-context-menu-flow:2.0.1;org.webjars.bowergithub.vaadin:vaadin-context-menu:4.3.0;org.webjars.bowergithub.vaadin:vaadin-list-box:1.1.0;org.webjars.bowergithub.vaadin:vaadin-overlay:3.2.5;org.webjars.bowergithub.polymerelements:iron-overlay-behavior:2.3.4;org.webjars.bowergithub.polymerelements:iron-fit-behavior:2.2.1;org.webjars.bowergithub.polymerelements:iron-media-query:2.1.0;org.webjars.bowergithub.vaadin:vaadin-item:2.1.0;org.webjars.bowergithub.vaadin:vaadin-list-mixin:2.1.2;org.webjars.bowergithub.polymer:polymer:2.6.1;org.webjars.bowergithub.webcomponents:webcomponentsjs:1.2.6;org.webjars.bowergithub.webcomponents:shadycss:1.5.0-1;org.webjars.bowergithub.vaadin:vaadin-development-mode-detector:2.0.0
23,io.datakernel:http:1.1.2,io.datakernel:http:1.1.2;org.slf4j:slf4j-api:1.7.12;io.datakernel:eventloop:1.1.2;com.google.guava:guava:18.0
