number,coordinate,dependencies
0,io.liftwizard:liftwizard-config-data-source:0.12.0,io.liftwizard:liftwizard-config-data-source:0.12.0;io.liftwizard:liftwizard-named-data-source-factory:0.12.0;io.dropwizard:dropwizard-db:1.3.27;io.dropwizard:dropwizard-core:1.3.27;io.dropwizard:dropwizard-jackson:1.3.27;com.fasterxml.jackson.core:jackson-core:2.9.10;com.fasterxml.jackson.core:jackson-databind:2.9.10.6;com.fasterxml.jackson.datatype:jackson-datatype-guava:2.9.10;com.fasterxml.jackson.datatype:jackson-datatype-jsr310:2.9.10;com.fasterxml.jackson.datatype:jackson-datatype-jdk8:2.9.10;com.fasterxml.jackson.module:jackson-module-parameter-names:2.9.10;com.fasterxml.jackson.module:jackson-module-afterburner:2.9.10;com.fasterxml.jackson.datatype:jackson-datatype-joda:2.9.10;io.dropwizard:dropwizard-configuration:1.3.27;com.fasterxml.jackson.dataformat:jackson-dataformat-yaml:2.9.10;org.yaml:snakeyaml:1.23;org.apache.commons:commons-lang3:3.11;org.apache.commons:commons-text:1.9;io.dropwizard:dropwizard-logging:1.3.27;io.dropwizard.metrics:metrics-logback:4.1.14;org.slf4j:jul-to-slf4j:1.7.30;ch.qos.logback:logback-core:1.2.3;ch.qos.logback:logback-classic:1.2.3;org.slf4j:log4j-over-slf4j:1.7.30;org.slf4j:jcl-over-slf4j:1.7.30;org.eclipse.jetty:jetty-util:9.4.33.v20201020;io.dropwizard:dropwizard-metrics:1.3.27;io.dropwizard:dropwizard-jersey:1.3.27;javax.xml.bind:jaxb-api:2.3.1;javax.activation:javax.activation-api:1.2.0;org.glassfish.jersey.core:jersey-server:2.25.1;org.glassfish.jersey.core:jersey-common:2.25.1;org.glassfish.jersey.bundles.repackaged:jersey-guava:2.25.1;org.glassfish.hk2:osgi-resource-locator:1.0.1;org.glassfish.jersey.core:jersey-client:2.25.1;javax.ws.rs:javax.ws.rs-api:2.0.1;org.glassfish.jersey.media:jersey-media-jaxb:2.25.1;javax.annotation:javax.annotation-api:1.2;org.glassfish.hk2:hk2-api:2.5.0-b32;org.glassfish.hk2:hk2-utils:2.5.0-b32;org.glassfish.hk2.external:aopalliance-repackaged:2.5.0-b32;org.glassfish.hk2.external:javax.inject:2.5.0-b32;org.glassfish.hk2:hk2-locator:2.5.0-b32;org.glassfish.jersey.ext:jersey-metainf-services:2.25.1;org.glassfish.jersey.ext:jersey-bean-validation:2.25.1;io.dropwizard.metrics:metrics-jersey2:4.1.14;com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider:2.9.10;com.fasterxml.jackson.jaxrs:jackson-jaxrs-base:2.9.10;com.fasterxml.jackson.module:jackson-module-jaxb-annotations:2.9.10;org.glassfish.jersey.containers:jersey-container-servlet:2.25.1;org.glassfish.jersey.containers:jersey-container-servlet-core:2.25.1;org.eclipse.jetty:jetty-webapp:9.4.33.v20201020;org.eclipse.jetty:jetty-xml:9.4.33.v20201020;org.eclipse.jetty:jetty-continuation:9.4.33.v20201020;io.dropwizard:dropwizard-servlets:1.3.27;io.dropwizard.metrics:metrics-annotation:4.1.14;io.dropwizard:dropwizard-jetty:1.3.27;io.dropwizard.metrics:metrics-jetty9:4.1.14;org.eclipse.jetty:jetty-servlet:9.4.33.v20201020;org.eclipse.jetty:jetty-security:9.4.33.v20201020;org.eclipse.jetty:jetty-servlets:9.4.33.v20201020;io.dropwizard.metrics:metrics-jvm:4.1.14;io.dropwizard.metrics:metrics-jmx:4.1.14;io.dropwizard.metrics:metrics-servlets:4.1.14;io.dropwizard.metrics:metrics-json:4.1.14;com.helger:profiler:1.1.1;io.dropwizard.metrics:metrics-healthchecks:4.1.14;io.dropwizard:dropwizard-request-logging:1.3.27;ch.qos.logback:logback-access:1.2.3;net.sourceforge.argparse4j:argparse4j:0.8.1;org.eclipse.jetty.toolchain.setuid:jetty-setuid-java:1.0.4;org.apache.tomcat:tomcat-jdbc:9.0.39;org.apache.tomcat:tomcat-juli:9.0.39;io.dropwizard:dropwizard-validation:1.3.27;io.dropwizard:dropwizard-util:1.3.27;joda-time:joda-time:2.10.8;org.hibernate:hibernate-validator:5.4.3.Final;org.jboss.logging:jboss-logging:3.3.0.Final;com.fasterxml:classmate:1.3.1;org.glassfish:javax.el:3.0.0;org.javassist:javassist:3.27.0-GA;org.slf4j:slf4j-api:1.7.30;io.dropwizard:dropwizard-lifecycle:1.3.27;com.google.guava:guava:30.0-jre;com.google.guava:failureaccess:1.0.1;com.google.guava:listenablefuture:9999.0-empty-to-avoid-conflict-with-guava;org.checkerframework:checker-qual:3.5.0;com.google.errorprone:error_prone_annotations:2.3.4;com.google.j2objc:j2objc-annotations:1.3;org.eclipse.jetty:jetty-server:9.4.33.v20201020;javax.servlet:javax.servlet-api:3.1.0;org.eclipse.jetty:jetty-http:9.4.33.v20201020;org.eclipse.jetty:jetty-io:9.4.33.v20201020;io.dropwizard.metrics:metrics-core:4.1.14;org.eclipse.collections:eclipse-collections-api:10.4.0;org.eclipse.collections:eclipse-collections:10.4.0;com.fasterxml.jackson.core:jackson-annotations:2.11.3;javax.validation:validation-api:2.0.1.Final;com.google.code.findbugs:jsr305:3.0.2
1,io.laminext:websocket-circe_sjs1_3.0.0-RC1:0.12.1,io.laminext:websocket-circe_sjs1_3.0.0-RC1:0.12.1;io.laminext:websocket_sjs1_3.0.0-RC1:0.12.1;org.scala-lang:scala3-library_sjs1_3.0.0-RC1:3.0.0-RC1;org.scala-lang:scala-library:2.13.4;org.scala-js:scalajs-library_2.13:1.5.0;com.raquo:laminar_sjs1_2.13:0.12.1;com.raquo:airstream_sjs1_2.13:0.12.0;org.scala-js:scalajs-dom_sjs1_2.13:1.1.0;app.tulz:tuplez-full-light_sjs1_2.13:0.3.1;com.raquo:domtypes_sjs1_2.13:0.13.0;io.circe:circe-core_sjs1_2.13:0.13.0;io.circe:circe-numbers_sjs1_2.13:0.13.0;org.typelevel:cats-core_sjs1_2.13:2.1.1;org.typelevel:cats-macros_sjs1_2.13:2.1.1;org.typelevel:cats-kernel_sjs1_2.13:2.1.1;io.circe:circe-parser_sjs1_2.13:0.13.0;io.circe:circe-scalajs_sjs1_2.13:0.13.0
2,de.bmiag.tapir:tapir-annotations:3.6.2,de.bmiag.tapir:tapir-annotations:3.6.2;de.bmiag.tapir:tapir-annotation-processing:3.6.2;org.eclipse.xtend:org.eclipse.xtend.lib:2.24.0;org.eclipse.xtend:org.eclipse.xtend.lib.macro:2.24.0;org.eclipse.xtext:org.eclipse.xtext.xbase.lib:2.24.0;com.google.guava:guava:25.1-jre;com.google.code.findbugs:jsr305:3.0.2;org.checkerframework:checker-qual:2.0.0;com.google.errorprone:error_prone_annotations:2.1.3;com.google.j2objc:j2objc-annotations:1.1;org.codehaus.mojo:animal-sniffer-annotations:1.14;org.springframework:spring-core:4.3.18.RELEASE;org.apache.logging.log4j:log4j-core:2.7;org.apache.logging.log4j:log4j-api:2.7;org.apache.logging.log4j:log4j-slf4j-impl:2.7;org.slf4j:slf4j-api:1.7.21;org.apache.logging.log4j:log4j-jcl:2.7;commons-logging:commons-logging:1.2;org.apache.logging.log4j:log4j-1.2-api:2.7;org.apache.logging.log4j:log4j-jul:2.7
3,org.bremersee:bremersee-fac:1.0.1,org.bremersee:bremersee-fac:1.0.1;org.bremersee:bremersee-pagebuilder:1.0.3;org.bremersee:bremersee-comparator:1.1.0;org.apache.commons:commons-lang3:3.4;com.fasterxml.jackson.core:jackson-annotations:2.4.6;com.fasterxml.jackson.core:jackson-databind:2.4.6;com.fasterxml.jackson.core:jackson-core:2.4.6;org.bremersee:bremersee-utils:1.0.2;org.hibernate.javax.persistence:hibernate-jpa-2.1-api:1.0.0.Final;javax.inject:javax.inject:1;javax.interceptor:javax.interceptor-api:1.2;javax.transaction:javax.transaction-api:1.2;org.ldaptive:ldaptive:1.0.7;org.slf4j:slf4j-api:1.7.11
4,cn.org.faster:spring-boot-starter-dict:1.4.1.RELEASE,cn.org.faster:spring-boot-starter-dict:1.4.1.RELEASE;cn.org.faster:faster-dict:1.4.1.RELEASE;cn.org.faster:faster-core:1.4.1.RELEASE;org.springframework.boot:spring-boot-starter-test:2.1.5.RELEASE;org.springframework.boot:spring-boot-starter:2.1.5.RELEASE;org.springframework.boot:spring-boot:2.1.5.RELEASE;org.springframework:spring-context:5.1.7.RELEASE;org.springframework:spring-aop:5.1.7.RELEASE;org.springframework:spring-expression:5.1.7.RELEASE;org.springframework.boot:spring-boot-autoconfigure:2.1.5.RELEASE;org.springframework.boot:spring-boot-starter-logging:2.1.5.RELEASE;org.apache.logging.log4j:log4j-to-slf4j:2.11.2;org.apache.logging.log4j:log4j-api:2.11.2;org.slf4j:jul-to-slf4j:1.7.26;javax.annotation:javax.annotation-api:1.3.2;org.yaml:snakeyaml:1.23;org.springframework.boot:spring-boot-test:2.1.5.RELEASE;org.springframework.boot:spring-boot-test-autoconfigure:2.1.5.RELEASE;com.jayway.jsonpath:json-path:2.4.0;net.minidev:json-smart:2.3;net.minidev:accessors-smart:1.2;org.ow2.asm:asm:5.0.4;junit:junit:4.12;org.assertj:assertj-core:3.11.1;org.mockito:mockito-core:2.23.4;net.bytebuddy:byte-buddy:1.9.3;net.bytebuddy:byte-buddy-agent:1.9.3;org.objenesis:objenesis:2.6;org.hamcrest:hamcrest-core:1.3;org.hamcrest:hamcrest-library:1.3;org.skyscreamer:jsonassert:1.5.0;org.springframework:spring-core:5.1.7.RELEASE;org.springframework:spring-jcl:5.1.7.RELEASE;org.springframework:spring-test:5.1.7.RELEASE;org.xmlunit:xmlunit-core:2.6.2;javax.xml.bind:jaxb-api:2.3.0;javax.validation:validation-api:2.0.1.Final;org.springframework.boot:spring-boot-configuration-processor:2.1.5.RELEASE;io.jsonwebtoken:jjwt:0.9.0;com.fasterxml.jackson.core:jackson-databind:2.8.9;com.fasterxml.jackson.core:jackson-annotations:2.8.0;com.fasterxml.jackson.core:jackson-core:2.8.9;org.projectlombok:lombok:1.16.20;com.alibaba:fastjson:1.2.47;org.apache.commons:commons-pool2:2.6.2;org.springframework:spring-tx:5.1.7.RELEASE;org.springframework:spring-beans:5.1.7.RELEASE;cn.hutool:hutool-all:4.5.14;net.logstash.logback:logstash-logback-encoder:5.3;ch.qos.logback:logback-classic:1.2.3;ch.qos.logback:logback-core:1.2.3;org.slf4j:slf4j-api:1.7.25
5,org.netbeans.modules:org-netbeans-modules-debugger-jpda-ant:RELEASE122,org.netbeans.modules:org-netbeans-modules-debugger-jpda-ant:RELEASE122;org.netbeans.api:org-apache-tools-ant-module:RELEASE122;org.netbeans.api:org-netbeans-api-annotations-common:RELEASE122;org.netbeans.api:org-netbeans-api-progress:RELEASE122;org.netbeans.api:org-netbeans-api-progress-nb:RELEASE122;org.netbeans.api:org-netbeans-api-xml:RELEASE122;org.netbeans.api:org-netbeans-api-xml-ui:RELEASE122;org.netbeans.api:org-netbeans-core-multiview:RELEASE122;org.netbeans.api:org-netbeans-modules-options-api:RELEASE122;org.netbeans.modules:org-netbeans-core:RELEASE122;org.netbeans.modules:org-netbeans-bootstrap:RELEASE122;org.netbeans.api:org-netbeans-modules-keyring:RELEASE122;org.netbeans.api:org-netbeans-modules-sampler:RELEASE122;org.netbeans.api:org-netbeans-swing-plaf:RELEASE122;org.netbeans.modules:org-netbeans-core-startup:RELEASE122;org.netbeans.modules:org-netbeans-core-startup-base:RELEASE122;org.netbeans.api:org-netbeans-spi-quicksearch:RELEASE122;org.netbeans.api:org-netbeans-swing-outline:RELEASE122;org.netbeans.modules:org-netbeans-modules-options-java:RELEASE122;org.netbeans.modules:org-netbeans-modules-project-indexingbridge:RELEASE122;org.netbeans.api:org-netbeans-modules-projectuiapi:RELEASE122;org.netbeans.api:org-netbeans-api-templates:RELEASE122;org.netbeans.api:org-netbeans-modules-projectuiapi-base:RELEASE122;org.netbeans.api:org-netbeans-modules-queries:RELEASE122;org.netbeans.api:org-netbeans-spi-navigator:RELEASE122;org.netbeans.api:org-openide-actions:RELEASE122;org.netbeans.api:org-openide-awt:RELEASE122;org.netbeans.api:org-openide-dialogs:RELEASE122;org.netbeans.api:org-openide-execution:RELEASE122;org.netbeans.api:org-openide-explorer:RELEASE122;org.netbeans.api:org-netbeans-swing-tabcontrol:RELEASE122;org.netbeans.api:org-openide-filesystems-nb:RELEASE122;org.netbeans.api:org-openide-io:RELEASE122;org.netbeans.api:org-netbeans-api-intent:RELEASE122;org.netbeans.api:org-netbeans-api-io:RELEASE122;org.netbeans.api:org-openide-loaders:RELEASE122;org.netbeans.api:org-openide-modules:RELEASE122;org.netbeans.api:org-openide-nodes:RELEASE122;org.netbeans.api:org-openide-text:RELEASE122;org.netbeans.api:org-openide-util-ui:RELEASE122;org.netbeans.api:org-openide-windows:RELEASE122;org.netbeans.api:org-netbeans-api-debugger:RELEASE122;org.netbeans.api:org-netbeans-api-debugger-jpda:RELEASE122;org.netbeans.api:org-netbeans-api-java:RELEASE122;org.netbeans.api:org-netbeans-api-java-classpath:RELEASE122;org.netbeans.api:org-netbeans-libs-javacapi:RELEASE122;org.netbeans.api:org-netbeans-modules-java-platform:RELEASE122;org.netbeans.api:org-netbeans-modules-java-source-base:RELEASE122;org.netbeans.api:org-netbeans-api-scripting:RELEASE122;org.netbeans.modules:org-netbeans-lib-nbjavac:RELEASE122;org.netbeans.api:org-netbeans-libs-asm:RELEASE122;org.ow2.asm:asm:8.0.1;org.ow2.asm:asm-tree:8.0.1;org.ow2.asm:asm-commons:8.0.1;org.ow2.asm:asm-analysis:8.0.1;org.netbeans.modules:org-netbeans-libs-javacimpl:RELEASE122;org.netbeans.api:org-netbeans-libs-lucene:RELEASE122;org.apache.lucene:lucene-core:3.6.2;org.netbeans.api:org-netbeans-modules-classfile:RELEASE122;org.netbeans.api:org-netbeans-modules-editor-document:RELEASE122;org.netbeans.api:org-netbeans-modules-editor-guards:RELEASE122;org.netbeans.api:org-netbeans-modules-editor-indent:RELEASE122;org.netbeans.api:org-netbeans-modules-editor-mimelookup:RELEASE122;org.netbeans.api:org-netbeans-modules-editor-settings:RELEASE122;org.netbeans.api:org-netbeans-modules-editor-util:RELEASE122;org.netbeans.api:org-netbeans-modules-java-lexer:RELEASE122;org.netbeans.modules:org-netbeans-modules-java-preprocessorbridge:RELEASE122;org.netbeans.api:org-netbeans-modules-lexer:RELEASE122;org.netbeans.api:org-netbeans-modules-parsing-api:RELEASE122;org.netbeans.api:org-netbeans-modules-parsing-indexing:RELEASE122;org.netbeans.api:org-netbeans-spi-tasklist:RELEASE122;org.netbeans.modules:org-netbeans-modules-parsing-lucene:RELEASE122;org.netbeans.modules:org-netbeans-modules-masterfs:RELEASE122;org.netbeans.api:org-netbeans-modules-refactoring-api:RELEASE122;org.netbeans.api:org-netbeans-modules-diff:RELEASE122;org.netbeans.modules:org-netbeans-modules-editor-errorstripe:RELEASE122;org.netbeans.api:org-netbeans-modules-editor-errorstripe-api:RELEASE122;org.netbeans.api:org-netbeans-modules-editor-fold:RELEASE122;org.netbeans.api:org-netbeans-modules-editor-settings-lib:RELEASE122;org.netbeans.modules:org-netbeans-modules-options-editor:RELEASE122;org.netbeans.api:org-netbeans-modules-editor:RELEASE122;org.netbeans.modules:org-netbeans-modules-editor-fold-nbui:RELEASE122;org.netbeans.modules:org-netbeans-modules-editor-settings-storage:RELEASE122;org.netbeans.modules:org-netbeans-modules-options-keymap:RELEASE122;org.netbeans.api:org-netbeans-modules-editor-lib:RELEASE122;org.netbeans.api:org-netbeans-modules-editor-lib2:RELEASE122;org.netbeans.api:org-netbeans-modules-projectapi:RELEASE122;org.netbeans.api:org-openide-filesystems:RELEASE122;org.netbeans.api:org-openide-util:RELEASE122;org.netbeans.api:org-openide-util-lookup:RELEASE122
6,de.mhus.lib:lib-j2ee:7.3.0,de.mhus.lib:lib-j2ee:7.3.0;javax.portlet:portlet-api:2.0;javax.servlet:javax.servlet-api:3.1.0;de.mhus.lib:lib-core:7.3.0;de.mhus.lib:lib-annotations:7.3.0;org.bouncycastle:bcprov-jdk15on:1.66;org.bouncycastle:bcmail-jdk15:1.46;org.apache.httpcomponents:httpclient:4.5.7;org.apache.httpcomponents:httpcore:4.4.11;commons-logging:commons-logging:1.2;commons-codec:commons-codec:1.11;net.bytebuddy:byte-buddy:1.9.4;net.bytebuddy:byte-buddy-agent:1.9.4;javax.mail:mail:1.4.1;javax.activation:activation:1.1;org.jline:jline:3.9.0;org.apache.shiro:shiro-core:1.6.0;org.apache.shiro:shiro-lang:1.6.0;org.apache.shiro:shiro-cache:1.6.0;org.apache.shiro:shiro-crypto-hash:1.6.0;org.apache.shiro:shiro-crypto-core:1.6.0;org.apache.shiro:shiro-crypto-cipher:1.6.0;org.apache.shiro:shiro-event:1.6.0;org.apache.shiro:shiro-config-core:1.6.0;org.apache.shiro:shiro-config-ogdl:1.6.0;commons-beanutils:commons-beanutils:1.9.4;commons-collections:commons-collections:3.2.2;io.jsonwebtoken:jjwt-api:0.11.2;io.jsonwebtoken:jjwt-impl:0.11.2;io.jsonwebtoken:jjwt-jackson:0.11.2;org.yaml:snakeyaml:1.26;org.apache.maven:maven-plugin-api:3.6.3;org.apache.maven:maven-model:3.6.3;org.apache.maven:maven-artifact:3.6.3;org.apache.commons:commons-lang3:3.8.1;org.eclipse.sisu:org.eclipse.sisu.plexus:0.3.4;javax.enterprise:cdi-api:1.0;javax.annotation:jsr250-api:1.0;javax.inject:javax.inject:1;org.eclipse.sisu:org.eclipse.sisu.inject:0.3.4;org.codehaus.plexus:plexus-component-annotations:1.5.5;org.codehaus.plexus:plexus-utils:3.2.1;org.codehaus.plexus:plexus-classworlds:2.6.0;io.opentracing:opentracing-api:0.31.0;io.opentracing:opentracing-util:0.31.0;io.opentracing:opentracing-noop:0.31.0;com.fasterxml.jackson.core:jackson-databind:2.10.2;com.fasterxml.jackson.core:jackson-annotations:2.10.2;com.fasterxml.jackson.core:jackson-core:2.10.2;org.apache.logging.log4j:log4j-core:2.8.1;org.apache.logging.log4j:log4j-api:2.8.1;org.slf4j:slf4j-api:1.7.6
7,org.minijax:minijax-security:0.5.9,org.minijax:minijax-security:0.5.9;org.mindrot:jbcrypt:0.4
8,org.typelevel:simulacrum_2.13:1.0.1,org.typelevel:simulacrum_2.13:1.0.1;org.scala-lang:scala-library:2.13.2
9,org.webjars.npm:uppy__thumbnail-generator:1.6.7,org.webjars.npm:uppy__thumbnail-generator:1.6.7;org.webjars.npm:uppy__utils:3.6.2;org.webjars.npm:abortcontroller-polyfill:1.7.3;org.webjars.npm:lodash.throttle:4.1.1;org.webjars.npm:exifr:5.0.6;org.webjars.npm:math-log2:1.0.1
