number,coordinate,dependencies
0,io.laminext:websocket-circe_sjs1_3.0.0-RC1:0.12.1,io.laminext:websocket-circe_sjs1_3.0.0-RC1:0.12.1;io.laminext:websocket_sjs1_3.0.0-RC1:0.12.1;org.scala-lang:scala3-library_sjs1_3.0.0-RC1:3.0.0-RC1;org.scala-lang:scala-library:2.13.4;org.scala-js:scalajs-library_2.13:1.5.0;com.raquo:laminar_sjs1_2.13:0.12.1;com.raquo:airstream_sjs1_2.13:0.12.0;org.scala-js:scalajs-dom_sjs1_2.13:1.1.0;app.tulz:tuplez-full-light_sjs1_2.13:0.3.1;com.raquo:domtypes_sjs1_2.13:0.13.0;io.circe:circe-core_sjs1_2.13:0.13.0;io.circe:circe-numbers_sjs1_2.13:0.13.0;org.typelevel:cats-core_sjs1_2.13:2.1.1;org.typelevel:cats-macros_sjs1_2.13:2.1.1;org.typelevel:cats-kernel_sjs1_2.13:2.1.1;io.circe:circe-parser_sjs1_2.13:0.13.0;io.circe:circe-scalajs_sjs1_2.13:0.13.0
1,cn.org.faster:spring-boot-starter-dict:1.4.1.RELEASE,cn.org.faster:spring-boot-starter-dict:1.4.1.RELEASE;cn.org.faster:faster-dict:1.4.1.RELEASE;cn.org.faster:faster-core:1.4.1.RELEASE;org.springframework.boot:spring-boot-starter-test:2.1.5.RELEASE;org.springframework.boot:spring-boot-starter:2.1.5.RELEASE;org.springframework.boot:spring-boot:2.1.5.RELEASE;org.springframework:spring-context:5.1.7.RELEASE;org.springframework:spring-aop:5.1.7.RELEASE;org.springframework:spring-expression:5.1.7.RELEASE;org.springframework.boot:spring-boot-autoconfigure:2.1.5.RELEASE;org.springframework.boot:spring-boot-starter-logging:2.1.5.RELEASE;org.apache.logging.log4j:log4j-to-slf4j:2.11.2;org.apache.logging.log4j:log4j-api:2.11.2;org.slf4j:jul-to-slf4j:1.7.26;javax.annotation:javax.annotation-api:1.3.2;org.yaml:snakeyaml:1.23;org.springframework.boot:spring-boot-test:2.1.5.RELEASE;org.springframework.boot:spring-boot-test-autoconfigure:2.1.5.RELEASE;com.jayway.jsonpath:json-path:2.4.0;net.minidev:json-smart:2.3;net.minidev:accessors-smart:1.2;org.ow2.asm:asm:5.0.4;junit:junit:4.12;org.assertj:assertj-core:3.11.1;org.mockito:mockito-core:2.23.4;net.bytebuddy:byte-buddy:1.9.3;net.bytebuddy:byte-buddy-agent:1.9.3;org.objenesis:objenesis:2.6;org.hamcrest:hamcrest-core:1.3;org.hamcrest:hamcrest-library:1.3;org.skyscreamer:jsonassert:1.5.0;org.springframework:spring-core:5.1.7.RELEASE;org.springframework:spring-jcl:5.1.7.RELEASE;org.springframework:spring-test:5.1.7.RELEASE;org.xmlunit:xmlunit-core:2.6.2;javax.xml.bind:jaxb-api:2.3.0;javax.validation:validation-api:2.0.1.Final;org.springframework.boot:spring-boot-configuration-processor:2.1.5.RELEASE;io.jsonwebtoken:jjwt:0.9.0;com.fasterxml.jackson.core:jackson-databind:2.8.9;com.fasterxml.jackson.core:jackson-annotations:2.8.0;com.fasterxml.jackson.core:jackson-core:2.8.9;org.projectlombok:lombok:1.16.20;com.alibaba:fastjson:1.2.47;org.apache.commons:commons-pool2:2.6.2;org.springframework:spring-tx:5.1.7.RELEASE;org.springframework:spring-beans:5.1.7.RELEASE;cn.hutool:hutool-all:4.5.14;net.logstash.logback:logstash-logback-encoder:5.3;ch.qos.logback:logback-classic:1.2.3;ch.qos.logback:logback-core:1.2.3;org.slf4j:slf4j-api:1.7.25
2,org.netbeans.modules:org-netbeans-modules-debugger-jpda-ant:RELEASE122,org.netbeans.modules:org-netbeans-modules-debugger-jpda-ant:RELEASE122;org.netbeans.api:org-apache-tools-ant-module:RELEASE122;org.netbeans.api:org-netbeans-api-annotations-common:RELEASE122;org.netbeans.api:org-netbeans-api-progress:RELEASE122;org.netbeans.api:org-netbeans-api-progress-nb:RELEASE122;org.netbeans.api:org-netbeans-api-xml:RELEASE122;org.netbeans.api:org-netbeans-api-xml-ui:RELEASE122;org.netbeans.api:org-netbeans-core-multiview:RELEASE122;org.netbeans.api:org-netbeans-modules-options-api:RELEASE122;org.netbeans.modules:org-netbeans-core:RELEASE122;org.netbeans.modules:org-netbeans-bootstrap:RELEASE122;org.netbeans.api:org-netbeans-modules-keyring:RELEASE122;org.netbeans.api:org-netbeans-modules-sampler:RELEASE122;org.netbeans.api:org-netbeans-swing-plaf:RELEASE122;org.netbeans.modules:org-netbeans-core-startup:RELEASE122;org.netbeans.modules:org-netbeans-core-startup-base:RELEASE122;org.netbeans.api:org-netbeans-spi-quicksearch:RELEASE122;org.netbeans.api:org-netbeans-swing-outline:RELEASE122;org.netbeans.modules:org-netbeans-modules-options-java:RELEASE122;org.netbeans.modules:org-netbeans-modules-project-indexingbridge:RELEASE122;org.netbeans.api:org-netbeans-modules-projectuiapi:RELEASE122;org.netbeans.api:org-netbeans-api-templates:RELEASE122;org.netbeans.api:org-netbeans-modules-projectuiapi-base:RELEASE122;org.netbeans.api:org-netbeans-modules-queries:RELEASE122;org.netbeans.api:org-netbeans-spi-navigator:RELEASE122;org.netbeans.api:org-openide-actions:RELEASE122;org.netbeans.api:org-openide-awt:RELEASE122;org.netbeans.api:org-openide-dialogs:RELEASE122;org.netbeans.api:org-openide-execution:RELEASE122;org.netbeans.api:org-openide-explorer:RELEASE122;org.netbeans.api:org-netbeans-swing-tabcontrol:RELEASE122;org.netbeans.api:org-openide-filesystems-nb:RELEASE122;org.netbeans.api:org-openide-io:RELEASE122;org.netbeans.api:org-netbeans-api-intent:RELEASE122;org.netbeans.api:org-netbeans-api-io:RELEASE122;org.netbeans.api:org-openide-loaders:RELEASE122;org.netbeans.api:org-openide-modules:RELEASE122;org.netbeans.api:org-openide-nodes:RELEASE122;org.netbeans.api:org-openide-text:RELEASE122;org.netbeans.api:org-openide-util-ui:RELEASE122;org.netbeans.api:org-openide-windows:RELEASE122;org.netbeans.api:org-netbeans-api-debugger:RELEASE122;org.netbeans.api:org-netbeans-api-debugger-jpda:RELEASE122;org.netbeans.api:org-netbeans-api-java:RELEASE122;org.netbeans.api:org-netbeans-api-java-classpath:RELEASE122;org.netbeans.api:org-netbeans-libs-javacapi:RELEASE122;org.netbeans.api:org-netbeans-modules-java-platform:RELEASE122;org.netbeans.api:org-netbeans-modules-java-source-base:RELEASE122;org.netbeans.api:org-netbeans-api-scripting:RELEASE122;org.netbeans.modules:org-netbeans-lib-nbjavac:RELEASE122;org.netbeans.api:org-netbeans-libs-asm:RELEASE122;org.ow2.asm:asm:8.0.1;org.ow2.asm:asm-tree:8.0.1;org.ow2.asm:asm-commons:8.0.1;org.ow2.asm:asm-analysis:8.0.1;org.netbeans.modules:org-netbeans-libs-javacimpl:RELEASE122;org.netbeans.api:org-netbeans-libs-lucene:RELEASE122;org.apache.lucene:lucene-core:3.6.2;org.netbeans.api:org-netbeans-modules-classfile:RELEASE122;org.netbeans.api:org-netbeans-modules-editor-document:RELEASE122;org.netbeans.api:org-netbeans-modules-editor-guards:RELEASE122;org.netbeans.api:org-netbeans-modules-editor-indent:RELEASE122;org.netbeans.api:org-netbeans-modules-editor-mimelookup:RELEASE122;org.netbeans.api:org-netbeans-modules-editor-settings:RELEASE122;org.netbeans.api:org-netbeans-modules-editor-util:RELEASE122;org.netbeans.api:org-netbeans-modules-java-lexer:RELEASE122;org.netbeans.modules:org-netbeans-modules-java-preprocessorbridge:RELEASE122;org.netbeans.api:org-netbeans-modules-lexer:RELEASE122;org.netbeans.api:org-netbeans-modules-parsing-api:RELEASE122;org.netbeans.api:org-netbeans-modules-parsing-indexing:RELEASE122;org.netbeans.api:org-netbeans-spi-tasklist:RELEASE122;org.netbeans.modules:org-netbeans-modules-parsing-lucene:RELEASE122;org.netbeans.modules:org-netbeans-modules-masterfs:RELEASE122;org.netbeans.api:org-netbeans-modules-refactoring-api:RELEASE122;org.netbeans.api:org-netbeans-modules-diff:RELEASE122;org.netbeans.modules:org-netbeans-modules-editor-errorstripe:RELEASE122;org.netbeans.api:org-netbeans-modules-editor-errorstripe-api:RELEASE122;org.netbeans.api:org-netbeans-modules-editor-fold:RELEASE122;org.netbeans.api:org-netbeans-modules-editor-settings-lib:RELEASE122;org.netbeans.modules:org-netbeans-modules-options-editor:RELEASE122;org.netbeans.api:org-netbeans-modules-editor:RELEASE122;org.netbeans.modules:org-netbeans-modules-editor-fold-nbui:RELEASE122;org.netbeans.modules:org-netbeans-modules-editor-settings-storage:RELEASE122;org.netbeans.modules:org-netbeans-modules-options-keymap:RELEASE122;org.netbeans.api:org-netbeans-modules-editor-lib:RELEASE122;org.netbeans.api:org-netbeans-modules-editor-lib2:RELEASE122;org.netbeans.api:org-netbeans-modules-projectapi:RELEASE122;org.netbeans.api:org-openide-filesystems:RELEASE122;org.netbeans.api:org-openide-util:RELEASE122;org.netbeans.api:org-openide-util-lookup:RELEASE122
3,org.minijax:minijax-security:0.5.9,org.minijax:minijax-security:0.5.9;org.mindrot:jbcrypt:0.4
4,org.typelevel:simulacrum_2.13:1.0.1,org.typelevel:simulacrum_2.13:1.0.1;org.scala-lang:scala-library:2.13.2
5,io.swagger.parser.v3:swagger-parser-v3:2.0.24,io.swagger.parser.v3:swagger-parser-v3:2.0.24;io.swagger.core.v3:swagger-models:2.1.5;io.swagger.core.v3:swagger-core:2.1.5;jakarta.xml.bind:jakarta.xml.bind-api:2.3.2;jakarta.activation:jakarta.activation-api:1.2.1;org.apache.commons:commons-lang3:3.7;org.slf4j:slf4j-api:1.7.25;com.fasterxml.jackson.datatype:jackson-datatype-jsr310:2.11.1;io.swagger.core.v3:swagger-annotations:2.1.5;jakarta.validation:jakarta.validation-api:2.0.2;io.swagger.parser.v3:swagger-parser-core:2.0.24;commons-io:commons-io:2.6;com.fasterxml.jackson.core:jackson-annotations:2.11.1;com.fasterxml.jackson.core:jackson-databind:2.11.1;com.fasterxml.jackson.core:jackson-core:2.11.1;com.fasterxml.jackson.dataformat:jackson-dataformat-yaml:2.11.1;org.yaml:snakeyaml:1.26
6,io.github.dsc-finance-open:yama-open-sdk:1.0.5,io.github.dsc-finance-open:yama-open-sdk:1.0.5;com.squareup.okhttp3:okhttp:3.10.0;com.squareup.okio:okio:1.14.0;com.alibaba:fastjson:1.2.69
7,io.joynr.java.messaging.websocket:joynr-websocket-common:1.15.2,io.joynr.java.messaging.websocket:joynr-websocket-common:1.15.2;io.joynr.java:javaapi:1.15.2;com.google.inject:guice:3.0;javax.inject:javax.inject:1;aopalliance:aopalliance:1.0;com.fasterxml.jackson.core:jackson-databind:2.10.2;com.fasterxml.jackson.core:jackson-annotations:2.10.2;com.fasterxml.jackson.core:jackson-core:2.10.2;org.eclipse.jetty.websocket:websocket-api:9.2.13.v20150730;io.joynr.java.messaging:messaging-common:1.15.2;io.joynr.java.common:guice-integration:1.15.2;com.google.inject.extensions:guice-multibindings:3.0;io.joynr.smrf.java:smrf:0.3.3;io.joynr.smrf.java:smrf-api:0.3.3;com.google.flatbuffers:flatbuffers-java:1.10.0;org.slf4j:slf4j-api:1.7.25
8,net.sf.jeceira:jeceira:0.1.4,net.sf.jeceira:jeceira:0.1.4;log4j:log4j:1.2.9;commons-lang:commons-lang:2.0;commons-collections:commons-collections:3.1;xerces:xercesImpl:2.6.2;xerces:xmlParserAPIs:2.6.2;com.aparzev:doka:0.1;com.aparzev:commons:0.2;org.safehaus.jug:jug:2.0.0
9,net.sourceforge.jbizmo:jbizmo-commons-jsf:5.0.0,net.sourceforge.jbizmo:jbizmo-commons-jsf:5.0.0;org.primefaces:primefaces:7.0;net.sourceforge.jbizmo:jbizmo-commons:5.0.0;org.slf4j:slf4j-api:1.7.25;jakarta.xml.bind:jakarta.xml.bind-api:2.3.2;jakarta.activation:jakarta.activation-api:1.2.1
