number,coordinate,dependencies
0,com.github.alexarchambault:case-app-util_2.12:2.0.0-M3,com.github.alexarchambault:case-app-util_2.12:2.0.0-M3;org.scala-lang:scala-library:2.12.4;com.chuusai:shapeless_2.12:2.3.3;org.typelevel:macro-compat_2.12:1.1.1
1,com.speedment.runtime:runtime-core:3.1.5,com.speedment.runtime:runtime-core:3.1.5;com.speedment.common:invariant:1.0.3;com.speedment.common:function:1.0.5;com.speedment.common:mapstream:2.3.5;com.speedment.common:logger:1.0.4;com.speedment.common:injector:1.2.1;com.speedment.common:json:1.0.4;com.speedment.common:tuple:1.0.9;com.speedment.common:lazy:1.0.3;com.speedment.common:jvm-version:1.0.0;com.speedment.common:singleton-stream:1.0.1;com.speedment.runtime:runtime-config:3.1.5;com.speedment.runtime:runtime-typemapper:3.1.5;com.speedment.runtime:runtime-field:3.1.5;com.speedment.common:annotation:1.0.0;com.speedment.runtime:runtime-compute:3.1.5
2,com.github.salomonbrys.kotson:kotson:2.4.0,com.github.salomonbrys.kotson:kotson:2.4.0;com.google.code.gson:gson:2.7;org.jetbrains.kotlin:kotlin-stdlib:1.0.3;org.jetbrains.kotlin:kotlin-runtime:1.0.3
3,org.commonjava.util:logging:1.3.1,org.commonjava.util:logging:1.3.1;org.slf4j:slf4j-api:1.6.1;log4j:log4j:1.2.12
4,de.averbis.textanalysis:components-core-typesystem:3.22.0,de.averbis.textanalysis:components-core-typesystem:3.22.0;org.apache.uima:uimaj-core:2.10.3;javax.xml.bind:jaxb-api:2.3.1;javax.activation:javax.activation-api:1.2.0;com.sun.xml.bind:jaxb-core:2.3.0.1;com.sun.xml.bind:jaxb-impl:2.3.1;javax.annotation:javax.annotation-api:1.3.2;org.apache.uima:uimaj-document-annotation:2.10.3
5,io.github.azhur:kafka-serde-json4s_2.12:0.3.0,io.github.azhur:kafka-serde-json4s_2.12:0.3.0;org.scala-lang:scala-library:2.12.6;org.apache.kafka:kafka-clients:1.1.0;org.lz4:lz4-java:1.4;org.xerial.snappy:snappy-java:1.1.7.1;org.slf4j:slf4j-api:1.7.25;org.json4s:json4s-core_2.12:3.5.4;org.json4s:json4s-ast_2.12:3.5.4;org.json4s:json4s-scalap_2.12:3.5.4;com.thoughtworks.paranamer:paranamer:2.8;org.scala-lang.modules:scala-xml_2.12:1.0.6
6,com.nhncorp.ntaf:ntaf-maven-plugin:20101108,com.nhncorp.ntaf:ntaf-maven-plugin:20101108;org.apache.maven:maven-plugin-api:2.0;org.apache.maven:maven-project:2.0;org.apache.maven:maven-profile:2.0;org.apache.maven:maven-model:2.0;org.apache.maven:maven-artifact-manager:2.0;org.apache.maven:maven-repository-metadata:2.0;org.apache.maven.wagon:wagon-provider-api:1.0-alpha-5;org.codehaus.plexus:plexus-utils:1.0.4;org.apache.maven:maven-artifact:2.0;org.codehaus.plexus:plexus-container-default:1.0-alpha-8;classworlds:classworlds:1.1-alpha-2;org.apache.maven:maven-settings:2.0;org.apache.maven:maven-archiver:2.0;org.codehaus.plexus:plexus-archiver:1.0-alpha-3;commons-logging:commons-logging:1.1.1;sshtools:j2ssh-core:0.2.9;commons-httpclient:commons-httpclient:3.1;commons-codec:commons-codec:1.2;com.nhncorp.ntaf:ntaf-fitnesse:20101108;org.apache.ant:ant:1.7.0;org.apache.ant:ant-launcher:1.7.0;org.easymock:easymock:2.0;org.apache.commons:commons-email:1.1;javax.mail:mail:1.4;javax.activation:activation:1.1;jfree:jfreechart:1.0.0;jfree:jcommon:1.0.0;org.apache.velocity:velocity:1.6.2;commons-collections:commons-collections:3.2.1;commons-lang:commons-lang:2.4;oro:oro:2.0.8;org.json:json:20080701;org.mockito:mockito-all:1.7;xerces:xercesImpl:2.4.0;org.htmlparser:htmlparser:1.6;org.jdom:jdom:1.1;net.sourceforge.htmlunit:htmlunit:2.7;xalan:xalan:2.7.1;xalan:serializer:2.7.1;net.sourceforge.htmlunit:htmlunit-core-js:2.7;net.sourceforge.nekohtml:nekohtml:1.9.14;net.sourceforge.cssparser:cssparser:0.9.5;org.w3c.css:sac:1.3;commons-io:commons-io:1.4;jaxen:jaxen:1.1;dom4j:dom4j:1.6.1;jdom:jdom:1.0;xml-apis:xml-apis:1.3.02;xom:xom:1.0;xerces:xmlParserAPIs:2.6.2;com.ibm.icu:icu4j:2.6.1;junit:junit:4.5;log4j:log4j:1.2.16
7,org.commonjava.util:logging:1.3,org.commonjava.util:logging:1.3;org.slf4j:slf4j-api:1.6.1;log4j:log4j:1.2.12
8,com.nhncorp.ntaf:ntaf-maven-plugin:20100730,com.nhncorp.ntaf:ntaf-maven-plugin:20100730;org.apache.maven:maven-plugin-api:2.0;org.apache.maven:maven-project:2.0;org.apache.maven:maven-profile:2.0;org.apache.maven:maven-model:2.0;org.apache.maven:maven-artifact-manager:2.0;org.apache.maven:maven-repository-metadata:2.0;org.apache.maven.wagon:wagon-provider-api:1.0-alpha-5;org.codehaus.plexus:plexus-utils:1.0.4;org.apache.maven:maven-artifact:2.0;org.codehaus.plexus:plexus-container-default:1.0-alpha-8;classworlds:classworlds:1.1-alpha-2;org.apache.maven:maven-settings:2.0;org.apache.maven:maven-archiver:2.0;org.codehaus.plexus:plexus-archiver:1.0-alpha-3;commons-logging:commons-logging:1.1.1;sshtools:j2ssh-core:0.2.9;commons-httpclient:commons-httpclient:3.1;commons-codec:commons-codec:1.2;com.nhncorp.ntaf:ntaf-fitnesse:20100730;org.apache.ant:ant:1.7.0;org.apache.ant:ant-launcher:1.7.0;org.easymock:easymock:2.0;org.apache.commons:commons-email:1.1;javax.mail:mail:1.4;javax.activation:activation:1.1;jfree:jfreechart:1.0.0;jfree:jcommon:1.0.0;org.apache.velocity:velocity:1.6.2;commons-collections:commons-collections:3.2.1;commons-lang:commons-lang:2.4;oro:oro:2.0.8;org.json:json:20080701;org.mockito:mockito-all:1.7;xerces:xercesImpl:2.4.0;org.htmlparser:htmlparser:1.6;org.jdom:jdom:1.1;junit:junit:4.5;log4j:log4j:1.2.16
9,org.apache.reef:reef-examples-hdinsight:0.15.0,org.apache.reef:reef-examples-hdinsight:0.15.0;org.apache.reef:reef-common:0.15.0;org.apache.reef:reef-annotations:0.15.0;org.apache.reef:reef-utils:0.15.0;javax.inject:javax.inject:1;com.google.protobuf:protobuf-java:2.5.0;org.apache.reef:wake:0.15.0;cglib:cglib:3.1;org.ow2.asm:asm:4.2;io.netty:netty-all:4.0.21.Final;org.apache.reef:tang:0.15.0;net.jcip:jcip-annotations:1.0;org.apache.commons:commons-lang3:3.3.2;com.google.code.findbugs:jsr305:3.0.1;org.apache.reef:reef-runtime-hdinsight:0.15.0;org.apache.reef:reef-runtime-yarn:0.15.0;org.apache.reef:reef-utils-hadoop:0.15.0;com.microsoft.windowsazure.storage:microsoft-windowsazure-storage-sdk:0.5.0;com.fasterxml.jackson.core:jackson-core:2.2.3;org.apache.httpcomponents:httpclient:4.3.4;org.apache.httpcomponents:httpcore:4.3.2;org.codehaus.jackson:jackson-mapper-asl:1.9.13;org.codehaus.jackson:jackson-core-asl:1.9.13;org.apache.reef:reef-examples:0.15.0;org.apache.reef:reef-runtime-local:0.15.0;org.apache.reef:reef-runtime-mesos:0.15.0;org.apache.mesos:mesos:0.25.0;org.apache.reef:reef-io:0.15.0;org.apache.reef:reef-checkpoint:0.15.0;org.apache.reef:reef-webserver:0.15.0;org.apache.reef:reef-poison:0.15.0;org.apache.reef:reef-runtime-multi:0.15.0;org.apache.hadoop:hadoop-common:2.6.0;org.apache.hadoop:hadoop-annotations:2.6.0;com.google.guava:guava:11.0.2;commons-cli:commons-cli:1.2;org.apache.commons:commons-math3:3.1.1;xmlenc:xmlenc:0.52;commons-httpclient:commons-httpclient:3.1;commons-codec:commons-codec:1.4;commons-io:commons-io:2.4;commons-net:commons-net:3.1;commons-collections:commons-collections:3.2.1;javax.servlet:servlet-api:2.5;org.mortbay.jetty:jetty:6.1.26;org.mortbay.jetty:jetty-util:6.1.26;com.sun.jersey:jersey-core:1.9;com.sun.jersey:jersey-json:1.9;org.codehaus.jettison:jettison:1.1;com.sun.xml.bind:jaxb-impl:2.2.3-1;com.sun.jersey:jersey-server:1.9;asm:asm:3.1;tomcat:jasper-compiler:5.5.23;tomcat:jasper-runtime:5.5.23;javax.servlet.jsp:jsp-api:2.1;commons-el:commons-el:1.0;commons-logging:commons-logging:1.1.3;log4j:log4j:1.2.17;net.java.dev.jets3t:jets3t:0.9.0;com.jamesmurty.utils:java-xmlbuilder:0.4;commons-lang:commons-lang:2.6;commons-configuration:commons-configuration:1.6;commons-digester:commons-digester:1.8;commons-beanutils:commons-beanutils:1.7.0;commons-beanutils:commons-beanutils-core:1.8.0;org.slf4j:slf4j-api:1.7.5;org.apache.avro:avro:1.7.4;com.thoughtworks.paranamer:paranamer:2.3;org.xerial.snappy:snappy-java:1.0.4.1;com.google.code.gson:gson:2.2.4;org.apache.hadoop:hadoop-auth:2.6.0;org.apache.directory.server:apacheds-kerberos-codec:2.0.0-M15;org.apache.directory.server:apacheds-i18n:2.0.0-M15;org.apache.directory.api:api-asn1-api:1.0.0-M20;org.apache.directory.api:api-util:1.0.0-M20;org.apache.curator:curator-framework:2.6.0;com.jcraft:jsch:0.1.42;org.apache.curator:curator-client:2.6.0;org.apache.curator:curator-recipes:2.6.0;org.htrace:htrace-core:3.0.4;org.apache.zookeeper:zookeeper:3.4.6;io.netty:netty:3.7.0.Final;org.apache.commons:commons-compress:1.4.1;org.tukaani:xz:1.0;org.apache.hadoop:hadoop-yarn-common:2.6.0;javax.xml.bind:jaxb-api:2.2.2;javax.xml.stream:stax-api:1.0-2;javax.activation:activation:1.1;com.sun.jersey:jersey-client:1.9;org.codehaus.jackson:jackson-jaxrs:1.9.13;org.codehaus.jackson:jackson-xc:1.9.13;com.google.inject.extensions:guice-servlet:3.0;com.google.inject:guice:3.0;aopalliance:aopalliance:1.0;com.sun.jersey.contribs:jersey-guice:1.9;org.apache.hadoop:hadoop-yarn-client:2.6.0;org.apache.hadoop:hadoop-yarn-api:2.6.0
