number,coordinate,opalTime,totalMergeTime,cgPool,mergeTime,UCHTime,opalNodes,opalEdges,mergeNodes,mergeEdges,dependencies
0,io.laminext:websocket-circe_sjs1_3.0.0-RC1:0.12.1,0,77946,58488,19458,2243,0,0,197965,6557097,io.laminext:websocket-circe_sjs1_3.0.0-RC1:0.12.1;com.raquo:domtypes_sjs1_2.13:0.13.0;com.raquo:airstream_sjs1_2.13:0.12.0;io.circe:circe-core_sjs1_2.13:0.13.0;org.typelevel:cats-core_sjs1_2.13:2.1.1;io.circe:circe-scalajs_sjs1_2.13:0.13.0;io.laminext:websocket_sjs1_3.0.0-RC1:0.12.1;org.scala-lang:scala3-library_sjs1_3.0.0-RC1:3.0.0-RC1;org.typelevel:cats-macros_sjs1_2.13:2.1.1;com.raquo:laminar_sjs1_2.13:0.12.1;org.scala-js:scalajs-dom_sjs1_2.13:1.1.0;org.scala-lang:scala-library:2.13.4;org.scala-js:scalajs-library_2.13:1.5.0;io.circe:circe-numbers_sjs1_2.13:0.13.0;io.circe:circe-parser_sjs1_2.13:0.13.0;org.typelevel:cats-kernel_sjs1_2.13:2.1.1;app.tulz:tuplez-full-light_sjs1_2.13:0.3.1
1,cn.org.faster:spring-boot-starter-dict:1.4.1.RELEASE,0,56897,51311,5586,1039,0,0,89246,1334750,javax.xml.bind:jaxb-api:2.3.0;cn.org.faster:spring-boot-starter-dict:1.4.1.RELEASE;org.springframework.boot:spring-boot-starter:2.1.5.RELEASE;org.springframework.boot:spring-boot-configuration-processor:2.1.5.RELEASE;net.minidev:accessors-smart:1.2;org.springframework.boot:spring-boot-autoconfigure:2.1.5.RELEASE;org.hamcrest:hamcrest-core:1.3;net.logstash.logback:logstash-logback-encoder:5.3;cn.hutool:hutool-all:4.5.14;junit:junit:4.12;org.springframework:spring-test:5.1.7.RELEASE;org.apache.logging.log4j:log4j-api:2.11.2;org.apache.logging.log4j:log4j-to-slf4j:2.11.2;org.assertj:assertj-core:3.11.1;org.mockito:mockito-core:2.23.4;org.springframework.boot:spring-boot-starter-test:2.1.5.RELEASE;org.springframework.boot:spring-boot-test:2.1.5.RELEASE;com.fasterxml.jackson.core:jackson-core:2.8.9;ch.qos.logback:logback-core:1.2.3;org.springframework:spring-tx:5.1.7.RELEASE;org.springframework:spring-context:5.1.7.RELEASE;org.springframework.boot:spring-boot-test-autoconfigure:2.1.5.RELEASE;org.hamcrest:hamcrest-library:1.3;com.fasterxml.jackson.core:jackson-databind:2.8.9;org.slf4j:slf4j-api:1.7.25;org.springframework:spring-jcl:5.1.7.RELEASE;cn.org.faster:faster-dict:1.4.1.RELEASE;org.skyscreamer:jsonassert:1.5.0;org.springframework.boot:spring-boot:2.1.5.RELEASE;com.alibaba:fastjson:1.2.47;javax.annotation:javax.annotation-api:1.3.2;net.bytebuddy:byte-buddy:1.9.3;org.springframework.boot:spring-boot-starter-logging:2.1.5.RELEASE;net.minidev:json-smart:2.3;org.ow2.asm:asm:5.0.4;org.yaml:snakeyaml:1.23;org.springframework:spring-expression:5.1.7.RELEASE;org.xmlunit:xmlunit-core:2.6.2;org.projectlombok:lombok:1.16.20;javax.validation:validation-api:2.0.1.Final;org.springframework:spring-beans:5.1.7.RELEASE;org.objenesis:objenesis:2.6;org.apache.commons:commons-pool2:2.6.2;io.jsonwebtoken:jjwt:0.9.0;com.jayway.jsonpath:json-path:2.4.0;cn.org.faster:faster-core:1.4.1.RELEASE;com.fasterxml.jackson.core:jackson-annotations:2.8.0;org.slf4j:jul-to-slf4j:1.7.26;net.bytebuddy:byte-buddy-agent:1.9.3;org.springframework:spring-aop:5.1.7.RELEASE;org.springframework:spring-core:5.1.7.RELEASE;ch.qos.logback:logback-classic:1.2.3
2,org.scalatest:scalatest-matchers-core_native0.4_2.11:3.2.4,0,67498,41163,26335,14058,0,0,114467,2690931,org.scala-native:junit-runtime_native0.4_2.11:0.4.0;org.scala-lang:scala-reflect:2.11.12;org.scalatest:scalatest-matchers-core_native0.4_2.11:3.2.4;org.scala-lang:scala-library:2.11.12;org.scala-native:posixlib_native0.4_2.11:0.4.0;org.scalatest:scalatest-core_native0.4_2.11:3.2.4;org.scala-native:test-interface-sbt-defs_native0.4_2.11:0.4.0;org.scala-native:javalib_native0.4_2.11:0.4.0;org.scala-native:scalalib_native0.4_2.11:0.4.0;org.scala-native:clib_native0.4_2.11:0.4.0;org.scalactic:scalactic_native0.4_2.11:3.2.4;org.scala-native:test-interface_native0.4_2.11:0.4.0;org.scala-native:auxlib_native0.4_2.11:0.4.0;org.scala-lang.modules:scala-xml_2.11:1.3.0;org.scala-native:nativelib_native0.4_2.11:0.4.0
3,org.netbeans.modules:org-netbeans-modules-debugger-jpda-ant:RELEASE122,0,50567,47987,2580,760,0,0,57947,675175,org.netbeans.modules:org-netbeans-core:RELEASE122;org.netbeans.api:org-openide-explorer:RELEASE122;org.netbeans.modules:org-netbeans-lib-nbjavac:RELEASE122;org.netbeans.modules:org-netbeans-modules-editor-errorstripe:RELEASE122;org.netbeans.api:org-netbeans-modules-sampler:RELEASE122;org.netbeans.api:org-netbeans-modules-editor-document:RELEASE122;org.netbeans.api:org-openide-filesystems:RELEASE122;org.netbeans.modules:org-netbeans-modules-debugger-jpda-ant:RELEASE122;org.netbeans.api:org-openide-windows:RELEASE122;org.netbeans.api:org-netbeans-swing-tabcontrol:RELEASE122;org.netbeans.api:org-netbeans-modules-editor-lib2:RELEASE122;org.netbeans.api:org-netbeans-modules-queries:RELEASE122;org.netbeans.api:org-netbeans-modules-editor:RELEASE122;org.netbeans.modules:org-netbeans-modules-options-java:RELEASE122;org.ow2.asm:asm-tree:8.0.1;org.netbeans.modules:org-netbeans-modules-options-keymap:RELEASE122;org.netbeans.modules:org-netbeans-modules-masterfs:RELEASE122;org.netbeans.api:org-netbeans-spi-quicksearch:RELEASE122;org.netbeans.api:org-netbeans-api-xml:RELEASE122;org.netbeans.modules:org-netbeans-bootstrap:RELEASE122;org.netbeans.api:org-netbeans-modules-editor-errorstripe-api:RELEASE122;org.netbeans.api:org-openide-io:RELEASE122;org.netbeans.api:org-openide-util-lookup:RELEASE122;org.netbeans.api:org-netbeans-libs-asm:RELEASE122;org.netbeans.api:org-netbeans-modules-projectuiapi:RELEASE122;org.netbeans.modules:org-netbeans-core-startup:RELEASE122;org.netbeans.api:org-netbeans-api-templates:RELEASE122;org.netbeans.api:org-openide-nodes:RELEASE122;org.ow2.asm:asm:8.0.1;org.netbeans.api:org-netbeans-api-intent:RELEASE122;org.netbeans.api:org-netbeans-modules-keyring:RELEASE122;org.netbeans.api:org-openide-execution:RELEASE122;org.netbeans.modules:org-netbeans-modules-parsing-lucene:RELEASE122;org.netbeans.api:org-openide-loaders:RELEASE122;org.netbeans.api:org-netbeans-modules-refactoring-api:RELEASE122;org.netbeans.api:org-netbeans-modules-editor-fold:RELEASE122;org.netbeans.api:org-openide-util:RELEASE122;org.netbeans.api:org-netbeans-modules-parsing-indexing:RELEASE122;org.netbeans.modules:org-netbeans-modules-java-preprocessorbridge:RELEASE122;org.netbeans.api:org-netbeans-modules-editor-settings:RELEASE122;org.netbeans.api:org-netbeans-modules-editor-guards:RELEASE122;org.netbeans.api:org-netbeans-modules-diff:RELEASE122;org.netbeans.api:org-netbeans-api-io:RELEASE122;org.netbeans.api:org-netbeans-api-java-classpath:RELEASE122;org.netbeans.api:org-netbeans-spi-navigator:RELEASE122;org.netbeans.api:org-netbeans-modules-editor-indent:RELEASE122;org.netbeans.modules:org-netbeans-modules-editor-settings-storage:RELEASE122;org.netbeans.api:org-netbeans-modules-editor-lib:RELEASE122;org.netbeans.api:org-netbeans-modules-projectuiapi-base:RELEASE122;org.netbeans.api:org-netbeans-modules-java-platform:RELEASE122;org.netbeans.api:org-netbeans-swing-plaf:RELEASE122;org.apache.lucene:lucene-core:3.6.2;org.netbeans.api:org-netbeans-modules-classfile:RELEASE122;org.netbeans.api:org-netbeans-modules-parsing-api:RELEASE122;org.netbeans.api:org-netbeans-api-progress-nb:RELEASE122;org.netbeans.api:org-netbeans-modules-java-lexer:RELEASE122;org.netbeans.modules:org-netbeans-modules-editor-fold-nbui:RELEASE122;org.netbeans.modules:org-netbeans-libs-javacimpl:RELEASE122;org.netbeans.api:org-netbeans-core-multiview:RELEASE122;org.ow2.asm:asm-commons:8.0.1;org.netbeans.api:org-netbeans-modules-editor-settings-lib:RELEASE122;org.netbeans.api:org-netbeans-api-progress:RELEASE122;org.netbeans.api:org-netbeans-libs-lucene:RELEASE122;org.netbeans.modules:org-netbeans-core-startup-base:RELEASE122;org.netbeans.api:org-apache-tools-ant-module:RELEASE122;org.netbeans.modules:org-netbeans-modules-project-indexingbridge:RELEASE122;org.netbeans.api:org-openide-util-ui:RELEASE122;org.netbeans.api:org-netbeans-modules-editor-mimelookup:RELEASE122;org.netbeans.api:org-netbeans-api-annotations-common:RELEASE122;org.netbeans.api:org-netbeans-spi-tasklist:RELEASE122;org.ow2.asm:asm-analysis:8.0.1;org.netbeans.api:org-netbeans-modules-options-api:RELEASE122;org.netbeans.api:org-netbeans-modules-projectapi:RELEASE122;org.netbeans.modules:org-netbeans-modules-options-editor:RELEASE122;org.netbeans.api:org-openide-awt:RELEASE122;org.netbeans.api:org-netbeans-libs-javacapi:RELEASE122;org.netbeans.api:org-netbeans-api-xml-ui:RELEASE122;org.netbeans.api:org-netbeans-modules-editor-util:RELEASE122;org.netbeans.api:org-netbeans-api-java:RELEASE122;org.netbeans.api:org-openide-dialogs:RELEASE122;org.netbeans.api:org-netbeans-modules-lexer:RELEASE122;org.netbeans.api:org-openide-text:RELEASE122;org.netbeans.api:org-netbeans-modules-java-source-base:RELEASE122;org.netbeans.api:org-netbeans-api-debugger-jpda:RELEASE122;org.netbeans.api:org-netbeans-api-scripting:RELEASE122;org.netbeans.api:org-openide-filesystems-nb:RELEASE122;org.netbeans.api:org-openide-modules:RELEASE122;org.netbeans.api:org-netbeans-swing-outline:RELEASE122;org.netbeans.api:org-openide-actions:RELEASE122;org.netbeans.api:org-netbeans-api-debugger:RELEASE122
4,org.minijax:minijax-security:0.5.9,407,3006,3000,6,20,60,60,59,58,org.mindrot:jbcrypt:0.4;org.minijax:minijax-security:0.5.9
5,org.typelevel:simulacrum_2.13:1.0.1,9856,27463,24017,3446,711,46401,1033503,45979,1001067,org.typelevel:simulacrum_2.13:1.0.1;org.scala-lang:scala-library:2.13.2
6,de.sciss:scalaosc_3.0.0-RC1:1.3.0,0,22036,22036,0,786,0,0,0,0,de.sciss:scalaosc_3.0.0-RC1:1.3.0;org.scala-lang:scala3-library_3.0.0-RC1:3.0.0-RC1;org.scala-lang:scala-library:2.13.4
7,ru.tinkoff:typed-schema-swagger-typesafe_2.12:0.14.2,0,126773,75508,51265,12879,0,0,255470,11473593,org.typelevel:jawn-parser_2.12:1.0.0;io.circe:circe-derivation_2.12:0.12.0-M7;io.circe:circe-derivation-annotations_2.12:0.12.0-M7;com.propensive:mercator_2.12:0.2.1;org.typelevel:cats-tagless-macros_2.12:0.12;ru.tinkoff:typed-schema-swagger-typesafe_2.12:0.14.2;com.beachape:enumeratum-macros_2.12:1.6.1;ru.tinkoff:tofu-optics-core_2.12:0.9.2;ru.tinkoff:typed-schema-swagger_2.12:0.14.2;org.typelevel:cats-tagless-core_2.12:0.12;org.scala-lang.modules:scala-collection-compat_2.12:2.4.1;com.beachape:enumeratum-circe_2.12:1.6.1;org.manatki:derevo-cats_2.12:0.11.6;org.typelevel:cats-kernel_2.12:2.4.1;ru.tinkoff:typed-schema-typedsl_2.12:0.14.2;io.circe:circe-numbers_2.12:0.13.0;com.chuusai:shapeless_2.12:2.3.3;com.beachape:enumeratum_2.12:1.6.1;ru.tinkoff:typed-schema-macros_2.12:0.14.2;org.scala-lang:scala-reflect:2.12.13;org.scala-lang:scala-library:2.12.13;io.circe:circe-parser_2.12:0.13.0;io.circe:circe-jawn_2.12:0.13.0;io.circe:circe-core_2.12:0.13.0;org.typelevel:alleycats-core_2.12:2.4.1;com.typesafe:config:1.4.1;org.typelevel:cats-core_2.12:2.4.1;org.typelevel:cats-free_2.12:2.4.1;org.typelevel:simulacrum-scalafix-annotations_2.12:0.5.3;org.typelevel:macro-compat_2.12:1.1.1;ru.tinkoff:tofu-optics-macro_2.12:0.9.2;org.manatki:derevo-core_2.12:0.11.6;com.propensive:magnolia_2.12:0.17.0;ru.tinkoff:tofu-core-higher-kind_2.12:0.9.2
8,net.joelinn:quartz-redis-jobstore:1.1.5,4213,15382,14988,394,187,18535,85884,18314,79166,com.fasterxml.jackson.core:jackson-databind:2.6.1;c3p0:c3p0:0.9.1.1;org.slf4j:slf4j-api:1.7.7;org.quartz-scheduler:quartz:2.2.1;org.apache.commons:commons-pool2:2.3;redis.clients:jedis:2.7.3;net.joelinn:quartz-redis-jobstore:1.1.5;org.quartz-scheduler:quartz-jobs:2.2.1;com.fasterxml.jackson.core:jackson-core:2.6.1;com.fasterxml.jackson.core:jackson-annotations:2.6.1
9,org.factcast:factcast-core:0.0.30,8254,16781,15804,977,357,24917,249613,24589,211976,net.bytebuddy:byte-buddy:1.9.0;org.junit.platform:junit-platform-engine:1.3.1;org.slf4j:slf4j-api:1.7.22;org.mockito:mockito-core:2.23.0;org.mockito:mockito-junit-jupiter:2.23.0;org.factcast:factcast-core:0.0.30;org.objenesis:objenesis:2.6;org.apiguardian:apiguardian-api:1.0.0;org.junit.platform:junit-platform-commons:1.3.1;org.junit.jupiter:junit-jupiter-api:5.1.1;com.fasterxml.jackson.core:jackson-databind:2.9.7;org.opentest4j:opentest4j:1.1.1;net.bytebuddy:byte-buddy-agent:1.9.0;com.fasterxml.jackson.core:jackson-core:2.9.7;com.fasterxml.jackson.core:jackson-annotations:2.9.0
