number,coordinate,occurrence,isolatedRevisionTime,nodes,edges
0,com.thoughtworks.xstream:xstream:1.4.5,1,1281,2556,0
1,org.netbeans.api:org-netbeans-modules-editor-document:RELEASE121,1,844,445,0
2,com.typesafe.play:play-netty-utils:2.5.4,1,37,98,0
3,org.netbeans.api:org-netbeans-modules-editor-document:RELEASE122,1,278,445,0
4,cn.org.faster:spring-boot-starter-dict:1.4.1.RELEASE,1,2590,11,0
5,systems.manifold:manifold-ext-rt:2020.1.27,1,209,317,0
6,de.mhus.lib:lib-j2ee:7.3.0,1,2833,275,0
7,org.minijax:minijax-security:0.5.9,1,2693,95,0
8,com.thoughtworks.xstream:xstream:1.4.9,1,2063,2727,0
9,com.github.julien-truffaut:monocle-core_2.12:1.6.3,1,1852,9914,0
10,org.scala-lang:scalap:2.10.5,1,0,0,0
11,com.thoughtworks.xstream:xstream:1.4.7,1,998,2664,0
12,org.apache.jena:jena-dboe-base:3.16.0,1,302,951,0
13,io.github.dsc-finance-open:yama-open-sdk:1.0.5,1,5938,1052,0
14,com.vladsch.flexmark:flexmark-ext-yaml-front-matter:0.50.40,1,36,63,0
15,org.eclipse.kapua:kapua-security-authentication-api:1.3.0,1,89,217,0
16,org.eclipse.jetty:jetty-io:8.1.10.v20130312,1,495,685,0
17,org.jboss.resteasy:resteasy-cdi:3.11.2.Final,1,178,237,0
18,org.eclipse.kapua:kapua-security-authentication-api:1.3.1,1,91,219,0
19,org.springframework.cloud:spring-cloud-starter-netflix-ribbon:1.4.7.RELEASE,1,12,0,0
20,org.opendaylight.openflowplugin:openflowjava-extension-eric:0.11.1,1,64,164,0
21,org.opendaylight.openflowplugin:openflowjava-extension-eric:0.11.2,1,68,164,0
22,org.bremersee:common-model:2.2.0,1,400,792,0
23,us.bpsm:edn-java:0.7.1,1,154,402,0
24,com.twitter:util-cache_2.12:6.45.0,1,121,249,0
25,org.apache.camel:camel-main:3.5.0,1,769,1075,0
26,org.netbeans.api:org-netbeans-modules-editor-document:RELEASE123,1,236,445,0
27,com.twitter:util-jvm_2.13:20.10.0,1,654,1595,0
28,org.springframework.boot:spring-boot-buildpack-platform:2.3.4.RELEASE,1,1295,1023,0
29,com.googlecode.concurrent-trees:concurrent-trees:2.6.1,1,221,465,0
30,com.googlecode.concurrent-trees:concurrent-trees:2.6.0,1,196,466,0
31,org.webjars:swagger-ui:3.25.2,1,9,0,0
32,org.springframework.boot:spring-boot:2.1.1.RELEASE,1,6870,4858,0
33,software.amazon.awscdk:efs:1.89.0,1,112,566,0
34,org.scala-lang:scala3-interfaces:3.0.0-M3,1,21,25,0
35,org.wvlet.airframe:airframe-sql_2.12:20.10.0,1,11256,9404,0
36,software.amazon.awssdk:metrics-spi:2.15.78,1,55,119,0
37,org.apache.sling:org.apache.sling.resourceresolver:1.4.8,1,708,800,0
38,cn.smartcoding:smart-job-core:1.0.0,1,6596,399,0
