number,rootCoordinate,artifact,mergeTime,internalNodes,externalNodes,internalEdges,externalEdges,resolvedNodes,resolvedEdges,dependencies
0,com.newrelic.agent.android:agent-gradle-plugin:5.6.1,com.newrelic.agent.android:class-rewriter:5.6.1,305,22421,2208,177670,20193,158,158,com.newrelic.agent.android:agent-gradle-plugin:5.6.1
1,com.newrelic.agent.android:agent-gradle-plugin:5.6.1,com.newrelic.agent.android:agent-gradle-plugin:5.6.1,1070,400,127,116,463,10,10,com.newrelic.agent.android:class-rewriter:5.6.1
2,com.github.shiver-me-timbers:smt-aws-cfn-cr-kms-decrypt:1.2,com.amazonaws:aws-lambda-java-core:1.1.0,211,32,2,1,3,0,0,com.github.shiver-me-timbers:smt-aws-cfn-cr-kms-decrypt:1.2;com.github.shiver-me-timbers:smt-aws-cfn-cr-scaffold:1.2;com.amazonaws:aws-lambda-java-log4j:1.0.0;log4j:log4j:1.2.17;com.fasterxml.jackson.core:jackson-databind:2.8.10;com.fasterxml.jackson.core:jackson-annotations:2.8.0;com.fasterxml.jackson.core:jackson-core:2.8.10;com.amazonaws:aws-java-sdk-kms:1.11.202;com.amazonaws:aws-java-sdk-core:1.11.202;commons-logging:commons-logging:1.1.3;org.apache.httpcomponents:httpclient:4.5.2;org.apache.httpcomponents:httpcore:4.4.4;commons-codec:commons-codec:1.9;software.amazon.ion:ion-java:1.0.2;com.fasterxml.jackson.dataformat:jackson-dataformat-cbor:2.6.7;joda-time:joda-time:2.8.1;com.amazonaws:jmespath-java:1.11.202
3,com.github.shiver-me-timbers:smt-aws-cfn-cr-kms-decrypt:1.2,com.amazonaws:aws-lambda-java-log4j:1.0.0,412,4,13,0,13,26,26,com.github.shiver-me-timbers:smt-aws-cfn-cr-kms-decrypt:1.2;com.github.shiver-me-timbers:smt-aws-cfn-cr-scaffold:1.2;com.amazonaws:aws-lambda-java-core:1.1.0;log4j:log4j:1.2.17;com.fasterxml.jackson.core:jackson-databind:2.8.10;com.fasterxml.jackson.core:jackson-annotations:2.8.0;com.fasterxml.jackson.core:jackson-core:2.8.10;com.amazonaws:aws-java-sdk-kms:1.11.202;com.amazonaws:aws-java-sdk-core:1.11.202;commons-logging:commons-logging:1.1.3;org.apache.httpcomponents:httpclient:4.5.2;org.apache.httpcomponents:httpcore:4.4.4;commons-codec:commons-codec:1.9;software.amazon.ion:ion-java:1.0.2;com.fasterxml.jackson.dataformat:jackson-dataformat-cbor:2.6.7;joda-time:joda-time:2.8.1;com.amazonaws:jmespath-java:1.11.202
4,com.github.shiver-me-timbers:smt-aws-cfn-cr-kms-decrypt:1.2,com.github.shiver-me-timbers:smt-aws-cfn-cr-kms-decrypt:1.2,609,32,13,15,27,15,15,com.github.shiver-me-timbers:smt-aws-cfn-cr-scaffold:1.2;com.amazonaws:aws-lambda-java-log4j:1.0.0;com.amazonaws:aws-lambda-java-core:1.1.0;log4j:log4j:1.2.17;com.fasterxml.jackson.core:jackson-databind:2.8.10;com.fasterxml.jackson.core:jackson-annotations:2.8.0;com.fasterxml.jackson.core:jackson-core:2.8.10;com.amazonaws:aws-java-sdk-kms:1.11.202;com.amazonaws:aws-java-sdk-core:1.11.202;commons-logging:commons-logging:1.1.3;org.apache.httpcomponents:httpclient:4.5.2;org.apache.httpcomponents:httpcore:4.4.4;commons-codec:commons-codec:1.9;software.amazon.ion:ion-java:1.0.2;com.fasterxml.jackson.dataformat:jackson-dataformat-cbor:2.6.7;joda-time:joda-time:2.8.1;com.amazonaws:jmespath-java:1.11.202
5,com.github.shiver-me-timbers:smt-aws-cfn-cr-kms-decrypt:1.2,com.amazonaws:jmespath-java:1.11.202,1791,127,38,263,110,502,502,com.github.shiver-me-timbers:smt-aws-cfn-cr-kms-decrypt:1.2;com.github.shiver-me-timbers:smt-aws-cfn-cr-scaffold:1.2;com.amazonaws:aws-lambda-java-log4j:1.0.0;com.amazonaws:aws-lambda-java-core:1.1.0;log4j:log4j:1.2.17;com.fasterxml.jackson.core:jackson-databind:2.8.10;com.fasterxml.jackson.core:jackson-annotations:2.8.0;com.fasterxml.jackson.core:jackson-core:2.8.10;com.amazonaws:aws-java-sdk-kms:1.11.202;com.amazonaws:aws-java-sdk-core:1.11.202;commons-logging:commons-logging:1.1.3;org.apache.httpcomponents:httpclient:4.5.2;org.apache.httpcomponents:httpcore:4.4.4;commons-codec:commons-codec:1.9;software.amazon.ion:ion-java:1.0.2;com.fasterxml.jackson.dataformat:jackson-dataformat-cbor:2.6.7;joda-time:joda-time:2.8.1
6,com.github.shiver-me-timbers:smt-aws-cfn-cr-kms-decrypt:1.2,com.github.shiver-me-timbers:smt-aws-cfn-cr-scaffold:1.2,2223,63,37,47,82,73,73,com.github.shiver-me-timbers:smt-aws-cfn-cr-kms-decrypt:1.2;com.amazonaws:aws-lambda-java-log4j:1.0.0;com.amazonaws:aws-lambda-java-core:1.1.0;log4j:log4j:1.2.17;com.fasterxml.jackson.core:jackson-databind:2.8.10;com.fasterxml.jackson.core:jackson-annotations:2.8.0;com.fasterxml.jackson.core:jackson-core:2.8.10;com.amazonaws:aws-java-sdk-kms:1.11.202;com.amazonaws:aws-java-sdk-core:1.11.202;commons-logging:commons-logging:1.1.3;org.apache.httpcomponents:httpclient:4.5.2;org.apache.httpcomponents:httpcore:4.4.4;commons-codec:commons-codec:1.9;software.amazon.ion:ion-java:1.0.2;com.fasterxml.jackson.dataformat:jackson-dataformat-cbor:2.6.7;joda-time:joda-time:2.8.1;com.amazonaws:jmespath-java:1.11.202
7,com.github.shiver-me-timbers:smt-aws-cfn-cr-kms-decrypt:1.2,com.fasterxml.jackson.core:jackson-annotations:2.8.0,3248,272,55,127,149,9,9,com.github.shiver-me-timbers:smt-aws-cfn-cr-kms-decrypt:1.2;com.github.shiver-me-timbers:smt-aws-cfn-cr-scaffold:1.2;com.amazonaws:aws-lambda-java-log4j:1.0.0;com.amazonaws:aws-lambda-java-core:1.1.0;log4j:log4j:1.2.17;com.fasterxml.jackson.core:jackson-databind:2.8.10;com.fasterxml.jackson.core:jackson-core:2.8.10;com.amazonaws:aws-java-sdk-kms:1.11.202;com.amazonaws:aws-java-sdk-core:1.11.202;commons-logging:commons-logging:1.1.3;org.apache.httpcomponents:httpclient:4.5.2;org.apache.httpcomponents:httpcore:4.4.4;commons-codec:commons-codec:1.9;software.amazon.ion:ion-java:1.0.2;com.fasterxml.jackson.dataformat:jackson-dataformat-cbor:2.6.7;joda-time:joda-time:2.8.1;com.amazonaws:jmespath-java:1.11.202
8,com.github.shiver-me-timbers:smt-aws-cfn-cr-kms-decrypt:1.2,com.fasterxml.jackson.dataformat:jackson-dataformat-cbor:2.6.7,3755,272,160,411,415,254,254,com.github.shiver-me-timbers:smt-aws-cfn-cr-kms-decrypt:1.2;com.github.shiver-me-timbers:smt-aws-cfn-cr-scaffold:1.2;com.amazonaws:aws-lambda-java-log4j:1.0.0;com.amazonaws:aws-lambda-java-core:1.1.0;log4j:log4j:1.2.17;com.fasterxml.jackson.core:jackson-databind:2.8.10;com.fasterxml.jackson.core:jackson-annotations:2.8.0;com.fasterxml.jackson.core:jackson-core:2.8.10;com.amazonaws:aws-java-sdk-kms:1.11.202;com.amazonaws:aws-java-sdk-core:1.11.202;commons-logging:commons-logging:1.1.3;org.apache.httpcomponents:httpclient:4.5.2;org.apache.httpcomponents:httpcore:4.4.4;commons-codec:commons-codec:1.9;software.amazon.ion:ion-java:1.0.2;joda-time:joda-time:2.8.1;com.amazonaws:jmespath-java:1.11.202
9,com.github.shiver-me-timbers:smt-aws-cfn-cr-kms-decrypt:1.2,commons-logging:commons-logging:1.1.3,5112,337,200,384,592,219,219,com.github.shiver-me-timbers:smt-aws-cfn-cr-kms-decrypt:1.2;com.github.shiver-me-timbers:smt-aws-cfn-cr-scaffold:1.2;com.amazonaws:aws-lambda-java-log4j:1.0.0;com.amazonaws:aws-lambda-java-core:1.1.0;log4j:log4j:1.2.17;com.fasterxml.jackson.core:jackson-databind:2.8.10;com.fasterxml.jackson.core:jackson-annotations:2.8.0;com.fasterxml.jackson.core:jackson-core:2.8.10;com.amazonaws:aws-java-sdk-kms:1.11.202;com.amazonaws:aws-java-sdk-core:1.11.202;org.apache.httpcomponents:httpclient:4.5.2;org.apache.httpcomponents:httpcore:4.4.4;commons-codec:commons-codec:1.9;software.amazon.ion:ion-java:1.0.2;com.fasterxml.jackson.dataformat:jackson-dataformat-cbor:2.6.7;joda-time:joda-time:2.8.1;com.amazonaws:jmespath-java:1.11.202
