number,coordinate,occurrence,isolatedRevisionTime,nodes,edges
0,com.thoughtworks.xstream:xstream:1.4.5,1,1168,2556,0
1,com.typesafe.play:play-netty-utils:2.5.4,1,44,98,0
2,org.netbeans.api:org-netbeans-modules-editor-document:RELEASE121,1,189,445,0
3,cn.org.faster:spring-boot-starter-dict:1.4.1.RELEASE,1,2685,11,0
4,org.netbeans.api:org-netbeans-modules-editor-document:RELEASE122,1,0,0,0
5,systems.manifold:manifold-ext-rt:2020.1.27,1,212,317,0
6,de.mhus.lib:lib-j2ee:7.3.0,1,3674,275,0
7,com.thoughtworks.xstream:xstream:1.4.9,1,1596,2727,0
8,com.github.julien-truffaut:monocle-core_2.12:1.6.3,1,2675,9914,0
9,org.minijax:minijax-security:0.5.9,1,2628,95,0
10,com.thoughtworks.xstream:xstream:1.4.7,1,1234,2664,0
11,org.scala-lang:scalap:2.10.5,1,0,0,0
12,org.apache.jena:jena-dboe-base:3.16.0,1,215,951,0
13,io.github.dsc-finance-open:yama-open-sdk:1.0.5,1,3711,1052,0
14,com.vladsch.flexmark:flexmark-ext-yaml-front-matter:0.50.40,1,42,63,0
15,org.eclipse.kapua:kapua-security-authentication-api:1.3.0,1,114,217,0
16,org.jboss.resteasy:resteasy-cdi:3.11.2.Final,1,82,237,0
17,org.eclipse.jetty:jetty-io:8.1.10.v20130312,1,404,685,0
18,org.eclipse.kapua:kapua-security-authentication-api:1.3.1,1,46,219,0
19,org.springframework.cloud:spring-cloud-starter-netflix-ribbon:1.4.7.RELEASE,1,18,0,0
20,org.opendaylight.openflowplugin:openflowjava-extension-eric:0.11.1,1,111,164,0
21,org.opendaylight.openflowplugin:openflowjava-extension-eric:0.11.2,1,90,164,0
22,org.bremersee:common-model:2.2.0,1,415,792,0
23,org.springframework.boot:spring-boot-starter-websocket:1.5.18.RELEASE,1,19,0,0
24,com.twitter:util-cache_2.12:6.45.0,1,104,249,0
25,us.bpsm:edn-java:0.7.1,1,259,402,0
26,org.apache.camel:camel-main:3.5.0,1,541,1075,0
27,org.netbeans.api:org-netbeans-modules-editor-document:RELEASE123,1,614,445,0
28,com.twitter:util-jvm_2.13:20.10.0,1,377,1595,0
29,org.springframework.boot:spring-boot-buildpack-platform:2.3.4.RELEASE,1,1497,1023,0
30,org.webjars:swagger-ui:3.25.0,1,30,0,0
31,com.googlecode.concurrent-trees:concurrent-trees:2.6.1,1,228,465,0
32,org.webjars:swagger-ui:3.25.2,1,17,0,0
33,com.googlecode.concurrent-trees:concurrent-trees:2.6.0,1,185,466,0
34,org.springframework.boot:spring-boot:2.1.1.RELEASE,1,3560,4858,0
35,org.apache.hive.shims:hive-shims-scheduler:1.2.2,1,0,0,0
36,org.apache.hive.shims:hive-shims-scheduler:1.2.1,1,0,0,0
37,software.amazon.awscdk:efs:1.89.0,1,174,566,0
38,org.scala-lang:scala3-interfaces:3.0.0-M3,1,0,0,0
39,org.wvlet.airframe:airframe-sql_2.12:20.10.0,1,7775,9404,0
40,software.amazon.awssdk:metrics-spi:2.15.78,1,54,119,0
41,org.uberfire:uberfire-security-client:7.44.0.Final,1,60,143,0
42,org.apache.sling:org.apache.sling.resourceresolver:1.4.8,1,616,800,0
43,cn.smartcoding:smart-job-core:1.0.0,1,0,0,0
44,com.fasterxml.jackson.module:jackson-module-kotlin:2.9.9,1,0,0,0
