number,folder,opalOutput,opalCG,mergeOutput,CGPool,mergeCG
0,io.laminext:websocket-circe_sjs1_3.0.0-RC1:0.12.1,1,0,1,1,1
1,io.liftwizard:liftwizard-config-data-source:0.12.0,1,0,1,1,1
2,de.bmiag.tapir:tapir-annotations:3.6.2,1,0,1,1,1
3,org.bremersee:bremersee-fac:1.0.1,1,0,1,1,1
4,cn.org.faster:spring-boot-starter-dict:1.4.1.RELEASE,1,0,1,1,1
5,org.netbeans.modules:org-netbeans-modules-debugger-jpda-ant:RELEASE122,1,0,1,1,1
6,de.mhus.lib:lib-j2ee:7.3.0,1,1,1,1,1
7,org.minijax:minijax-security:0.5.9,1,1,1,1,1
8,org.webjars.npm:uppy__thumbnail-generator:1.6.7,1,1,1,1,1
9,org.typelevel:simulacrum_2.13:1.0.1,1,1,1,1,1
10,org.scommons.shogowada:scalajs-history_sjs1_2.12:0.15.0,1,1,1,1,1
11,io.swagger.parser.v3:swagger-parser-v3:2.0.24,1,0,1,1,1
12,io.github.dsc-finance-open:yama-open-sdk:1.0.5,1,1,1,1,1
13,com.github.leozhang123:zaudit:0.2.1,1,0,1,1,1
14,net.sf.jeceira:jeceira:0.1.4,1,1,1,1,1
15,io.joynr.java.messaging.websocket:joynr-websocket-common:1.15.2,1,1,1,1,1
16,com.intuit.fuzzymatcher:fuzzy-matcher:1.0.4,1,1,1,1,1
17,eu.fbk.dh:KD-Models:0.1,1,1,1,1,1
18,net.sourceforge.jbizmo:jbizmo-commons-jsf:5.0.0,1,0,1,1,1
19,org.eclipse.dirigible:dirigible-database:5.6.0,1,0,1,1,1
20,com.avast.clients.rabbitmq:rabbitmq-client-extras-protobuf_2.13:8.5.0,1,0,1,1,1
21,io.indigoengine:indigo-extras_sjs1_3.0.0-M3:0.6.0,1,0,1,1,0
22,ai.h2o:sparkling-water-core_2.11:3.30.1.3-1-2.4,1,0,1,1,1
23,org.netbeans.modules:org-netbeans-modules-xml-text:RELEASE122,1,0,1,1,1
24,org.dkpro.core:dkpro-core-rftagger-asl:2.2.0,1,0,1,1,1
25,com.typesafe.play:play-json_sjs1_2.12:2.10.0-RC1,1,0,1,1,1
