number,coordinate,occurrence,isolatedRevisionTime,nodes,edges
0,com.thoughtworks.xstream:xstream:1.4.5,1,1213,2556,0
1,com.qwazr:qwazr-server:1.2.0,1,637,489,0
2,io.syndesis.connector:connector-support-processor:1.11.0,1,0,0,0
3,com.typesafe.play:play-netty-utils:2.5.4,1,45,98,0
4,org.netbeans.api:org-netbeans-modules-editor-document:RELEASE121,1,229,445,0
5,org.netbeans.api:org-netbeans-modules-editor-document:RELEASE122,1,169,445,0
6,cn.org.faster:spring-boot-starter-dict:1.4.1.RELEASE,1,0,0,0
7,systems.manifold:manifold-ext-rt:2020.1.27,1,183,317,0
8,de.mhus.lib:lib-j2ee:7.3.0,1,3423,275,0
9,com.github.julien-truffaut:monocle-core_2.12:1.6.3,1,2060,9914,0
10,com.thoughtworks.xstream:xstream:1.4.9,1,1269,2727,0
11,org.minijax:minijax-security:0.5.9,1,3073,95,0
12,com.thoughtworks.xstream:xstream:1.4.7,1,1465,2664,0
13,org.scala-lang:scalap:2.10.5,1,0,0,0
14,org.apache.jena:jena-dboe-base:3.16.0,1,293,951,0
15,io.github.dsc-finance-open:yama-open-sdk:1.0.5,1,3759,1052,0
16,com.vladsch.flexmark:flexmark-ext-yaml-front-matter:0.50.40,1,28,63,0
17,org.eclipse.kapua:kapua-security-authentication-api:1.3.0,1,115,217,0
18,org.jboss.resteasy:resteasy-cdi:3.11.2.Final,1,89,237,0
19,org.eclipse.jetty:jetty-io:8.1.10.v20130312,1,389,685,0
20,org.eclipse.kapua:kapua-security-authentication-api:1.3.1,1,77,219,0
21,org.uberfire:uberfire-metadata-backend-lucene:7.47.0.Final,1,0,0,0
22,org.springframework.cloud:spring-cloud-starter-netflix-ribbon:1.4.7.RELEASE,1,18,0,0
23,org.opendaylight.openflowplugin:openflowjava-extension-eric:0.11.1,1,79,164,0
24,org.apache.camel:camel-http4:2.23.2.fuse-780030,1,0,0,0
25,org.opendaylight.openflowplugin:openflowjava-extension-eric:0.11.2,1,75,164,0
26,org.springframework.boot:spring-boot-starter-websocket:1.5.18.RELEASE,1,19,0,0
27,com.twitter:util-cache_2.12:6.45.0,1,68,249,0
28,us.bpsm:edn-java:0.7.1,1,170,402,0
29,org.apache.camel:camel-main:3.5.0,1,628,1075,0
30,org.netbeans.api:org-netbeans-modules-editor-document:RELEASE123,1,253,445,0
31,com.twitter:util-jvm_2.13:20.10.0,1,376,1595,0
32,org.springframework.boot:spring-boot-buildpack-platform:2.3.4.RELEASE,1,878,1023,0
33,com.googlecode.concurrent-trees:concurrent-trees:2.6.1,1,178,465,0
34,org.webjars:swagger-ui:3.25.2,1,15,0,0
35,com.googlecode.concurrent-trees:concurrent-trees:2.6.0,1,219,466,0
36,org.springframework.boot:spring-boot:2.1.1.RELEASE,1,4974,4858,0
37,org.apache.hive.shims:hive-shims-scheduler:1.2.2,1,36,5,0
38,org.apache.hive.shims:hive-shims-scheduler:1.2.1,1,23,5,0
39,software.amazon.awscdk:efs:1.89.0,1,137,566,0
40,it.unimi.dsi:fastutil:7.2.0,1,103824,139020,0
41,org.scala-lang:scala3-interfaces:3.0.0-M3,1,32,25,0
42,org.wvlet.airframe:airframe-sql_2.12:20.10.0,1,8634,9404,0
43,software.amazon.awssdk:metrics-spi:2.15.78,1,51,119,0
44,org.drools:drools-wb-guided-template-editor-api:7.47.0.Final,1,0,0,0
45,org.uberfire:uberfire-security-client:7.44.0.Final,1,67,143,0
46,org.apache.sling:org.apache.sling.resourceresolver:1.4.8,1,442,800,0
47,cn.smartcoding:smart-job-core:1.0.0,1,4292,399,0
48,com.fasterxml.jackson.module:jackson-module-kotlin:2.9.9,1,119,129,0
49,io.netty:netty-codec-http:4.1.54.Final,1,1762,3799,0
50,org.jibx.config.3rdparty.org.eclipse:org.eclipse.core.jobs:3.5.100.v20110404,1,273,479,0
51,org.eclipse.core:org.eclipse.core.resources:3.7.100,1,2553,3774,0
52,io.quarkus:quarkus-ide-launcher:1.11.4.Final,1,105,20,0
53,ua.parser.wso2:ua-parser:1.3.0.wso2v2,1,0,0,0
54,org.glassfish.jersey.inject:jersey-hk2:2.33,1,76,325,0
55,io.projectreactor:reactor-core:3.3.13.RELEASE,1,4771,8422,0
56,org.glassfish.jersey.inject:jersey-hk2:2.32,1,125,325,0
57,org.glassfish.jersey.inject:jersey-hk2:2.31,1,134,325,0
58,org.glassfish.jersey.inject:jersey-hk2:2.30,1,86,325,0
59,org.eclipse.che.multiuser:che-multiuser-api-permission-shared:7.27.1,1,25,35,0
60,software.amazon.awscdk:glue:1.89.0,1,510,2518,0
61,org.powermock:powermock-classloading-base:1.5,1,41,7,0
62,org.eclipse.jetty:jetty-security:9.4.35.v20201120,1,224,542,0
63,com.codahale.metrics:metrics-jersey:3.0.2,1,16,17,0
64,org.wso2.carbon.identity.framework:org.wso2.carbon.idp.mgt:5.16.56,1,0,0,0
65,com.vladsch.flexmark:flexmark-util-collection:0.62.2,1,125,488,0
66,com.netflix.ribbon:ribbon-loadbalancer:2.2.0,1,273,734,0
67,com.yahoo.datasketches:sketches-core:0.9.0,1,1098,1995,0
68,io.zipkin.brave:brave-instrumentation-spring-web:5.6.1,1,27,26,0
69,com.google.auth:google-auth-library-credentials:0.9.0,1,34,18,0
70,org.twister2:resource-api-java:0.8.0,1,48,92,0
71,software.amazon.awscdk:autoscaling-common:1.89.0,1,40,93,0
72,com.google.guava:guava:14.0.1,1,4839,12521,0
73,com.netflix.ribbon:ribbon-loadbalancer:2.2.4,1,328,746,0
74,com.netflix.ribbon:ribbon-loadbalancer:2.2.5,1,0,0,0
