number,rootCoordinate,artifact,mergeTime,internalNodes,externalNodes,internalEdges,externalEdges,resolvedNodes,resolvedEdges,dependencies
0,org.openscience.cdk:cdk-inchi:1.5.15,org.openscience.cdk:cdk-inchi:1.5.15,43,49,0,0,0,0,0,javax.vecmath:vecmath:1.5.2|net.sf.jni-inchi:jni-inchi:0.8|net.sf.jnati:jnati-deploy:0.4|net.sf.jnati:jnati-core:0.4|log4j:log4j:1.2.14|org.openscience.cdk:cdk-core:1.5.15|com.google.guava:guava:17.0|org.openscience.cdk:cdk-interfaces:1.5.15|org.openscience.cdk:cdk-standard:1.5.15
1,org.openscience.cdk:cdk-inchi:1.5.15,javax.vecmath:vecmath:1.5.2,14,1351,0,0,0,0,0,org.openscience.cdk:cdk-inchi:1.5.15|net.sf.jni-inchi:jni-inchi:0.8|net.sf.jnati:jnati-deploy:0.4|net.sf.jnati:jnati-core:0.4|log4j:log4j:1.2.14|org.openscience.cdk:cdk-core:1.5.15|com.google.guava:guava:17.0|org.openscience.cdk:cdk-interfaces:1.5.15|org.openscience.cdk:cdk-standard:1.5.15
2,org.openscience.cdk:cdk-inchi:1.5.15,net.sf.jni-inchi:jni-inchi:0.8,317,206,31,38,62,10,10,org.openscience.cdk:cdk-inchi:1.5.15|javax.vecmath:vecmath:1.5.2|net.sf.jnati:jnati-deploy:0.4|net.sf.jnati:jnati-core:0.4|log4j:log4j:1.2.14|org.openscience.cdk:cdk-core:1.5.15|com.google.guava:guava:17.0|org.openscience.cdk:cdk-interfaces:1.5.15|org.openscience.cdk:cdk-standard:1.5.15
3,org.openscience.cdk:cdk-inchi:1.5.15,net.sf.jnati:jnati-deploy:0.4,6,130,0,0,0,0,0,org.openscience.cdk:cdk-inchi:1.5.15|javax.vecmath:vecmath:1.5.2|net.sf.jni-inchi:jni-inchi:0.8|net.sf.jnati:jnati-core:0.4|log4j:log4j:1.2.14|org.openscience.cdk:cdk-core:1.5.15|com.google.guava:guava:17.0|org.openscience.cdk:cdk-interfaces:1.5.15|org.openscience.cdk:cdk-standard:1.5.15
4,org.openscience.cdk:cdk-inchi:1.5.15,net.sf.jnati:jnati-core:0.4,129,56,46,9,59,301,301,org.openscience.cdk:cdk-inchi:1.5.15|javax.vecmath:vecmath:1.5.2|net.sf.jni-inchi:jni-inchi:0.8|net.sf.jnati:jnati-deploy:0.4|log4j:log4j:1.2.14|org.openscience.cdk:cdk-core:1.5.15|com.google.guava:guava:17.0|org.openscience.cdk:cdk-interfaces:1.5.15|org.openscience.cdk:cdk-standard:1.5.15
5,org.openscience.cdk:cdk-inchi:1.5.15,log4j:log4j:1.2.14,2308,1763,481,1009,1684,1792,1792,org.openscience.cdk:cdk-inchi:1.5.15|javax.vecmath:vecmath:1.5.2|net.sf.jni-inchi:jni-inchi:0.8|net.sf.jnati:jnati-deploy:0.4|net.sf.jnati:jnati-core:0.4|org.openscience.cdk:cdk-core:1.5.15|com.google.guava:guava:17.0|org.openscience.cdk:cdk-interfaces:1.5.15|org.openscience.cdk:cdk-standard:1.5.15
6,org.openscience.cdk:cdk-inchi:1.5.15,org.openscience.cdk:cdk-core:1.5.15,6,1062,0,0,0,0,0,org.openscience.cdk:cdk-inchi:1.5.15|javax.vecmath:vecmath:1.5.2|net.sf.jni-inchi:jni-inchi:0.8|net.sf.jnati:jnati-deploy:0.4|net.sf.jnati:jnati-core:0.4|log4j:log4j:1.2.14|com.google.guava:guava:17.0|org.openscience.cdk:cdk-interfaces:1.5.15|org.openscience.cdk:cdk-standard:1.5.15
7,org.openscience.cdk:cdk-inchi:1.5.15,com.google.guava:guava:17.0,8,12985,0,0,0,0,0,org.openscience.cdk:cdk-inchi:1.5.15|javax.vecmath:vecmath:1.5.2|net.sf.jni-inchi:jni-inchi:0.8|net.sf.jnati:jnati-deploy:0.4|net.sf.jnati:jnati-core:0.4|log4j:log4j:1.2.14|org.openscience.cdk:cdk-core:1.5.15|org.openscience.cdk:cdk-interfaces:1.5.15|org.openscience.cdk:cdk-standard:1.5.15
8,org.openscience.cdk:cdk-inchi:1.5.15,org.openscience.cdk:cdk-interfaces:1.5.15,7,493,0,0,0,0,0,org.openscience.cdk:cdk-inchi:1.5.15|javax.vecmath:vecmath:1.5.2|net.sf.jni-inchi:jni-inchi:0.8|net.sf.jnati:jnati-deploy:0.4|net.sf.jnati:jnati-core:0.4|log4j:log4j:1.2.14|org.openscience.cdk:cdk-core:1.5.15|com.google.guava:guava:17.0|org.openscience.cdk:cdk-standard:1.5.15
9,org.openscience.cdk:cdk-inchi:1.5.15,org.openscience.cdk:cdk-standard:1.5.15,6,1006,0,0,0,0,0,org.openscience.cdk:cdk-inchi:1.5.15|javax.vecmath:vecmath:1.5.2|net.sf.jni-inchi:jni-inchi:0.8|net.sf.jnati:jnati-deploy:0.4|net.sf.jnati:jnati-core:0.4|log4j:log4j:1.2.14|org.openscience.cdk:cdk-core:1.5.15|com.google.guava:guava:17.0|org.openscience.cdk:cdk-interfaces:1.5.15
10,com.linkedin.pegasus:r2-jetty:2.1.0,com.linkedin.pegasus:r2-jetty:2.1.0,7,12,0,0,0,0,0,org.slf4j:slf4j-api:1.6.2|com.linkedin.pegasus:r2:2.1.0|commons-io:commons-io:1.4|org.apache.mina:mina-core:1.1.7|org.apache.commons:commons-compress:1.2|commons-lang:commons-lang:2.4|com.linkedin.pegasus:data:2.1.0|org.json:json:20070829|com.fasterxml.jackson.core:jackson-core:2.4.3|com.linkedin.pegasus:pegasus-common:2.1.0|org.jboss.netty:netty:3.2.3.Final|javax.mail:mail:1.4.1|javax.activation:activation:1.1|org.iq80.snappy:snappy:0.3|javax.servlet:javax.servlet-api:3.0.1|org.eclipse.jetty.aggregate:jetty-all:8.1.8.v20121106|org.eclipse.jetty.orbit:javax.servlet:3.0.0.v201112011016
11,com.linkedin.pegasus:r2-jetty:2.1.0,org.slf4j:slf4j-api:1.6.2,14,249,0,0,0,0,0,com.linkedin.pegasus:r2-jetty:2.1.0|com.linkedin.pegasus:r2:2.1.0|commons-io:commons-io:1.4|org.apache.mina:mina-core:1.1.7|org.apache.commons:commons-compress:1.2|commons-lang:commons-lang:2.4|com.linkedin.pegasus:data:2.1.0|org.json:json:20070829|com.fasterxml.jackson.core:jackson-core:2.4.3|com.linkedin.pegasus:pegasus-common:2.1.0|org.jboss.netty:netty:3.2.3.Final|javax.mail:mail:1.4.1|javax.activation:activation:1.1|org.iq80.snappy:snappy:0.3|javax.servlet:javax.servlet-api:3.0.1|org.eclipse.jetty.aggregate:jetty-all:8.1.8.v20121106|org.eclipse.jetty.orbit:javax.servlet:3.0.0.v201112011016
12,com.linkedin.pegasus:r2-jetty:2.1.0,com.linkedin.pegasus:r2:2.1.0,13,972,0,0,0,0,0,com.linkedin.pegasus:r2-jetty:2.1.0|org.slf4j:slf4j-api:1.6.2|commons-io:commons-io:1.4|org.apache.mina:mina-core:1.1.7|org.apache.commons:commons-compress:1.2|commons-lang:commons-lang:2.4|com.linkedin.pegasus:data:2.1.0|org.json:json:20070829|com.fasterxml.jackson.core:jackson-core:2.4.3|com.linkedin.pegasus:pegasus-common:2.1.0|org.jboss.netty:netty:3.2.3.Final|javax.mail:mail:1.4.1|javax.activation:activation:1.1|org.iq80.snappy:snappy:0.3|javax.servlet:javax.servlet-api:3.0.1|org.eclipse.jetty.aggregate:jetty-all:8.1.8.v20121106|org.eclipse.jetty.orbit:javax.servlet:3.0.0.v201112011016
13,com.linkedin.pegasus:r2-jetty:2.1.0,commons-io:commons-io:1.4,13,693,0,0,0,0,0,com.linkedin.pegasus:r2-jetty:2.1.0|org.slf4j:slf4j-api:1.6.2|com.linkedin.pegasus:r2:2.1.0|org.apache.mina:mina-core:1.1.7|org.apache.commons:commons-compress:1.2|commons-lang:commons-lang:2.4|com.linkedin.pegasus:data:2.1.0|org.json:json:20070829|com.fasterxml.jackson.core:jackson-core:2.4.3|com.linkedin.pegasus:pegasus-common:2.1.0|org.jboss.netty:netty:3.2.3.Final|javax.mail:mail:1.4.1|javax.activation:activation:1.1|org.iq80.snappy:snappy:0.3|javax.servlet:javax.servlet-api:3.0.1|org.eclipse.jetty.aggregate:jetty-all:8.1.8.v20121106|org.eclipse.jetty.orbit:javax.servlet:3.0.0.v201112011016
14,com.linkedin.pegasus:r2-jetty:2.1.0,org.apache.mina:mina-core:1.1.7,13,2056,0,0,0,0,0,com.linkedin.pegasus:r2-jetty:2.1.0|org.slf4j:slf4j-api:1.6.2|com.linkedin.pegasus:r2:2.1.0|commons-io:commons-io:1.4|org.apache.commons:commons-compress:1.2|commons-lang:commons-lang:2.4|com.linkedin.pegasus:data:2.1.0|org.json:json:20070829|com.fasterxml.jackson.core:jackson-core:2.4.3|com.linkedin.pegasus:pegasus-common:2.1.0|org.jboss.netty:netty:3.2.3.Final|javax.mail:mail:1.4.1|javax.activation:activation:1.1|org.iq80.snappy:snappy:0.3|javax.servlet:javax.servlet-api:3.0.1|org.eclipse.jetty.aggregate:jetty-all:8.1.8.v20121106|org.eclipse.jetty.orbit:javax.servlet:3.0.0.v201112011016
