number,coordinate,occurrence,isolatedRevisionTime,internalNodes,externalNodes,internalEdges,externalEdges
0,com.google.apis:google-api-services-bigquerydatatransfer:v1-rev92-1.22.0,1,116,1372,38,1047,446
1,com.google.guava:guava-jdk5:17.0,1,1521,11984,1140,92583,8836
2,org.openscience.cdk:cdk-standard:1.5.15,1,225,1006,587,1150,3432
3,commons-logging:commons-logging:1.1.1,1,70,335,198,380,588
4,org.apache.commons:commons-compress:1.2,1,144,798,299,1376,1172
5,com.fasterxml.jackson.core:jackson-core:2.1.3,1,239,1383,213,2561,1050
6,org.slf4j:slf4j-api:1.6.2,1,27,249,78,115,188
7,org.apache.mina:mina-core:1.1.7,1,217,2056,492,3572,2163
8,commons-io:commons-io:1.4,1,113,693,255,1064,1144
9,com.google.oauth-client:google-oauth-client:1.22.0,1,51,469,168,353,372
10,com.linkedin.pegasus:data:2.1.0,1,280,2178,539,4843,2740
11,org.json:json:20070829,1,58,195,101,529,425
12,com.google.code.findbugs:jsr305:1.3.9,1,14,30,12,5,16
13,net.sf.jni-inchi:jni-inchi:0.8,1,40,206,49,107,183
14,javax.mail:mail:1.4.1,1,435,2252,470,4653,3197
15,org.apache.httpcomponents:httpcore:4.0.1,1,137,951,162,1478,823
16,org.eclipse.jetty.aggregate:jetty-all:8.1.8.v20121106,1,1890,9024,1995,30314,14058
17,net.sf.jnati:jnati-deploy:0.4,1,38,130,124,176,398
18,com.google.http-client:google-http-client:1.22.0,1,224,2007,606,3551,2056
19,com.fasterxml.jackson.core:jackson-core:2.4.3,1,220,1545,227,2888,1105
20,org.openscience.cdk:cdk-interfaces:1.5.15,1,32,493,6,9,33
21,com.linkedin.pegasus:r2-jetty:2.1.0,1,14,12,19,7,26
22,com.linkedin.pegasus:pegasus-common:2.1.0,1,23,121,55,104,108
23,com.google.http-client:google-http-client-jackson2:1.22.0,1,12,50,45,11,53
24,org.openscience.cdk:cdk-inchi:1.5.15,1,46,49,165,34,288
25,org.openscience.cdk:cdk-core:1.5.15,1,205,1062,379,1501,2033
26,commons-lang:commons-lang:2.4,1,306,2182,393,3224,2591
27,javax.activation:activation:1.1,1,64,264,194,311,603
28,org.apache.httpcomponents:httpclient:4.0.1,1,239,1233,552,1426,2390
29,net.sf.jnati:jnati-core:0.4,1,26,56,85,29,155
30,commons-codec:commons-codec:1.3,1,78,213,57,326,250
31,com.google.guava:guava:17.0,1,1861,12985,1261,105646,9628
32,org.eclipse.jetty.orbit:javax.servlet:3.0.0.v201112011016,1,51,604,89,272,220
33,org.jboss.netty:netty:3.2.3.Final,1,694,4035,816,12369,4340
34,javax.servlet:javax.servlet-api:3.0.1,1,60,604,89,272,220
35,com.google.api-client:google-api-client:1.22.0,1,110,996,519,763,1118
36,javax.vecmath:vecmath:1.5.2,1,262,1351,41,485,602
37,org.iq80.snappy:snappy:0.3,1,85,152,56,141,130
38,com.linkedin.pegasus:r2:2.1.0,1,161,972,430,1608,1548
39,log4j:log4j:1.2.14,1,285,1763,890,2567,3512
