number,rootCoordinate,artifact,mergeTime,internalNodes,externalNodes,internalEdges,externalEdges,resolvedNodes,resolvedEdges,dependencies
0,org.openscience.cdk:cdk-inchi:1.5.15,org.openscience.cdk:cdk-inchi:1.5.15,692,49,165,34,288,1959,1959,javax.vecmath:vecmath:1.5.2|net.sf.jni-inchi:jni-inchi:0.8|net.sf.jnati:jnati-deploy:0.4|net.sf.jnati:jnati-core:0.4|log4j:log4j:1.2.14|org.openscience.cdk:cdk-core:1.5.15|com.google.guava:guava:17.0|org.openscience.cdk:cdk-interfaces:1.5.15|org.openscience.cdk:cdk-standard:1.5.15
1,org.openscience.cdk:cdk-inchi:1.5.15,javax.vecmath:vecmath:1.5.2,810,1351,41,485,602,0,0,org.openscience.cdk:cdk-inchi:1.5.15|net.sf.jni-inchi:jni-inchi:0.8|net.sf.jnati:jnati-deploy:0.4|net.sf.jnati:jnati-core:0.4|log4j:log4j:1.2.14|org.openscience.cdk:cdk-core:1.5.15|com.google.guava:guava:17.0|org.openscience.cdk:cdk-interfaces:1.5.15|org.openscience.cdk:cdk-standard:1.5.15
2,org.openscience.cdk:cdk-inchi:1.5.15,net.sf.jni-inchi:jni-inchi:0.8,263,206,49,107,183,144,144,org.openscience.cdk:cdk-inchi:1.5.15|javax.vecmath:vecmath:1.5.2|net.sf.jnati:jnati-deploy:0.4|net.sf.jnati:jnati-core:0.4|log4j:log4j:1.2.14|org.openscience.cdk:cdk-core:1.5.15|com.google.guava:guava:17.0|org.openscience.cdk:cdk-interfaces:1.5.15|org.openscience.cdk:cdk-standard:1.5.15
3,org.openscience.cdk:cdk-inchi:1.5.15,net.sf.jnati:jnati-deploy:0.4,562,130,124,176,398,1229,1229,org.openscience.cdk:cdk-inchi:1.5.15|javax.vecmath:vecmath:1.5.2|net.sf.jni-inchi:jni-inchi:0.8|net.sf.jnati:jnati-core:0.4|log4j:log4j:1.2.14|org.openscience.cdk:cdk-core:1.5.15|com.google.guava:guava:17.0|org.openscience.cdk:cdk-interfaces:1.5.15|org.openscience.cdk:cdk-standard:1.5.15
4,org.openscience.cdk:cdk-inchi:1.5.15,net.sf.jnati:jnati-core:0.4,247,56,85,29,155,370,370,org.openscience.cdk:cdk-inchi:1.5.15|javax.vecmath:vecmath:1.5.2|net.sf.jni-inchi:jni-inchi:0.8|net.sf.jnati:jnati-deploy:0.4|log4j:log4j:1.2.14|org.openscience.cdk:cdk-core:1.5.15|com.google.guava:guava:17.0|org.openscience.cdk:cdk-interfaces:1.5.15|org.openscience.cdk:cdk-standard:1.5.15
5,org.openscience.cdk:cdk-inchi:1.5.15,log4j:log4j:1.2.14,4295,1763,890,2567,3512,4319,4319,org.openscience.cdk:cdk-inchi:1.5.15|javax.vecmath:vecmath:1.5.2|net.sf.jni-inchi:jni-inchi:0.8|net.sf.jnati:jnati-deploy:0.4|net.sf.jnati:jnati-core:0.4|org.openscience.cdk:cdk-core:1.5.15|com.google.guava:guava:17.0|org.openscience.cdk:cdk-interfaces:1.5.15|org.openscience.cdk:cdk-standard:1.5.15
6,org.openscience.cdk:cdk-inchi:1.5.15,org.openscience.cdk:cdk-core:1.5.15,3244,1062,379,1501,2033,19807,19807,org.openscience.cdk:cdk-inchi:1.5.15|javax.vecmath:vecmath:1.5.2|net.sf.jni-inchi:jni-inchi:0.8|net.sf.jnati:jnati-deploy:0.4|net.sf.jnati:jnati-core:0.4|log4j:log4j:1.2.14|com.google.guava:guava:17.0|org.openscience.cdk:cdk-interfaces:1.5.15|org.openscience.cdk:cdk-standard:1.5.15
7,org.openscience.cdk:cdk-inchi:1.5.15,com.google.guava:guava:17.0,2959,12985,1261,105646,9628,4562,4562,org.openscience.cdk:cdk-inchi:1.5.15|javax.vecmath:vecmath:1.5.2|net.sf.jni-inchi:jni-inchi:0.8|net.sf.jnati:jnati-deploy:0.4|net.sf.jnati:jnati-core:0.4|log4j:log4j:1.2.14|org.openscience.cdk:cdk-core:1.5.15|org.openscience.cdk:cdk-interfaces:1.5.15|org.openscience.cdk:cdk-standard:1.5.15
8,org.openscience.cdk:cdk-inchi:1.5.15,org.openscience.cdk:cdk-interfaces:1.5.15,30,493,6,9,33,0,0,org.openscience.cdk:cdk-inchi:1.5.15|javax.vecmath:vecmath:1.5.2|net.sf.jni-inchi:jni-inchi:0.8|net.sf.jnati:jnati-deploy:0.4|net.sf.jnati:jnati-core:0.4|log4j:log4j:1.2.14|org.openscience.cdk:cdk-core:1.5.15|com.google.guava:guava:17.0|org.openscience.cdk:cdk-standard:1.5.15
9,org.openscience.cdk:cdk-inchi:1.5.15,org.openscience.cdk:cdk-standard:1.5.15,4226,1006,587,1150,3432,48277,48277,org.openscience.cdk:cdk-inchi:1.5.15|javax.vecmath:vecmath:1.5.2|net.sf.jni-inchi:jni-inchi:0.8|net.sf.jnati:jnati-deploy:0.4|net.sf.jnati:jnati-core:0.4|log4j:log4j:1.2.14|org.openscience.cdk:cdk-core:1.5.15|com.google.guava:guava:17.0|org.openscience.cdk:cdk-interfaces:1.5.15
