number,coordinate,dependencies
0,org.sdase.commons:sda-commons-server-openapi:2.25.1,org.sdase.commons:sda-commons-server-openapi:2.25.1;org.sdase.commons:sda-commons-server-dropwizard:2.25.1;io.dropwizard:dropwizard-core:2.0.18;io.dropwizard:dropwizard-util:2.0.18;com.google.guava:guava:30.1-jre;com.google.guava:failureaccess:1.0.1;com.google.guava:listenablefuture:9999.0-empty-to-avoid-conflict-with-guava;org.checkerframework:checker-qual:3.5.0;com.google.errorprone:error_prone_annotations:2.3.4;com.google.j2objc:j2objc-annotations:1.3;io.dropwizard:dropwizard-jackson:2.0.18;com.github.ben-manes.caffeine:caffeine:2.8.8;com.fasterxml.jackson.datatype:jackson-datatype-guava:2.10.5;com.fasterxml.jackson.module:jackson-module-afterburner:2.10.5;com.fasterxml.jackson.datatype:jackson-datatype-joda:2.10.5;io.dropwizard:dropwizard-validation:2.0.18;com.fasterxml:classmate:1.5.1;org.glassfish:jakarta.el:3.0.3;io.dropwizard:dropwizard-configuration:2.0.18;org.apache.commons:commons-text:1.9;io.dropwizard:dropwizard-logging:2.0.18;io.dropwizard.metrics:metrics-logback:4.1.17;org.slf4j:jul-to-slf4j:1.7.30;io.dropwizard.logback:logback-throttling-appender:1.1.0;org.slf4j:log4j-over-slf4j:1.7.30;org.slf4j:jcl-over-slf4j:1.7.30;io.dropwizard:dropwizard-metrics:2.0.18;io.dropwizard:dropwizard-jersey:2.0.18;org.glassfish.jersey.core:jersey-server:2.32;org.glassfish.jersey.media:jersey-media-jaxb:2.32;org.glassfish.jersey.ext:jersey-metainf-services:2.32;org.glassfish.jersey.inject:jersey-hk2:2.32;org.glassfish.hk2:hk2-locator:2.6.1;io.dropwizard.metrics:metrics-jersey2:4.1.17;jakarta.annotation:jakarta.annotation-api:1.3.5;joda-time:joda-time:2.10.9;org.glassfish.hk2:hk2-api:2.6.1;org.glassfish.hk2:hk2-utils:2.6.1;org.glassfish.hk2.external:aopalliance-repackaged:2.6.1;org.glassfish.jersey.containers:jersey-container-servlet:2.32;org.glassfish.jersey.containers:jersey-container-servlet-core:2.32;org.glassfish.jersey.core:jersey-client:2.32;org.eclipse.jetty:jetty-io:9.4.35.v20201120;io.dropwizard:dropwizard-servlets:2.0.18;io.dropwizard.metrics:metrics-annotation:4.1.17;io.dropwizard:dropwizard-jetty:2.0.18;org.eclipse.jetty:jetty-servlets:9.4.35.v20201120;org.eclipse.jetty:jetty-continuation:9.4.35.v20201120;io.dropwizard:dropwizard-lifecycle:2.0.18;io.dropwizard.metrics:metrics-core:4.1.17;io.dropwizard.metrics:metrics-jetty9:4.1.17;io.dropwizard.metrics:metrics-jvm:4.1.17;io.dropwizard.metrics:metrics-jmx:4.1.17;io.dropwizard.metrics:metrics-servlets:4.1.17;io.dropwizard.metrics:metrics-json:4.1.17;com.helger:profiler:1.1.1;io.dropwizard.metrics:metrics-healthchecks:4.1.17;io.dropwizard:dropwizard-request-logging:2.0.18;ch.qos.logback:logback-classic:1.2.3;com.google.code.findbugs:jsr305:3.0.2;net.sourceforge.argparse4j:argparse4j:0.8.1;org.eclipse.jetty:jetty-security:9.4.35.v20201120;org.eclipse.jetty:jetty-server:9.4.35.v20201120;org.eclipse.jetty:jetty-servlet:9.4.35.v20201120;org.eclipse.jetty:jetty-util-ajax:9.4.35.v20201120;org.eclipse.jetty:jetty-util:9.4.35.v20201120;org.eclipse.jetty.toolchain.setuid:jetty-setuid-java:1.0.4;org.glassfish.hk2.external:jakarta.inject:2.6.1;org.glassfish.jersey.core:jersey-common:2.32;org.glassfish.hk2:osgi-resource-locator:1.0.3;com.sun.activation:jakarta.activation:1.2.2;org.glassfish.jersey.ext:jersey-bean-validation:2.32;org.hibernate.validator:hibernate-validator:6.1.7.Final;org.jboss.logging:jboss-logging:3.3.2.Final;jakarta.servlet:jakarta.servlet-api:4.0.4;io.dropwizard:dropwizard-json-logging:2.0.18;ch.qos.logback:logback-access:1.2.3;ch.qos.logback:logback-core:1.2.3;org.eclipse.jetty:jetty-http:9.4.35.v20201120;org.sdase.commons:sda-commons-shared-yaml:2.25.1;com.fasterxml.jackson.dataformat:jackson-dataformat-yaml:2.10.5;org.yaml:snakeyaml:1.26;com.fasterxml.jackson.core:jackson-core:2.10.5;com.fasterxml.jackson.datatype:jackson-datatype-jsr310:2.10.5;com.fasterxml.jackson.datatype:jackson-datatype-jdk8:2.10.5;com.fasterxml.jackson.module:jackson-module-parameter-names:2.10.5;io.swagger.core.v3:swagger-jaxrs2:2.1.6;com.fasterxml.jackson.core:jackson-databind:2.11.1;io.github.classgraph:classgraph:4.8.65;org.javassist:javassist:3.22.0-GA;io.swagger.core.v3:swagger-annotations:2.1.6;io.swagger.core.v3:swagger-integration:2.1.6;com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider:2.11.1;com.fasterxml.jackson.jaxrs:jackson-jaxrs-base:2.11.1;com.fasterxml.jackson.module:jackson-module-jaxb-annotations:2.11.1;io.swagger.core.v3:swagger-jaxrs2-servlet-initializer-v2:2.1.6;io.swagger.parser.v3:swagger-parser-v3:2.0.24;io.swagger.parser.v3:swagger-parser-core:2.0.24;commons-io:commons-io:2.6;com.fasterxml.jackson.core:jackson-annotations:2.11.1;io.openapitools.hal:swagger-hal:2.0.0;jakarta.ws.rs:jakarta.ws.rs-api:2.1.6;io.swagger.core.v3:swagger-core:2.1.6;jakarta.xml.bind:jakarta.xml.bind-api:2.3.2;jakarta.activation:jakarta.activation-api:1.2.1;org.apache.commons:commons-lang3:3.7;jakarta.validation:jakarta.validation-api:2.0.2;io.swagger.core.v3:swagger-models:2.1.6;io.openapitools.jackson.dataformat:jackson-dataformat-hal:1.0.7;org.slf4j:slf4j-api:1.7.30
1,software.amazon.awssdk:kinesisvideo:2.15.73,software.amazon.awssdk:kinesisvideo:2.15.73;software.amazon.awssdk:aws-json-protocol:2.15.73;com.fasterxml.jackson.core:jackson-core:2.10.5;software.amazon.awssdk:protocol-core:2.15.73;software.amazon.awssdk:sdk-core:2.15.73;software.amazon.awssdk:profiles:2.15.73;org.slf4j:slf4j-api:1.7.28;com.fasterxml.jackson.core:jackson-databind:2.10.5.1;org.reactivestreams:reactive-streams:1.0.2;software.amazon.awssdk:auth:2.15.73;software.amazon.eventstream:eventstream:1.0.1;software.amazon.awssdk:http-client-spi:2.15.73;software.amazon.awssdk:regions:2.15.73;com.fasterxml.jackson.core:jackson-annotations:2.10.5;software.amazon.awssdk:annotations:2.15.73;software.amazon.awssdk:utils:2.15.73;software.amazon.awssdk:aws-core:2.15.73;software.amazon.awssdk:metrics-spi:2.15.73;software.amazon.awssdk:apache-client:2.15.73;org.apache.httpcomponents:httpclient:4.5.13;commons-logging:commons-logging:1.2;commons-codec:commons-codec:1.11;org.apache.httpcomponents:httpcore:4.4.11;software.amazon.awssdk:netty-nio-client:2.15.73;io.netty:netty-codec-http:4.1.53.Final;io.netty:netty-codec-http2:4.1.53.Final;io.netty:netty-codec:4.1.53.Final;io.netty:netty-transport:4.1.53.Final;io.netty:netty-resolver:4.1.53.Final;io.netty:netty-common:4.1.53.Final;io.netty:netty-buffer:4.1.53.Final;io.netty:netty-handler:4.1.53.Final;io.netty:netty-transport-native-epoll:4.1.53.Final;io.netty:netty-transport-native-unix-common:4.1.53.Final;com.typesafe.netty:netty-reactive-streams-http:2.0.4;com.typesafe.netty:netty-reactive-streams:2.0.4
2,com.yahoo.vespa.hosted:vespa-testrunner-components:7.362.70,com.yahoo.vespa.hosted:vespa-testrunner-components:7.362.70;org.fusesource.jansi:jansi:1.11
3,com.tencentcloudapi:tencentcloud-sdk-java-cws:3.1.206,com.tencentcloudapi:tencentcloud-sdk-java-cws:3.1.206;com.tencentcloudapi:tencentcloud-sdk-java-common:3.1.206;commons-logging:commons-logging:1.2;com.squareup.okhttp:logging-interceptor:2.7.5;com.squareup.okhttp:okhttp:2.7.5;log4j:log4j:1.2.17;com.squareup.okio:okio:1.12.0;com.google.code.gson:gson:2.2.4;javax.xml.bind:jaxb-api:2.3.0
4,org.jboss.windup.decompiler:decompiler-procyon:5.1.3.Alpha1,org.jboss.windup.decompiler:decompiler-procyon:5.1.3.Alpha1;org.bitbucket.mstrobel:procyon-core:0.5.33;org.bitbucket.mstrobel:procyon-compilertools:0.5.33;org.jboss.windup.decompiler:decompiler-api:5.1.3.Alpha1;org.jboss.windup.utils:windup-utils:5.1.3.Alpha1;commons-io:commons-io:2.4;org.apache.commons:commons-lang3:3.4;org.apache.commons:commons-collections4:4.1;com.google.guava:guava:18.0;org.kamranzafar:jtar:2.3
5,org.wildfly.security:wildfly-elytron-http-util:1.15.0.CR1,org.wildfly.security:wildfly-elytron-http-util:1.15.0.CR1;org.wildfly.security:wildfly-elytron-auth-server:1.15.0.CR1;org.wildfly.security:wildfly-elytron-auth:1.15.0.CR1;org.wildfly.security:wildfly-elytron-base:1.15.0.CR1;org.wildfly.security:wildfly-elytron-credential:1.15.0.CR1;org.wildfly.security:wildfly-elytron-keystore:1.15.0.CR1;org.wildfly.security:wildfly-elytron-provider-util:1.15.0.CR1;org.wildfly.security:wildfly-elytron-permission:1.15.0.CR1;org.wildfly.security:wildfly-elytron-x500:1.15.0.CR1;org.jboss.logging:jboss-logging:3.4.1.Final;org.wildfly.security:wildfly-elytron-http:1.15.0.CR1;org.wildfly.security:wildfly-elytron-mechanism:1.15.0.CR1;org.wildfly.security:wildfly-elytron-asn1:1.15.0.CR1;org.wildfly.security:wildfly-elytron-util:1.15.0.CR1;org.wildfly.common:wildfly-common:1.5.4.Final
6,org.eclipse.rdf4j:rdf4j-sail-api:3.4.4,org.eclipse.rdf4j:rdf4j-sail-api:3.4.4;org.eclipse.rdf4j:rdf4j-query:3.4.4;org.eclipse.rdf4j:rdf4j-rio-api:3.4.4;javax.xml.bind:jaxb-api:2.3.1;javax.activation:javax.activation-api:1.2.0;com.github.jsonld-java:jsonld-java:0.13.0;org.apache.httpcomponents:httpclient-osgi:4.5.10;org.apache.httpcomponents:httpclient:4.5.10;commons-codec:commons-codec:1.11;org.apache.httpcomponents:httpmime:4.5.10;org.apache.httpcomponents:httpclient-cache:4.5.10;org.apache.httpcomponents:fluent-hc:4.5.10;org.apache.httpcomponents:httpcore-osgi:4.4.12;org.apache.httpcomponents:httpcore:4.4.12;org.apache.httpcomponents:httpcore-nio:4.4.12;org.slf4j:jcl-over-slf4j:1.7.29;commons-io:commons-io:2.6;com.fasterxml.jackson.core:jackson-annotations:2.10.4;com.fasterxml.jackson.core:jackson-core:2.10.4;com.fasterxml.jackson.core:jackson-databind:2.10.4;org.eclipse.rdf4j:rdf4j-queryalgebra-model:3.4.4;org.eclipse.rdf4j:rdf4j-model:3.4.4;org.eclipse.rdf4j:rdf4j-util:3.4.4;org.slf4j:slf4j-api:1.7.30
7,org.wso2.carbon.identity.framework:org.wso2.carbon.identity.functions.library.mgt.stub:5.19.14,org.wso2.carbon.identity.framework:org.wso2.carbon.identity.functions.library.mgt.stub:5.19.14;org.apache.axis2.wso2:axis2:1.6.1-wso2v40;org.apache.axis2.wso2:axis2-client:1.6.1-wso2v40;org.apache.ws.commons.schema.wso2:XmlSchema:1.4.7.wso2v3;org.apache.geronimo.specs.wso2:geronimo-stax-api_1.0_spec:1.0.1.wso2v1;org.wso2.orbit.org.apache.neethi:neethi:2.0.4.wso2v5;org.apache.axis2.wso2:axis2-json:1.6.1-wso2v40;org.apache.woden.wso2:woden:1.0.0.M8-wso2v1;wsdl4j.wso2:wsdl4j:1.6.2.wso2v2;wsdl4j:wsdl4j:1.6.2;org.wso2.securevault:org.wso2.securevault:1.1.2;org.apache.ws.commons.axiom:axiom-api:1.2.11;org.apache.geronimo.specs:geronimo-activation_1.1_spec:1.0.2;org.apache.geronimo.specs:geronimo-javamail_1.4_spec:1.6;jaxen:jaxen:1.1.1;org.apache.geronimo.specs:geronimo-stax-api_1.0_spec:1.0.1;org.apache.ws.commons.axiom:axiom-impl:1.2.11;org.codehaus.woodstox:wstx-asl:3.2.9;log4j:log4j:1.2.14;jline:jline:0.9.94;junit:junit:3.8.1;commons-cli:commons-cli:1.0;commons-lang:commons-lang:1.0;commons-io:commons-io:2.0;commons-codec:commons-codec:1.2;org.apache.httpcomponents.wso2:httpcore:4.3.0.wso2v1;org.wso2.orbit.commons-fileupload:commons-fileupload:1.3.1.wso2v1;commons-codec.wso2:commons-codec:1.3.0.wso2v1;commons-logging:commons-logging:1.1.1;org.wso2.orbit.commons-httpclient:commons-httpclient:3.1.0.wso2v3;org.wso2.orbit.javax.activation:activation:1.1.1.wso2v1
8,com.jwebmp.plugins.angular:jwebmp-angular-slim-scroll:1.1.1.2-jre14,com.jwebmp.plugins.angular:jwebmp-angular-slim-scroll:1.1.1.2-jre14;com.jwebmp.core:jwebmp-core:1.1.1.2-jre14;com.guicedee.services:guava:1.1.1.2-jre14;com.guicedee.services:jakarta.activation:1.1.1.2-jre14;com.guicedee.services:jakarta.validation-api:1.1.1.2-jre14;com.guicedee.services:jakarta.annotation-api:1.1.1.2-jre14;com.guicedee:guiced-injection:1.1.1.2-jre14;io.github.classgraph:classgraph:4.8.102;com.guicedee.services:guice:1.1.1.2-jre14;com.guicedee.services:javax.inject:1.1.1.2-jre14;com.fasterxml.jackson.datatype:jackson-datatype-jdk8:2.12.1;com.fasterxml.jackson.core:jackson-core:2.12.1;com.fasterxml.jackson.core:jackson-databind:2.12.1;com.fasterxml.jackson.core:jackson-annotations:2.12.1;com.guicedee.services:jakarta.xml.bind-api:1.1.1.2-jre14;org.codehaus.woodstox:stax2-api:4.2.1;org.jvnet.staxex:stax-ex:2.0.0;com.guicedee.services:uadetector-core:1.1.1.2-jre14;com.guicedee:guiced-log-master:1.1.1.2-jre14;com.guicedee.servlets:guiced-servlets:1.1.1.2-jre14;com.guicedee.services:guice-servlet:1.1.1.2-jre14;com.guicedee.services:aopalliance-core:1.1.1.2-jre14;com.guicedee.services:jakarta.servlet-api:1.1.1.2-jre14;com.guicedee.servlets:guiced-websockets:1.1.1.2-jre14;com.guicedee.services:jakarta.websocket-api:1.1.1.2-jre14;com.guicedee.services:uadetector-resources:1.1.1.2-jre14;com.guicedee.services:commons-lang3:1.1.1.2-jre14;com.guicedee.services:commons-text:1.1.1.2-jre14;com.guicedee.services:commons-io:1.1.1.2-jre14;com.jwebmp.plugins.angular:jwebmp-plugins-angularjs:1.1.1.2-jre14
9,systems.manifold:manifold-json:2021.1.2,systems.manifold:manifold-json:2021.1.2;systems.manifold:manifold-json-rt:2021.1.2;systems.manifold:manifold-ext-rt:2021.1.2;systems.manifold:manifold-rt:2021.1.2;systems.manifold:manifold-util:2021.1.2;systems.manifold:manifold-ext:2021.1.2;systems.manifold:manifold:2021.1.2
