number,coordinate,dependencies
0,org.digidoc4j:digidoc4j:1.0.7.beta.2,org.digidoc4j:digidoc4j:1.0.7.beta.2;ee.sk.digidoc:jdigidoc:3.12.1;commons-cli:commons-cli:1.4;org.apache.commons:commons-compress:1.3;commons-io:commons-io:2.5;commons-codec:commons-codec:1.10;org.apache.commons:commons-lang3:3.6;commons-logging:commons-logging:1.2;org.apache.commons:commons-collections4:4.1;org.apache.httpcomponents:httpclient:4.5.3;org.apache.httpcomponents:httpcore:4.4.6;org.apache.santuario:xmlsec:2.0.8;org.bouncycastle:bcmail-jdk15on:1.54;org.bouncycastle:bcpkix-jdk15on:1.54;org.bouncycastle:bcprov-jdk15on:1.54;xalan:serializer:2.7.2;xalan:xalan:2.7.2;org.yaml:snakeyaml:1.18;org.slf4j:slf4j-api:1.7.25;ch.qos.logback:logback-classic:1.2.3;ch.qos.logback:logback-core:1.2.3;org.slf4j:log4j-over-slf4j:1.7.25;log4j:log4j:1.2.17;org.digidoc4j.dss:dss-common-validation-jaxb:5.0.d4j.3;org.digidoc4j.dss:dss-detailed-report-jaxb:5.0.d4j.3;org.digidoc4j.dss:dss-diagnostic-jaxb:5.0.d4j.3;org.digidoc4j.dss:dss-document:5.0.d4j.3;org.digidoc4j.dss:dss-model:5.0.d4j.3;org.digidoc4j.dss:dss-policy-jaxb:5.0.d4j.3;org.digidoc4j.dss:dss-reports:5.0.d4j.3;org.digidoc4j.dss:dss-service:5.0.d4j.3;org.slf4j:jcl-over-slf4j:1.7.22;org.digidoc4j.dss:dss-simple-report-jaxb:5.0.d4j.3;org.digidoc4j.dss:dss-spi:5.0.d4j.3;org.digidoc4j.dss:dss-token:5.0.d4j.3;org.digidoc4j.dss:dss-tsl-jaxb:5.0.d4j.3;org.digidoc4j.dss:dss-tsl-validation:5.0.d4j.3;org.digidoc4j.dss:dss-xades:5.0.d4j.3;org.digidoc4j.dss:validation-policy:5.0.d4j.3;org.digidoc4j.dss:dss-asic-common:5.0.d4j.3;org.digidoc4j.dss:dss-asic-cades:5.0.d4j.3;org.digidoc4j.dss:dss-cades:5.0.d4j.3;org.digidoc4j.dss:dss-asic-xades:5.0.d4j.3;org.digidoc4j.dss:dss-utils:5.0.d4j.3;org.digidoc4j.dss:dss-utils-apache-commons:5.0.d4j.3;org.digidoc4j.dss:dss-utils-google-guava:5.0.d4j.3;com.google.guava:guava:20.0
1,com.google.code.maven-play-plugin.org.playframework:play:1.5.0,com.google.code.maven-play-plugin.org.playframework:play:1.5.0;org.ow2.asm:asm-all:5.2;com.fasterxml:classmate:1.3.3;com.mchange:c3p0:0.9.5.2;com.mchange:mchange-commons-java:0.2.12;com.google.code.maven-play-plugin.com.mchange:c3p0-oracle-thin-extras:0.9.5;cglib:cglib:3.2.4;com.google.code.gson:gson:2.8.0;com.h2database:h2:1.4.196;com.ning:async-http-client:1.9.40;com.thoughtworks.xstream:xstream:1.4.9;com.zaxxer:HikariCP:2.6.3;commons-beanutils:commons-beanutils:1.9.2;commons-codec:commons-codec:1.10;commons-collections:commons-collections:3.2.2;org.apache.commons:commons-email:1.4;commons-fileupload:commons-fileupload:1.3.2;commons-io:commons-io:2.5;commons-lang:commons-lang:2.6;commons-logging:commons-logging:1.2;com.jamonapi:jamon:2.81;dom4j:dom4j:1.6.1;org.javassist:javassist:3.21.0-GA;javax.activation:activation:1.1.1;javax.inject:javax.inject:1;javax.mail:mail:1.4.7;javax.validation:validation-api:1.1.0.Final;jaxen:jaxen:1.1.6;joda-time:joda-time:2.9.9;junit:junit:4.12;log4j:log4j:1.2.17;mysql:mysql-connector-java:5.1.41;net.sf.ehcache:ehcache-core:2.6.11;net.sf.ezmorph:ezmorph:1.0.6;net.sf.jsr107cache:jsr107cache:1.1;net.sf.oval:oval:1.86;net.sourceforge.jregex:jregex:1.2_01;net.spy:spymemcached:2.12.1;oauth.signpost:signpost-core:1.2.1.2;org.apache.ivy:ivy:2.4.0;org.bouncycastle:bcprov-jdk15on:1.57;org.bouncycastle:bcpkix-jdk15on:1.57;org.codehaus.groovy:groovy-all:2.4.11;org.eclipse.jdt:org.eclipse.jdt.core:3.12.3;org.hamcrest:hamcrest-all:1.3;org.hibernate:hibernate-c3p0:5.2.10.Final;org.jboss.logging:jboss-logging:3.3.0.Final;org.hibernate:hibernate-ehcache:5.2.10.Final;org.hibernate:hibernate-entitymanager:5.2.10.Final;org.hibernate.common:hibernate-commons-annotations:5.0.1.Final;org.hibernate:hibernate-validator:5.4.1.Final;org.hibernate.javax.persistence:hibernate-jpa-2.1-api:1.0.0.Final;org.jboss.spec.javax.transaction:jboss-transaction-api_1.2_spec:1.0.1.Final;io.netty:netty:3.10.6.Final;org.slf4j:slf4j-api:1.7.22;org.slf4j:slf4j-log4j12:1.7.22;org.yaml:snakeyaml:1.17;xmlpull:xmlpull:1.1.3.4d_b4_min;com.google.code.maven-play-plugin.org.apache.commons:commons-javaflow:1590792-patched-play-1.3.0;com.google.code.maven-play-plugin.org.hibernate:hibernate-core:5.2.10.Final-patched-play-1.5.0;antlr:antlr:2.7.7;com.google.code.maven-play-plugin.org.playframework:jj-imaging:1.1;com.google.code.maven-play-plugin.org.playframework:jj-simplecaptcha:1.1;com.google.code.maven-play-plugin.org.playframework:jj-textile:1.1;com.google.code.maven-play-plugin.org.playframework:jj-wikitext:1.1;com.google.code.maven-play-plugin.postgresql:postgresql:9.0-801.jdbc4-patched-play-1.2.3
2,org.apache.solr:solr-map-reduce:5.4.1,org.apache.solr:solr-map-reduce:5.4.1;org.apache.lucene:lucene-analyzers-common:5.4.1;org.apache.lucene:lucene-analyzers-kuromoji:5.4.1;org.apache.lucene:lucene-analyzers-phonetic:5.4.1;org.apache.lucene:lucene-backward-codecs:5.4.1;org.apache.lucene:lucene-codecs:5.4.1;org.apache.lucene:lucene-core:5.4.1;org.apache.lucene:lucene-expressions:5.4.1;org.apache.lucene:lucene-grouping:5.4.1;org.apache.lucene:lucene-highlighter:5.4.1;org.apache.lucene:lucene-join:5.4.1;org.apache.lucene:lucene-memory:5.4.1;org.apache.lucene:lucene-misc:5.4.1;org.apache.lucene:lucene-queries:5.4.1;org.apache.lucene:lucene-queryparser:5.4.1;org.apache.lucene:lucene-sandbox:5.4.1;org.apache.lucene:lucene-spatial:5.4.1;org.apache.lucene:lucene-suggest:5.4.1;org.apache.solr:solr-cell:5.4.1;org.apache.solr:solr-core:5.4.1;org.apache.solr:solr-morphlines-cell:5.4.1;org.apache.solr:solr-morphlines-core:5.4.1;org.apache.solr:solr-solrj:5.4.1;com.adobe.xmp:xmpcore:5.1.2;com.carrotsearch:hppc:0.7.1;com.codahale.metrics:metrics-core:3.0.1;com.codahale.metrics:metrics-healthchecks:3.0.1;com.drewnoakes:metadata-extractor:2.6.2;com.fasterxml.jackson.core:jackson-core:2.5.4;com.fasterxml.jackson.dataformat:jackson-dataformat-smile:2.5.4;com.google.guava:guava:14.0.1;com.google.protobuf:protobuf-java:2.5.0;com.googlecode.concurrentlinkedhashmap:concurrentlinkedhashmap-lru:1.2;com.googlecode.juniversalchardet:juniversalchardet:1.0.3;com.googlecode.mp4parser:isoparser:1.0.2;com.ibm.icu:icu4j:54.1;com.pff:java-libpst:0.8.1;com.spatial4j:spatial4j:0.5;com.tdunning:t-digest:3.1;com.typesafe:config:1.0.2;commons-cli:commons-cli:1.2;commons-codec:commons-codec:1.10;commons-collections:commons-collections:3.2.2;commons-configuration:commons-configuration:1.6;commons-fileupload:commons-fileupload:1.2.1;commons-io:commons-io:2.4;commons-lang:commons-lang:2.6;de.l3s.boilerpipe:boilerpipe:1.1.0;dom4j:dom4j:1.6.1;javax.servlet:javax.servlet-api:3.1.0;jdom:jdom:1.0;joda-time:joda-time:2.2;log4j:log4j:1.2.17;net.sf.saxon:Saxon-HE:9.6.0-2;net.sourceforge.argparse4j:argparse4j:0.4.3;net.sourceforge.jmatio:jmatio:1.0;org.antlr:antlr4-runtime:4.5.1-1;org.apache.commons:commons-compress:1.8.1;org.apache.commons:commons-exec:1.3;org.apache.hadoop:hadoop-annotations:2.6.0;org.apache.hadoop:hadoop-auth:2.6.0;org.apache.hadoop:hadoop-common:2.6.0;org.apache.hadoop:hadoop-hdfs:2.6.0;org.apache.hadoop:hadoop-mapreduce-client-core:2.6.0;org.apache.httpcomponents:httpclient:4.4.1;org.apache.httpcomponents:httpcore:4.4.1;org.apache.httpcomponents:httpmime:4.4.1;org.apache.james:apache-mime4j-core:0.7.2;org.apache.james:apache-mime4j-dom:0.7.2;org.apache.pdfbox:fontbox:1.8.8;org.apache.pdfbox:jempbox:1.8.8;org.apache.pdfbox:pdfbox:1.8.8;org.apache.poi:poi:3.11;org.apache.poi:poi-ooxml:3.11;org.apache.poi:poi-ooxml-schemas:3.11;org.apache.poi:poi-scratchpad:3.11;org.apache.tika:tika-core:1.7;org.apache.tika:tika-java7:1.7;org.apache.tika:tika-parsers:1.7;org.apache.tika:tika-xmp:1.7;org.apache.xmlbeans:xmlbeans:2.6.0;org.apache.zookeeper:zookeeper:3.4.6;org.aspectj:aspectjrt:1.8.0;org.bouncycastle:bcmail-jdk15:1.45;org.bouncycastle:bcprov-jdk15:1.45;org.ccil.cowan.tagsoup:tagsoup:1.2.1;org.codehaus.woodstox:stax2-api:3.1.4;org.codehaus.woodstox:woodstox-core-asl:4.4.1;org.eclipse.jetty:jetty-continuation:9.2.13.v20150730;org.eclipse.jetty:jetty-deploy:9.2.13.v20150730;org.eclipse.jetty:jetty-http:9.2.13.v20150730;org.eclipse.jetty:jetty-io:9.2.13.v20150730;org.eclipse.jetty:jetty-jmx:9.2.13.v20150730;org.eclipse.jetty:jetty-rewrite:9.2.13.v20150730;org.eclipse.jetty:jetty-security:9.2.13.v20150730;org.eclipse.jetty:jetty-server:9.2.13.v20150730;org.eclipse.jetty:jetty-servlet:9.2.13.v20150730;org.eclipse.jetty:jetty-servlets:9.2.13.v20150730;org.eclipse.jetty:jetty-util:9.2.13.v20150730;org.eclipse.jetty:jetty-webapp:9.2.13.v20150730;org.eclipse.jetty:jetty-xml:9.2.13.v20150730;org.gagravarr:vorbis-java-core:0.6;org.gagravarr:vorbis-java-tika:0.6;org.htrace:htrace-core:3.0.4;org.kitesdk:kite-morphlines-avro:1.1.0;org.kitesdk:kite-morphlines-core:1.1.0;org.kitesdk:kite-morphlines-hadoop-sequencefile:1.1.0;org.kitesdk:kite-morphlines-json:1.1.0;org.kitesdk:kite-morphlines-saxon:1.1.0;org.kitesdk:kite-morphlines-tika-core:1.1.0;org.kitesdk:kite-morphlines-tika-decompress:1.1.0;org.kitesdk:kite-morphlines-twitter:1.1.0;org.noggit:noggit:0.6;org.ow2.asm:asm:5.0.4;org.ow2.asm:asm-commons:5.0.4;org.restlet.jee:org.restlet:2.3.0;org.restlet.jee:org.restlet.ext.servlet:2.3.0;org.slf4j:jcl-over-slf4j:1.7.7;org.slf4j:slf4j-api:1.7.7;org.tukaani:xz:1.5;rome:rome:1.0;xerces:xercesImpl:2.9.1
3,org.digidoc4j:digidoc4j:1.0.7.1,org.digidoc4j:digidoc4j:1.0.7.1;ee.sk.digidoc:jdigidoc:3.12.1;commons-cli:commons-cli:1.4;org.apache.commons:commons-compress:1.3;commons-io:commons-io:2.5;commons-codec:commons-codec:1.10;org.apache.commons:commons-lang3:3.6;commons-logging:commons-logging:1.2;org.apache.commons:commons-collections4:4.1;org.apache.httpcomponents:httpclient:4.5.3;org.apache.httpcomponents:httpcore:4.4.6;org.apache.santuario:xmlsec:2.0.8;org.bouncycastle:bcmail-jdk15on:1.54;org.bouncycastle:bcpkix-jdk15on:1.54;org.bouncycastle:bcprov-jdk15on:1.54;xalan:serializer:2.7.2;xalan:xalan:2.7.2;org.yaml:snakeyaml:1.18;org.slf4j:slf4j-api:1.7.25;ch.qos.logback:logback-classic:1.2.3;ch.qos.logback:logback-core:1.2.3;org.slf4j:log4j-over-slf4j:1.7.25;com.google.guava:guava:20.0;log4j:log4j:1.2.17;org.digidoc4j.dss:dss-common-validation-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-detailed-report-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-diagnostic-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-document:5.0.d4j.4;org.digidoc4j.dss:dss-model:5.0.d4j.4;org.digidoc4j.dss:dss-policy-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-reports:5.0.d4j.4;org.digidoc4j.dss:dss-service:5.0.d4j.4;org.slf4j:jcl-over-slf4j:1.7.22;org.digidoc4j.dss:dss-simple-report-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-spi:5.0.d4j.4;org.digidoc4j.dss:dss-token:5.0.d4j.4;org.digidoc4j.dss:dss-tsl-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-tsl-validation:5.0.d4j.4;org.digidoc4j.dss:dss-xades:5.0.d4j.4;org.digidoc4j.dss:dss-cades:5.0.d4j.4;org.digidoc4j.dss:validation-policy:5.0.d4j.4;org.digidoc4j.dss:dss-asic-common:5.0.d4j.4;org.digidoc4j.dss:dss-asic-cades:5.0.d4j.4;org.digidoc4j.dss:dss-asic-xades:5.0.d4j.4;org.digidoc4j.dss:dss-utils:5.0.d4j.4;org.digidoc4j.dss:dss-utils-apache-commons:5.0.d4j.4;org.digidoc4j.dss:dss-utils-google-guava:5.0.d4j.4
4,org.digidoc4j:digidoc4j:1.0.7.2,org.digidoc4j:digidoc4j:1.0.7.2;ee.sk.digidoc:jdigidoc:3.12.1;commons-cli:commons-cli:1.4;org.apache.commons:commons-compress:1.3;commons-io:commons-io:2.5;commons-codec:commons-codec:1.10;org.apache.commons:commons-lang3:3.6;commons-logging:commons-logging:1.2;org.apache.commons:commons-collections4:4.1;org.apache.httpcomponents:httpclient:4.5.3;org.apache.httpcomponents:httpcore:4.4.6;org.apache.santuario:xmlsec:2.0.8;org.bouncycastle:bcmail-jdk15on:1.54;org.bouncycastle:bcpkix-jdk15on:1.54;org.bouncycastle:bcprov-jdk15on:1.54;xalan:serializer:2.7.2;xalan:xalan:2.7.2;org.yaml:snakeyaml:1.18;org.slf4j:slf4j-api:1.7.25;ch.qos.logback:logback-classic:1.2.3;ch.qos.logback:logback-core:1.2.3;org.slf4j:log4j-over-slf4j:1.7.25;com.google.guava:guava:20.0;log4j:log4j:1.2.17;org.digidoc4j.dss:dss-common-validation-jaxb:5.0.d4j.5;org.digidoc4j.dss:dss-detailed-report-jaxb:5.0.d4j.5;org.digidoc4j.dss:dss-diagnostic-jaxb:5.0.d4j.5;org.digidoc4j.dss:dss-document:5.0.d4j.5;org.digidoc4j.dss:dss-model:5.0.d4j.5;org.digidoc4j.dss:dss-policy-jaxb:5.0.d4j.5;org.digidoc4j.dss:dss-reports:5.0.d4j.5;org.digidoc4j.dss:dss-service:5.0.d4j.5;org.slf4j:jcl-over-slf4j:1.7.22;org.digidoc4j.dss:dss-simple-report-jaxb:5.0.d4j.5;org.digidoc4j.dss:dss-spi:5.0.d4j.5;org.digidoc4j.dss:dss-token:5.0.d4j.5;org.digidoc4j.dss:dss-tsl-jaxb:5.0.d4j.5;org.digidoc4j.dss:dss-tsl-validation:5.0.d4j.5;org.digidoc4j.dss:dss-xades:5.0.d4j.5;org.digidoc4j.dss:dss-cades:5.0.d4j.5;org.digidoc4j.dss:validation-policy:5.0.d4j.5;org.digidoc4j.dss:dss-asic-common:5.0.d4j.5;org.digidoc4j.dss:dss-asic-cades:5.0.d4j.5;org.digidoc4j.dss:dss-asic-xades:5.0.d4j.5;org.digidoc4j.dss:dss-utils:5.0.d4j.5;org.digidoc4j.dss:dss-utils-apache-commons:5.0.d4j.5;org.digidoc4j.dss:dss-utils-google-guava:5.0.d4j.5
5,net.oneandone.cosmo:cosmo-core:1.0.27,net.oneandone.cosmo:cosmo-core:1.0.27;net.oneandone.cosmo:cosmo-api:1.0.27;commons-lang:commons-lang:2.6;commons-io:commons-io:2.4;commons-codec:commons-codec:1.10;ch.qos.logback:logback-classic:1.1.2;org.slf4j:slf4j-api:1.7.6;ch.qos.logback:logback-core:1.1.2;commons-logging:commons-logging-api:1.1;xerces:xercesImpl:2.11.0;xml-apis:xml-apis:1.4.01;org.reflections:reflections:0.9.9;com.google.guava:guava:15.0;org.javassist:javassist:3.18.2-GA;com.google.code.findbugs:annotations:2.0.1;org.mariadb.jdbc:mariadb-java-client:1.3.7;org.apache.abdera:abdera-core:1.1.3;org.apache.geronimo.specs:geronimo-activation_1.1_spec:1.1;org.apache.geronimo.specs:geronimo-stax-api_1.0_spec:1.0.1;commons-logging:commons-logging:1.0.4;org.apache.abdera:abdera-i18n:1.1.3;org.mnode.ical4j:ical4j:1.0.6;backport-util-concurrent:backport-util-concurrent:3.1;com.ibm.icu:icu4j:54.1.1;org.apache.jackrabbit:jackrabbit-jcr-server:2.9.0;org.apache.jackrabbit:jackrabbit-spi-commons:2.9.0;org.apache.jackrabbit:jackrabbit-spi:2.9.0;commons-collections:commons-collections:3.2.1;org.apache.jackrabbit:jackrabbit-jcr-commons:2.9.0;org.apache.tika:tika-core:1.3;commons-fileupload:commons-fileupload:1.2.1;org.apache.jackrabbit:jackrabbit-webdav:2.9.0;commons-httpclient:commons-httpclient:3.1;org.springframework:spring-beans:4.1.4.RELEASE;org.springframework:spring-context:4.1.4.RELEASE;org.springframework:spring-expression:4.1.4.RELEASE;org.springframework:spring-core:4.1.4.RELEASE;org.springframework:spring-tx:4.1.4.RELEASE;org.springframework:spring-web:4.1.4.RELEASE;org.springframework:spring-orm:4.1.4.RELEASE;org.springframework:spring-jdbc:4.1.4.RELEASE;org.springframework:spring-aop:4.1.4.RELEASE;org.springframework.security:spring-security-core:3.2.5.RELEASE;org.springframework.security:spring-security-web:3.2.5.RELEASE;org.springframework.security:spring-security-config:3.2.5.RELEASE;org.aspectj:aspectjweaver:1.8.5;aopalliance:aopalliance:1.0;org.hibernate:hibernate-core:4.3.8.Final;org.jboss.logging:jboss-logging:3.1.3.GA;org.jboss.logging:jboss-logging-annotations:1.2.0.Beta1;org.jboss.spec.javax.transaction:jboss-transaction-api_1.2_spec:1.0.0.Final;dom4j:dom4j:1.6.1;org.hibernate.common:hibernate-commons-annotations:4.0.5.Final;antlr:antlr:2.7.7;org.jboss:jandex:1.1.0.Final;org.hibernate.javax.persistence:hibernate-jpa-2.1-api:1.0.0.Final;org.hibernate:hibernate-validator:5.2.0.Alpha1;com.fasterxml:classmate:1.0.0;javax.validation:validation-api:1.1.0.Final;org.glassfish.web:javax.el:2.2.4;org.apache.httpcomponents:httpclient:4.5.2;org.apache.httpcomponents:httpcore:4.4.4
6,com.hazelcast:hazelcast:3.10-BETA-2,com.hazelcast:hazelcast:3.10-BETA-2
7,com.google.code.maven-play-plugin.org.playframework:play:1.4.3,com.google.code.maven-play-plugin.org.playframework:play:1.4.3;org.ow2.asm:asm-all:5.1;com.mchange:c3p0:0.9.5.2;com.mchange:mchange-commons-java:0.2.11;com.google.code.maven-play-plugin.com.mchange:c3p0-oracle-thin-extras:0.9.5;cglib:cglib:3.2.2;org.apache.ant:ant:1.9.6;org.apache.ant:ant-launcher:1.9.6;com.google.code.gson:gson:2.6.2;com.h2database:h2:1.4.192;com.ning:async-http-client:1.9.38;com.thoughtworks.xstream:xstream:1.4.8;commons-beanutils:commons-beanutils:1.9.2;commons-codec:commons-codec:1.10;commons-collections:commons-collections:3.2.2;org.apache.commons:commons-email:1.4;commons-fileupload:commons-fileupload:1.3.1;commons-io:commons-io:2.5;commons-lang:commons-lang:2.6;commons-logging:commons-logging:1.2;com.jamonapi:jamon:2.81;dom4j:dom4j:1.6.1;org.javassist:javassist:3.20.0-GA;javax.activation:activation:1.1.1;javax.inject:javax.inject:1;javax.mail:mail:1.4.7;javax.validation:validation-api:1.1.0.Final;jaxen:jaxen:1.1.6;joda-time:joda-time:2.9.4;junit:junit:4.12;org.hamcrest:hamcrest-core:1.3;log4j:log4j:1.2.17;mysql:mysql-connector-java:5.1.38;net.sf.ehcache:ehcache-core:2.6.11;net.sf.ezmorph:ezmorph:1.0.6;net.sf.jsr107cache:jsr107cache:1.1;net.sf.oval:oval:1.85;net.sourceforge.jregex:jregex:1.2_01;net.spy:spymemcached:2.12.0;oauth.signpost:signpost-core:1.2.1.2;org.apache.ivy:ivy:2.4.0;org.bouncycastle:bcprov-jdk15:1.46;org.codehaus.groovy:groovy-all:2.4.7;org.hibernate:hibernate-c3p0:4.2.19.Final;org.jboss.logging:jboss-logging:3.1.0.GA;org.hibernate:hibernate-ehcache:4.2.19.Final;org.hibernate:hibernate-entitymanager:4.2.19.Final;org.hibernate.common:hibernate-commons-annotations:4.0.2.Final;org.hibernate:hibernate-validator:4.1.0.Final;org.hibernate.javax.persistence:hibernate-jpa-2.0-api:1.0.1.Final;org.jboss.spec.javax.transaction:jboss-transaction-api_1.1_spec:1.0.1.Final;io.netty:netty:3.10.5.Final;org.slf4j:slf4j-api:1.7.21;org.slf4j:slf4j-log4j12:1.7.21;org.yaml:snakeyaml:1.17;xmlpull:xmlpull:1.1.3.4d_b4_min;com.google.code.maven-play-plugin.org.apache.commons:commons-javaflow:1590792-patched-play-1.3.0;com.google.code.maven-play-plugin.org.eclipse.jdt:org.eclipse.jdt.core:3.10.0.v20140604-1726;com.google.code.maven-play-plugin.org.hibernate:hibernate-core:4.2.19.Final-patched-play-1.3.2;antlr:antlr:2.7.7;com.google.code.maven-play-plugin.org.playframework:jj-imaging:1.1;com.google.code.maven-play-plugin.org.playframework:jj-simplecaptcha:1.1;com.google.code.maven-play-plugin.org.playframework:jj-textile:1.1;com.google.code.maven-play-plugin.org.playframework:jj-wikitext:1.1;com.google.code.maven-play-plugin.postgresql:postgresql:9.0-801.jdbc4-patched-play-1.2.3
8,com.google.code.maven-play-plugin.org.playframework:play:1.3.2,com.google.code.maven-play-plugin.org.playframework:play:1.3.2;org.ow2.asm:asm-all:5.0.4;com.mchange:c3p0:0.9.5;com.mchange:mchange-commons-java:0.2.9;com.google.code.maven-play-plugin.com.mchange:c3p0-oracle-thin-extras:0.9.5;cglib:cglib:3.1;com.google.code.gson:gson:2.3.1;com.h2database:h2:1.4.185;com.ning:async-http-client:1.8.16;com.thoughtworks.xstream:xstream:1.4.7;xmlpull:xmlpull:1.1.3.1;commons-beanutils:commons-beanutils:1.8.3;commons-codec:commons-codec:1.10;commons-collections:commons-collections:3.2.1;org.apache.commons:commons-email:1.3.3;commons-fileupload:commons-fileupload:1.3.1;commons-io:commons-io:2.4;commons-lang:commons-lang:2.6;commons-logging:commons-logging:1.2;com.jamonapi:jamon:2.81;dom4j:dom4j:1.6.1;org.javassist:javassist:3.19.0-GA;javax.activation:activation:1.1.1;javax.inject:javax.inject:1;javax.mail:mail:1.4.7;jaxen:jaxen:1.1.6;joda-time:joda-time:2.8.2;junit:junit:4.12;org.hamcrest:hamcrest-core:1.3;log4j:log4j:1.2.17;mysql:mysql-connector-java:5.1.35;net.sf.ehcache:ehcache-core:2.6.11;net.sf.ezmorph:ezmorph:1.0.6;net.sf.jsr107cache:jsr107cache:1.0;net.sf.oval:oval:1.84;net.sourceforge.jregex:jregex:1.2_01;net.spy:spymemcached:2.11.7;oauth.signpost:signpost-core:1.2.1.2;org.apache.ivy:ivy:2.4.0;org.bouncycastle:bcprov-jdk15:1.45;org.codehaus.groovy:groovy-all:2.3.9;org.hibernate:hibernate-c3p0:4.2.19.Final;org.jboss.logging:jboss-logging:3.1.0.GA;org.hibernate:hibernate-entitymanager:4.2.19.Final;org.hibernate.common:hibernate-commons-annotations:4.0.2.Final;org.hibernate:hibernate-validator:4.1.0.Final;javax.validation:validation-api:1.0.0.GA;org.hibernate.javax.persistence:hibernate-jpa-2.0-api:1.0.1.Final;org.jboss.spec.javax.transaction:jboss-transaction-api_1.1_spec:1.0.1.Final;io.netty:netty:3.9.8.Final;org.slf4j:slf4j-api:1.7.10;org.slf4j:slf4j-log4j12:1.7.10;org.yaml:snakeyaml:1.15;com.google.code.maven-play-plugin.org.apache.commons:commons-javaflow:1590792-patched-play-1.3.0;com.google.code.maven-play-plugin.org.eclipse.jdt:org.eclipse.jdt.core:3.10.0.v20140604-1726;com.google.code.maven-play-plugin.org.hibernate:hibernate-core:4.2.19.Final-patched-play-1.3.2;antlr:antlr:2.7.7;com.google.code.maven-play-plugin.org.playframework:jj-imaging:1.1;com.google.code.maven-play-plugin.org.playframework:jj-simplecaptcha:1.1;com.google.code.maven-play-plugin.org.playframework:jj-textile:1.1;com.google.code.maven-play-plugin.org.playframework:jj-wikitext:1.1;com.google.code.maven-play-plugin.postgresql:postgresql:9.0-801.jdbc4-patched-play-1.2.3
9,org.digidoc4j:digidoc4j:1.0.8.beta.2,org.digidoc4j:digidoc4j:1.0.8.beta.2;ee.sk.digidoc:jdigidoc:3.12.1;commons-cli:commons-cli:1.4;org.apache.commons:commons-compress:1.3;commons-io:commons-io:2.5;commons-codec:commons-codec:1.10;org.apache.commons:commons-lang3:3.6;commons-logging:commons-logging:1.2;org.apache.commons:commons-collections4:4.1;org.apache.httpcomponents:httpclient:4.5.3;org.apache.httpcomponents:httpcore:4.4.6;org.apache.santuario:xmlsec:2.0.9;org.bouncycastle:bcmail-jdk15on:1.54;org.bouncycastle:bcpkix-jdk15on:1.54;org.bouncycastle:bcprov-jdk15on:1.54;xalan:serializer:2.7.2;xalan:xalan:2.7.2;org.yaml:snakeyaml:1.18;org.slf4j:slf4j-api:1.7.25;ch.qos.logback:logback-classic:1.2.3;ch.qos.logback:logback-core:1.2.3;org.slf4j:log4j-over-slf4j:1.7.25;com.google.guava:guava:20.0;org.apache.pdfbox:pdfbox:2.0.8;org.apache.pdfbox:fontbox:2.0.8;log4j:log4j:1.2.17;org.digidoc4j.dss:dss-common-validation-jaxb:5.1.d4j.5;org.digidoc4j.dss:dss-detailed-report-jaxb:5.1.d4j.5;org.digidoc4j.dss:dss-diagnostic-jaxb:5.1.d4j.5;org.digidoc4j.dss:dss-document:5.1.d4j.5;org.digidoc4j.dss:dss-model:5.1.d4j.5;org.digidoc4j.dss:dss-policy-jaxb:5.1.d4j.5;org.digidoc4j.dss:dss-reports:5.1.d4j.5;org.digidoc4j.dss:dss-service:5.1.d4j.5;org.slf4j:jcl-over-slf4j:1.7.25;org.digidoc4j.dss:dss-simple-report-jaxb:5.1.d4j.5;org.digidoc4j.dss:dss-spi:5.1.d4j.5;org.digidoc4j.dss:dss-token:5.1.d4j.5;org.digidoc4j.dss:dss-tsl-jaxb:5.1.d4j.5;org.digidoc4j.dss:dss-tsl-validation:5.1.d4j.5;org.digidoc4j.dss:dss-xades:5.1.d4j.5;org.digidoc4j.dss:dss-cades:5.1.d4j.5;org.digidoc4j.dss:validation-policy:5.1.d4j.5;org.digidoc4j.dss:dss-asic-common:5.1.d4j.5;org.digidoc4j.dss:dss-asic-cades:5.1.d4j.5;org.digidoc4j.dss:dss-asic-xades:5.1.d4j.5;org.digidoc4j.dss:dss-pades:5.1.d4j.5;org.digidoc4j.dss:dss-utils:5.1.d4j.5;org.digidoc4j.dss:dss-utils-apache-commons:5.1.d4j.5;org.digidoc4j.dss:dss-utils-google-guava:5.1.d4j.5
