number,coordinate,dependencies
0,com.englishtown.vertx:vertx-mail-service:2.4.0,com.englishtown.vertx:vertx-mail-service:2.4.0;com.englishtown.vertx:vertx-hk2:2.4.0;org.glassfish.hk2:hk2-api:2.4.0-b34;javax.inject:javax.inject:1;org.glassfish.hk2:hk2-utils:2.4.0-b34;org.glassfish.hk2.external:aopalliance-repackaged:2.4.0-b34;org.glassfish.hk2:hk2-locator:2.4.0-b34;org.glassfish.hk2.external:javax.inject:2.4.0-b34;org.javassist:javassist:3.18.1-GA;io.vertx:vertx-service-proxy:3.3.0;io.vertx:vertx-lang-js:3.3.0;com.sun.mail:javax.mail:1.6.0;javax.activation:activation:1.1;io.vertx:vertx-core:3.3.0;io.netty:netty-common:4.1.1.Final;io.netty:netty-buffer:4.1.1.Final;io.netty:netty-transport:4.1.1.Final;io.netty:netty-handler:4.1.1.Final;io.netty:netty-codec:4.1.1.Final;io.netty:netty-handler-proxy:4.1.1.Final;io.netty:netty-codec-socks:4.1.1.Final;io.netty:netty-codec-http:4.1.1.Final;io.netty:netty-codec-http2:4.1.1.Final;io.netty:netty-resolver:4.1.1.Final;io.netty:netty-resolver-dns:4.1.1.Final;io.netty:netty-codec-dns:4.1.1.Final;com.fasterxml.jackson.core:jackson-core:2.7.4;com.fasterxml.jackson.core:jackson-databind:2.7.4;com.fasterxml.jackson.core:jackson-annotations:2.7.0
1,cc.redberry:physics:1.1-RC0,cc.redberry:physics:1.1-RC0;cc.redberry:core:1.1-RC0;org.apache.commons:commons-math3:3.0;net.sf.trove4j:trove4j:3.0.3
2,com.github.a64adam:ulti:1.2.0,com.github.a64adam:ulti:1.2.0;com.google.guava:guava:17.0;com.squareup.okhttp:okhttp:2.0.0;com.squareup.okio:okio:1.0.0;com.google.code.gson:gson:2.2.4
3,com.feedzai:pdb:2.2.1,com.feedzai:pdb:2.2.1;com.google.guava:guava:18.0;org.slf4j:slf4j-api:1.7.25;org.apache.commons:commons-lang3:3.7;commons-codec:commons-codec:1.10;com.google.inject:guice:4.1.0;javax.inject:javax.inject:1;aopalliance:aopalliance:1.0
4,com.droidkit:actors:0.6.1,com.droidkit:actors:0.6.1
5,com.fizzed:jne:3.0.0,com.fizzed:jne:3.0.0;org.slf4j:slf4j-api:1.7.13
6,ch.abertschi.sct:service-call-tracker-api:0.1.0-alpha8,ch.abertschi.sct:service-call-tracker-api:0.1.0-alpha8
7,com.fizzed:stork-core:2.6.1,com.fizzed:stork-core:2.6.1;org.slf4j:slf4j-api:1.7.21
8,com.github.hazendaz:displaytag:2.1.7,com.github.hazendaz:displaytag:2.1.7;org.apache.commons:commons-lang3:3.7;org.apache.commons:commons-text:1.1;commons-beanutils:commons-beanutils:1.9.3;commons-collections:commons-collections:3.2.2;commons-io:commons-io:2.6;org.slf4j:slf4j-api:1.7.25;org.slf4j:jcl-over-slf4j:1.7.25;javax.servlet.jsp.jstl:javax.servlet.jsp.jstl-api:1.2.1;org.glassfish.web:javax.servlet.jsp.jstl:1.2.5-b03
9,com.google.apis:google-api-services-healthcare:v1alpha-rev20190204-1.28.0,com.google.apis:google-api-services-healthcare:v1alpha-rev20190204-1.28.0;com.google.api-client:google-api-client:1.28.0;com.google.oauth-client:google-oauth-client:1.28.0;com.google.http-client:google-http-client:1.28.0;io.opencensus:opencensus-api:0.18.0;io.grpc:grpc-context:1.14.0;io.opencensus:opencensus-contrib-http-util:0.18.0;com.google.code.findbugs:jsr305:3.0.2;com.google.http-client:google-http-client-jackson2:1.28.0;com.fasterxml.jackson.core:jackson-core:2.9.6;com.google.http-client:google-http-client-apache:2.0.0;org.apache.httpcomponents:httpclient:4.5.5;org.apache.httpcomponents:httpcore:4.4.9;commons-logging:commons-logging:1.2;commons-codec:commons-codec:1.10;com.google.guava:guava:26.0-android;org.checkerframework:checker-compat-qual:2.5.2;com.google.errorprone:error_prone_annotations:2.1.3;com.google.j2objc:j2objc-annotations:1.1;org.codehaus.mojo:animal-sniffer-annotations:1.14
