number,coordinate,dependencies
0,io.hawt:hawtio-dozer:1.4.41,io.hawt:hawtio-dozer:1.4.41;org.slf4j:slf4j-api:1.6.6;io.hawt:hawtio-core:1.4.41;io.hawt:hawtio-util:1.4.41;io.hawt:hawtio-json-schema-mbean:1.4.41;javax.validation:validation-api:1.1.0.Final;com.fasterxml.jackson.module:jackson-module-jaxb-annotations:2.4.1;com.fasterxml.jackson.core:jackson-databind:2.4.1;com.fasterxml.jackson.core:jackson-annotations:2.4.1;com.fasterxml.jackson.core:jackson-core:2.4.1;com.fasterxml.jackson.module:jackson-module-jsonSchema:2.4.1;net.sf.dozer:dozer:5.5.1;commons-beanutils:commons-beanutils:1.9.1;commons-collections:commons-collections:3.2.1;org.apache.commons:commons-lang3:3.2.1;org.slf4j:jcl-over-slf4j:1.7.5;org.apache.aries.blueprint:org.apache.aries.blueprint.web:1.0.0;org.apache.aries.blueprint:org.apache.aries.blueprint.noosgi:1.0.0
1,io.hawt:hawtio-dozer:1.4.21,io.hawt:hawtio-dozer:1.4.21;org.slf4j:slf4j-api:1.6.6;io.hawt:hawtio-core:1.4.21;io.hawt:hawtio-util:1.4.21;io.hawt:hawtio-json-schema-mbean:1.4.21;javax.validation:validation-api:1.1.0.Final;com.fasterxml.jackson.module:jackson-module-jaxb-annotations:2.4.1;com.fasterxml.jackson.core:jackson-databind:2.4.1;com.fasterxml.jackson.core:jackson-annotations:2.4.1;com.fasterxml.jackson.core:jackson-core:2.4.1;com.fasterxml.jackson.module:jackson-module-jsonSchema:2.4.1;net.sf.dozer:dozer:5.5.1;commons-beanutils:commons-beanutils:1.9.1;commons-collections:commons-collections:3.2.1;org.apache.commons:commons-lang3:3.2.1;org.slf4j:jcl-over-slf4j:1.7.5;org.apache.aries.blueprint:org.apache.aries.blueprint.web:1.0.0;org.apache.aries.blueprint:org.apache.aries.blueprint.noosgi:1.0.0
2,io.hawt:hawtio-dozer:1.4.45,io.hawt:hawtio-dozer:1.4.45;org.slf4j:slf4j-api:1.7.10;io.hawt:hawtio-core:1.4.45;io.hawt:hawtio-util:1.4.45;io.hawt:hawtio-json-schema-mbean:1.4.45;javax.validation:validation-api:1.1.0.Final;com.fasterxml.jackson.module:jackson-module-jaxb-annotations:2.4.1;com.fasterxml.jackson.core:jackson-databind:2.4.1;com.fasterxml.jackson.core:jackson-annotations:2.4.1;com.fasterxml.jackson.core:jackson-core:2.4.1;com.fasterxml.jackson.module:jackson-module-jsonSchema:2.4.1;net.sf.dozer:dozer:5.5.1;commons-beanutils:commons-beanutils:1.9.1;commons-collections:commons-collections:3.2.1;org.apache.commons:commons-lang3:3.2.1;org.slf4j:jcl-over-slf4j:1.7.5;org.apache.aries.blueprint:org.apache.aries.blueprint.web:1.0.0;org.apache.aries.blueprint:org.apache.aries.blueprint.noosgi:1.0.0
3,org.infinispan:infinispan-core:8.2.0.Beta2,org.infinispan:infinispan-core:8.2.0.Beta2;org.infinispan:infinispan-commons:8.2.0.Beta2;org.jgroups:jgroups:3.6.7.Final;org.jboss.spec.javax.transaction:jboss-transaction-api_1.1_spec:1.0.1.Final;org.jboss.marshalling:jboss-marshalling-osgi:1.4.10.Final;org.jboss.logging:jboss-logging:3.3.0.Final
4,net.sourceforge.pmd:pmd-objectivec:5.5.3,net.sourceforge.pmd:pmd-objectivec:5.5.3;net.sourceforge.pmd:pmd-core:5.5.3;com.beust:jcommander:1.48;commons-io:commons-io:2.4;jaxen:jaxen:1.1.6;net.java.dev.javacc:javacc:5.0;net.sourceforge.saxon:saxon:9.1.0.8;org.apache.commons:commons-lang3:3.4;org.ow2.asm:asm:5.0.4;com.google.code.gson:gson:2.5;net.sourceforge.saxon:saxon:9.1.0.8
5,net.sourceforge.pmd:pmd-objectivec:5.4.6,net.sourceforge.pmd:pmd-objectivec:5.4.6;net.sourceforge.pmd:pmd-core:5.4.6;com.beust:jcommander:1.48;commons-io:commons-io:2.4;jaxen:jaxen:1.1.6;net.java.dev.javacc:javacc:5.0;net.sourceforge.saxon:saxon:9.1.0.8;org.apache.commons:commons-lang3:3.4;org.ow2.asm:asm:5.0.4;com.google.code.gson:gson:2.5;net.sourceforge.saxon:saxon:9.1.0.8
6,net.sourceforge.pmd:pmd-objectivec:6.5.0,net.sourceforge.pmd:pmd-objectivec:6.5.0;net.sourceforge.pmd:pmd-core:6.5.0;com.beust:jcommander:1.48;net.java.dev.javacc:javacc:5.0;net.sourceforge.saxon:saxon:9.1.0.8;org.apache.commons:commons-lang3:3.7;org.ow2.asm:asm:6.1.1;com.google.code.gson:gson:2.5;net.sourceforge.saxon:saxon:9.1.0.8;commons-io:commons-io:2.4
7,net.sourceforge.pmd:pmd-objectivec:5.3.5,net.sourceforge.pmd:pmd-objectivec:5.3.5;net.sourceforge.pmd:pmd-core:5.3.5;com.beust:jcommander:1.35;commons-io:commons-io:2.4;jaxen:jaxen:1.1.4;net.java.dev.javacc:javacc:5.0;net.sourceforge.saxon:saxon:9.1.0.8;org.apache.commons:commons-lang3:3.3.2;org.ow2.asm:asm:5.0.3;net.sourceforge.saxon:saxon:9.1.0.8
8,org.infinispan:infinispan-core:7.2.2.Final,org.infinispan:infinispan-core:7.2.2.Final;org.infinispan:infinispan-commons:7.2.2.Final;org.jgroups:jgroups:3.6.2.Final;org.jboss.spec.javax.transaction:jboss-transaction-api_1.1_spec:1.0.1.Final;org.jboss.marshalling:jboss-marshalling-osgi:1.4.10.Final;org.jboss.logging:jboss-logging:3.1.4.GA
9,org.infinispan:infinispan-core:7.1.0.Alpha1,org.infinispan:infinispan-core:7.1.0.Alpha1;org.infinispan:infinispan-commons:7.1.0.Alpha1;org.jgroups:jgroups:3.6.0.Final;org.jboss.spec.javax.transaction:jboss-transaction-api_1.1_spec:1.0.1.Final;org.jboss.marshalling:jboss-marshalling-osgi:1.4.4.Final;org.jboss.logging:jboss-logging:3.1.2.GA
