package_name,version
io.github.vigoo:zio-aws-ses_2.13,3.15.38.1
com.facebook.presto:presto-kudu,0.243.2
org.factcast:factcast-store-pgsql-rds,0.3.5
com.google.api.grpc:grpc-google-cloud-redis-v1,0.76.0
com.lihaoyi:ujson-play_2.13,1.3.8
com.amazonaws:aws-java-sdk-iotjobsdataplane,1.11.898
com.toast.android.gamebase:gamebase-adapter-purchase-ongate,2.8.0
org.noear:solon.socketd.client.websocket,1.2.15
com.guicedee.persistence:guiced-persistence,1.0.19.13
io.janstenpickle:trace4cats-sttp-common_2.13,0.9.0+2-1e595df5
software.amazon.awssdk:databrew,2.15.27
software.amazon.awssdk:rds,2.16.13
org.opendaylight.infrautils:jobcoordinator-impl,1.8.1
com.toast.android:toast-unity-logger,0.10.0-rc0
com.aliyun.schedulerx:schedulerx2-spring-boot-starter,1.2.2.2
systems.manifold:manifold-json,2021.1.2
com.liferay.commerce:com.liferay.commerce.cart.content.web,3.0.14
io.github.vigoo:zio-aws-wafregional_2.12,3.15.50.2
org.wso2.carbon.identity.framework:org.wso2.carbon.identity.workflow.mgt,5.18.79
io.quarkus:quarkus-azure-functions-http-deployment,1.7.5.Final
com.yahoo.vespa:standalone-container,7.340.22
io.github.fomin.oas-gen:oas-gen-java-url-utils,0.0.37
org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.throttling.siddhi.extension,6.8.101
software.amazon.awssdk:appflow,2.15.23
org.sdase.commons:sda-commons-shared-tracing,2.9.0
com.ardikars.pcap:pcap-tests,1.0.7
org.wso2.carbon.identity.framework:org.wso2.carbon.identity.functions.library.mgt.stub,5.19.14
com.qaprosoft:carina-appcenter,6.4.43
nl.bryanderidder:themed-toggle-button-group,1.0.1
software.amazon.awssdk:iot,2.15.32
org.wso2.identity.apps:sms-otp-authentication-portal,1.1.83
io.quarkus:quarkus-bootstrap-maven-plugin,1.8.0.CR1
software.amazon.awssdk:neptune,2.15.43
com.google.cloud:google-cloud-logging-logback,0.97.0-alpha
io.janstenpickle:trace4cats-fs2_2.13,0.6.0+47-b6122636
org.jboss.windup.decompiler:decompiler-procyon,5.1.3.Alpha1
us.fatehi:schemacrawler-api,16.11.4
io.github.vigoo:zio-aws-elasticinference_2.13,3.15.68.2
me.shadaj:slinky-testrenderer_sjs1_2.13,0.6.6+4-7d07b9a5
com.google.cloud:google-cloud-automl,1.2.1
com.liferay:com.liferay.configuration.admin.web,1.0.84
com.guicedee.servlets:guiced-websockets,1.0.19.9
com.facebook.presto:presto-spark-testing,0.242
io.micronaut:micronaut-multitenancy,2.0.3
io.github.vigoo:zio-aws-organizations_2.12,3.15.42.12
com.github.fmjsjx:libcommon-json-jsoniter,1.0.0.Final
org.sdase.commons:sda-commons-server-openapi,2.25.1
org.wso2.carbon.identity.server.api:org.wso2.carbon.identity.rest.api.server.workflow.engine.v1,1.0.198
io.github.vigoo:zio-aws-migrationhub_2.12,3.15.48.1
com.testerum:project-manager,5.2.1
org.wso2.carbon.identity.framework:org.wso2.carbon.identity.application.mgt.server.feature,5.18.168
com.tencentcloudapi:tencentcloud-sdk-java-tic,3.1.179
io.taig:taigless-hashing_2.13,0.2.6
org.kie.workbench:kie-wb-common-ala-openshift,7.45.0.Final
io.quarkus:quarkus-hibernate-orm-deployment,1.11.2.Final
com.google.api.grpc:proto-google-cloud-firestore-v1,1.32.5
io.mantisrx:mantis-examples-synthetic-sourcejob,1.3.22
com.backbase.oss:boat-quay-lint,0.11.2
org.wso2.carbon.identity.framework:org.wso2.carbon.identity.application.default.auth.sequence.mgt.stub,5.18.104
com.bybutter.sisyphus.middleware:sisyphus-hbase,1.0.2
io.github.vigoo:zio-aws-pinpointsmsvoice_2.12,3.15.63.1
org.http4s:http4s-blaze-server_2.12,1.0.0-M5
org.wso2.carbon.identity.framework:org.wso2.carbon.identity.configuration.mgt.server.feature,5.18.110
com.google.cloud:google-cloud-bigtable-emulator,0.130.0
com.google.api.grpc:proto-google-cloud-bigtable-admin-v2,1.12.1
io.mantisrx:mantis-connector-publish,1.3.21
org.wso2.carbon.apimgt:apimgt-stubs,6.8.226
org.infrastructurebuilder:ibexceptions,27
org.wso2.carbon.identity.framework:user-functionality-mgt-feature,5.19.45
software.amazon.awssdk:computeoptimizer,2.15.22
software.amazon.awscdk:fsx,1.75.0
org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.hybrid.gateway.rest.api,6.8.32
org.eclipse.jetty.fcgi:fcgi-client,11.0.0.beta3
io.fabric8:kubernetes-client,4.7.2
org.scala-lang:scala3-library_sjs1_3.0.0-M1,3.0.0-M1-bin-20201019-8225502-NIGHTLY
de.inetsoftware:pdfcjunit,20.10.246
org.wso2.carbon.identity.framework:org.wso2.carbon.identity.template.mgt,5.18.219
software.amazon.awssdk:codegen-lite-maven-plugin,2.14.9
org.wso2.carbon.identity.framework:org.wso2.carbon.identity.user.profile.stub,5.20.5
com.oracle.oci.sdk:oci-java-sdk-filestorage,1.23.0
org.drools:drools-workbench-models-datamodel-api,7.46.0.Final
com.liferay.commerce:com.liferay.headless.commerce.admin.pricing.impl,3.0.1
com.applitools:eyes-connectivity-java3-jboss,3.184.0
com.google.api.grpc:proto-google-cloud-bigquerystorage-v1,1.0.0
software.amazon.awssdk:lookoutvision,2.15.66
org.uberfire:uberfire-security-api,7.45.0.t20201014
com.softwaremill.sttp.tapir:tapir-play-server_2.12,0.17.0-M10
com.yahoo.vespa.hosted:vespa-testrunner-components,7.362.70
org.opencastproject:opencast-userdirectory-ldap,8.8
org.apereo.cas:cas-server-support-sms-twilio,6.3.3
com.lightbend.cloudflow:cloudflow-operator-actions_2.13,2.0.23-NIGHTLY20210214
io.github.vigoo:zio-aws-pi_2.13,3.15.35.1
com.tencentcloudapi:tencentcloud-sdk-java-cws,3.1.206
org.wso2.carbon.apimgt:org.wso2.apimgt.keymanager.category.feature,9.0.49
org.wvlet.airframe:airframe-rx-widget_sjs1_2.12,21.3.1
software.amazon.awssdk:cloudfront,2.15.36
