number,coordinate,occurrence,isolatedRevisionTime,internalNodes,externalNodes,internalEdges,externalEdges
0,org.digidoc4j.dss:dss-tsl-jaxb:5.0.d4j.5,1,57,890,10,121,328
1,org.digidoc4j.dss:dss-utils:5.0.d4j.3,1,15,64,3,0,3
2,org.digidoc4j.dss:dss-service:5.0.d4j.3,1,56,209,329,333,652
3,org.digidoc4j.dss:dss-xades:5.0.d4j.4,1,99,388,480,453,1562
4,io.scalajs.npm:csvtojson_sjs0.6_2.11:1.1.4-3,1,17,81,38,23,53
5,org.digidoc4j.dss:dss-policy-jaxb:5.0.d4j.3,1,19,260,7,27,25
6,org.digidoc4j.dss:dss-asic-common:5.0.d4j.3,1,26,96,86,53,189
7,org.digidoc4j.dss:dss-common-validation-jaxb:5.0.d4j.4,1,16,35,21,13,34
8,org.apache.commons:commons-compress:1.3,3,205,1139,354,1994,1341
9,org.digidoc4j:digidoc4j:1.0.7.2,1,198,1437,819,1770,3359
10,org.digidoc4j.dss:dss-utils:5.0.d4j.4,1,13,64,3,0,3
11,org.digidoc4j.dss:dss-token:5.0.d4j.5,1,18,43,79,31,131
12,org.digidoc4j.dss:dss-tsl-jaxb:5.0.d4j.4,1,59,890,10,121,328
13,org.digidoc4j.dss:dss-xades:5.0.d4j.5,1,98,388,480,453,1562
14,org.digidoc4j.dss:dss-service:5.0.d4j.4,1,55,209,329,333,652
15,ch.qos.logback:logback-core:1.2.3,3,251,2201,680,2727,2755
16,org.digidoc4j.dss:dss-common-validation-jaxb:5.0.d4j.5,1,17,35,21,13,34
17,org.digidoc4j.dss:dss-diagnostic-jaxb:5.0.d4j.3,1,30,397,5,27,65
18,io.scalajs:nodejs_sjs0.6_2.11:0.3.0.7,1,280,5075,200,2237,1808
19,org.digidoc4j.dss:dss-reports:5.0.d4j.3,1,43,319,223,258,554
20,ch.qos.logback:logback-classic:1.2.3,3,256,1238,687,1161,2114
21,org.digidoc4j.dss:dss-utils:5.0.d4j.5,1,14,64,3,0,3
22,org.digidoc4j.dss:dss-asic-xades:5.0.d4j.5,1,21,74,108,69,171
23,org.bouncycastle:bcmail-jdk15on:1.54,3,82,315,427,326,1345
24,org.digidoc4j.dss:dss-detailed-report-jaxb:5.0.d4j.4,1,20,169,16,54,36
25,org.slf4j:log4j-over-slf4j:1.7.25,3,25,194,40,60,123
26,org.digidoc4j:digidoc4j:1.0.7.beta.2,1,168,1419,798,1719,3285
27,org.apache.httpcomponents:httpcore:4.4.6,3,187,1661,342,2882,1390
28,org.digidoc4j.dss:dss-tsl-validation:5.0.d4j.5,1,41,185,226,214,499
29,ee.sk.digidoc:jdigidoc:3.12.1,3,968,1621,543,3551,4190
30,org.digidoc4j.dss:dss-detailed-report-jaxb:5.0.d4j.3,1,19,169,16,54,36
31,org.apache.commons:commons-collections4:4.1,3,730,4607,412,70337,3947
32,org.digidoc4j.dss:dss-common-validation-jaxb:5.0.d4j.3,1,13,35,21,13,34
33,org.apache.commons:commons-lang3:3.6,3,560,3432,711,6070,3982
34,xalan:xalan:2.7.2,3,2506,13058,1403,54407,13509
35,org.yaml:snakeyaml:1.18,3,173,1025,327,2687,1727
36,commons-io:commons-io:2.5,3,188,1294,416,2226,1897
37,org.digidoc4j.dss:dss-model:5.0.d4j.3,1,67,516,135,213,486
