number,rootCoordinate,artifact,mergeTime,internalNodes,externalNodes,internalEdges,externalEdges,resolvedNodes,resolvedEdges,dependencies
0,io.arrow-kt:arrow-test:0.8.2,io.arrow-kt:arrow-test:0.8.2,112,2691,125,20053,2079,1236,2634,io.arrow-kt:arrow-data:0.8.2;io.arrow-kt:arrow-annotations:0.8.2;io.kindedj:kindedj:1.1.0;io.arrow-kt:arrow-typeclasses:0.8.2;io.arrow-kt:arrow-core:0.8.2;io.arrow-kt:arrow-optics:0.8.2;io.arrow-kt:arrow-effects:0.8.2;io.arrow-kt:arrow-mtl:0.8.2;io.arrow-kt:arrow-free:0.8.2;io.arrow-kt:arrow-instances-core:0.8.2;io.arrow-kt:arrow-instances-data:0.8.2;io.arrow-kt:arrow-effects-instances:0.8.2;io.arrow-kt:arrow-recursion:0.8.2;org.jetbrains.kotlin:kotlin-stdlib-jdk7:1.3.11;org.jetbrains.kotlin:kotlin-stdlib:1.3.11;org.jetbrains.kotlin:kotlin-stdlib-common:1.3.11;org.jetbrains:annotations:13.0;org.jetbrains.kotlinx:kotlinx-coroutines-core:1.1.0;org.jetbrains.kotlinx:kotlinx-coroutines-core-common:1.1.0;io.kotlintest:kotlintest:2.0.7;junit:junit:4.12;org.hamcrest:hamcrest-core:1.3;org.jetbrains.kotlin:kotlin-reflect:1.1.51;org.mockito:mockito-core:2.7.11;net.bytebuddy:byte-buddy:1.6.5;net.bytebuddy:byte-buddy-agent:1.6.5;org.objenesis:objenesis:2.5;org.reflections:reflections:0.9.11;com.google.guava:guava:20.0;org.javassist:javassist:3.21.0-GA
1,io.arrow-kt:arrow-test:0.8.2,io.arrow-kt:arrow-data:0.8.2,503,1636,67,27249,1277,1157,14621,io.arrow-kt:arrow-test:0.8.2;io.arrow-kt:arrow-annotations:0.8.2;io.kindedj:kindedj:1.1.0;io.arrow-kt:arrow-typeclasses:0.8.2;io.arrow-kt:arrow-core:0.8.2;io.arrow-kt:arrow-optics:0.8.2;io.arrow-kt:arrow-effects:0.8.2;io.arrow-kt:arrow-mtl:0.8.2;io.arrow-kt:arrow-free:0.8.2;io.arrow-kt:arrow-instances-core:0.8.2;io.arrow-kt:arrow-instances-data:0.8.2;io.arrow-kt:arrow-effects-instances:0.8.2;io.arrow-kt:arrow-recursion:0.8.2;org.jetbrains.kotlin:kotlin-stdlib-jdk7:1.3.11;org.jetbrains.kotlin:kotlin-stdlib:1.3.11;org.jetbrains.kotlin:kotlin-stdlib-common:1.3.11;org.jetbrains:annotations:13.0;org.jetbrains.kotlinx:kotlinx-coroutines-core:1.1.0;org.jetbrains.kotlinx:kotlinx-coroutines-core-common:1.1.0;io.kotlintest:kotlintest:2.0.7;junit:junit:4.12;org.hamcrest:hamcrest-core:1.3;org.jetbrains.kotlin:kotlin-reflect:1.1.51;org.mockito:mockito-core:2.7.11;net.bytebuddy:byte-buddy:1.6.5;net.bytebuddy:byte-buddy-agent:1.6.5;org.objenesis:objenesis:2.5;org.reflections:reflections:0.9.11;com.google.guava:guava:20.0;org.javassist:javassist:3.21.0-GA
2,io.arrow-kt:arrow-test:0.8.2,io.arrow-kt:arrow-annotations:0.8.2,0,6,3,1,3,0,0,io.arrow-kt:arrow-test:0.8.2;io.arrow-kt:arrow-data:0.8.2;io.kindedj:kindedj:1.1.0;io.arrow-kt:arrow-typeclasses:0.8.2;io.arrow-kt:arrow-core:0.8.2;io.arrow-kt:arrow-optics:0.8.2;io.arrow-kt:arrow-effects:0.8.2;io.arrow-kt:arrow-mtl:0.8.2;io.arrow-kt:arrow-free:0.8.2;io.arrow-kt:arrow-instances-core:0.8.2;io.arrow-kt:arrow-instances-data:0.8.2;io.arrow-kt:arrow-effects-instances:0.8.2;io.arrow-kt:arrow-recursion:0.8.2;org.jetbrains.kotlin:kotlin-stdlib-jdk7:1.3.11;org.jetbrains.kotlin:kotlin-stdlib:1.3.11;org.jetbrains.kotlin:kotlin-stdlib-common:1.3.11;org.jetbrains:annotations:13.0;org.jetbrains.kotlinx:kotlinx-coroutines-core:1.1.0;org.jetbrains.kotlinx:kotlinx-coroutines-core-common:1.1.0;io.kotlintest:kotlintest:2.0.7;junit:junit:4.12;org.hamcrest:hamcrest-core:1.3;org.jetbrains.kotlin:kotlin-reflect:1.1.51;org.mockito:mockito-core:2.7.11;net.bytebuddy:byte-buddy:1.6.5;net.bytebuddy:byte-buddy-agent:1.6.5;org.objenesis:objenesis:2.5;org.reflections:reflections:0.9.11;com.google.guava:guava:20.0;org.javassist:javassist:3.21.0-GA
3,io.arrow-kt:arrow-test:0.8.2,io.kindedj:kindedj:1.1.0,0,9,0,0,0,0,0,io.arrow-kt:arrow-test:0.8.2;io.arrow-kt:arrow-data:0.8.2;io.arrow-kt:arrow-annotations:0.8.2;io.arrow-kt:arrow-typeclasses:0.8.2;io.arrow-kt:arrow-core:0.8.2;io.arrow-kt:arrow-optics:0.8.2;io.arrow-kt:arrow-effects:0.8.2;io.arrow-kt:arrow-mtl:0.8.2;io.arrow-kt:arrow-free:0.8.2;io.arrow-kt:arrow-instances-core:0.8.2;io.arrow-kt:arrow-instances-data:0.8.2;io.arrow-kt:arrow-effects-instances:0.8.2;io.arrow-kt:arrow-recursion:0.8.2;org.jetbrains.kotlin:kotlin-stdlib-jdk7:1.3.11;org.jetbrains.kotlin:kotlin-stdlib:1.3.11;org.jetbrains.kotlin:kotlin-stdlib-common:1.3.11;org.jetbrains:annotations:13.0;org.jetbrains.kotlinx:kotlinx-coroutines-core:1.1.0;org.jetbrains.kotlinx:kotlinx-coroutines-core-common:1.1.0;io.kotlintest:kotlintest:2.0.7;junit:junit:4.12;org.hamcrest:hamcrest-core:1.3;org.jetbrains.kotlin:kotlin-reflect:1.1.51;org.mockito:mockito-core:2.7.11;net.bytebuddy:byte-buddy:1.6.5;net.bytebuddy:byte-buddy-agent:1.6.5;org.objenesis:objenesis:2.5;org.reflections:reflections:0.9.11;com.google.guava:guava:20.0;org.javassist:javassist:3.21.0-GA
4,io.arrow-kt:arrow-test:0.8.2,io.arrow-kt:arrow-typeclasses:0.8.2,70,2120,55,5334,1372,1176,2448,io.arrow-kt:arrow-test:0.8.2;io.arrow-kt:arrow-data:0.8.2;io.arrow-kt:arrow-annotations:0.8.2;io.kindedj:kindedj:1.1.0;io.arrow-kt:arrow-core:0.8.2;io.arrow-kt:arrow-optics:0.8.2;io.arrow-kt:arrow-effects:0.8.2;io.arrow-kt:arrow-mtl:0.8.2;io.arrow-kt:arrow-free:0.8.2;io.arrow-kt:arrow-instances-core:0.8.2;io.arrow-kt:arrow-instances-data:0.8.2;io.arrow-kt:arrow-effects-instances:0.8.2;io.arrow-kt:arrow-recursion:0.8.2;org.jetbrains.kotlin:kotlin-stdlib-jdk7:1.3.11;org.jetbrains.kotlin:kotlin-stdlib:1.3.11;org.jetbrains.kotlin:kotlin-stdlib-common:1.3.11;org.jetbrains:annotations:13.0;org.jetbrains.kotlinx:kotlinx-coroutines-core:1.1.0;org.jetbrains.kotlinx:kotlinx-coroutines-core-common:1.1.0;io.kotlintest:kotlintest:2.0.7;junit:junit:4.12;org.hamcrest:hamcrest-core:1.3;org.jetbrains.kotlin:kotlin-reflect:1.1.51;org.mockito:mockito-core:2.7.11;net.bytebuddy:byte-buddy:1.6.5;net.bytebuddy:byte-buddy-agent:1.6.5;org.objenesis:objenesis:2.5;org.reflections:reflections:0.9.11;com.google.guava:guava:20.0;org.javassist:javassist:3.21.0-GA
5,io.arrow-kt:arrow-test:0.8.2,io.arrow-kt:arrow-core:0.8.2,2081,1372,33,3929,556,1138,36340,io.arrow-kt:arrow-test:0.8.2;io.arrow-kt:arrow-data:0.8.2;io.arrow-kt:arrow-annotations:0.8.2;io.kindedj:kindedj:1.1.0;io.arrow-kt:arrow-typeclasses:0.8.2;io.arrow-kt:arrow-optics:0.8.2;io.arrow-kt:arrow-effects:0.8.2;io.arrow-kt:arrow-mtl:0.8.2;io.arrow-kt:arrow-free:0.8.2;io.arrow-kt:arrow-instances-core:0.8.2;io.arrow-kt:arrow-instances-data:0.8.2;io.arrow-kt:arrow-effects-instances:0.8.2;io.arrow-kt:arrow-recursion:0.8.2;org.jetbrains.kotlin:kotlin-stdlib-jdk7:1.3.11;org.jetbrains.kotlin:kotlin-stdlib:1.3.11;org.jetbrains.kotlin:kotlin-stdlib-common:1.3.11;org.jetbrains:annotations:13.0;org.jetbrains.kotlinx:kotlinx-coroutines-core:1.1.0;org.jetbrains.kotlinx:kotlinx-coroutines-core-common:1.1.0;io.kotlintest:kotlintest:2.0.7;junit:junit:4.12;org.hamcrest:hamcrest-core:1.3;org.jetbrains.kotlin:kotlin-reflect:1.1.51;org.mockito:mockito-core:2.7.11;net.bytebuddy:byte-buddy:1.6.5;net.bytebuddy:byte-buddy-agent:1.6.5;org.objenesis:objenesis:2.5;org.reflections:reflections:0.9.11;com.google.guava:guava:20.0;org.javassist:javassist:3.21.0-GA
6,io.arrow-kt:arrow-test:0.8.2,io.arrow-kt:arrow-optics:0.8.2,2,5623,95,30147,2722,81,2609,io.arrow-kt:arrow-test:0.8.2;io.arrow-kt:arrow-data:0.8.2;io.arrow-kt:arrow-annotations:0.8.2;io.kindedj:kindedj:1.1.0;io.arrow-kt:arrow-typeclasses:0.8.2;io.arrow-kt:arrow-core:0.8.2;io.arrow-kt:arrow-effects:0.8.2;io.arrow-kt:arrow-mtl:0.8.2;io.arrow-kt:arrow-free:0.8.2;io.arrow-kt:arrow-instances-core:0.8.2;io.arrow-kt:arrow-instances-data:0.8.2;io.arrow-kt:arrow-effects-instances:0.8.2;io.arrow-kt:arrow-recursion:0.8.2;org.jetbrains.kotlin:kotlin-stdlib-jdk7:1.3.11;org.jetbrains.kotlin:kotlin-stdlib:1.3.11;org.jetbrains.kotlin:kotlin-stdlib-common:1.3.11;org.jetbrains:annotations:13.0;org.jetbrains.kotlinx:kotlinx-coroutines-core:1.1.0;org.jetbrains.kotlinx:kotlinx-coroutines-core-common:1.1.0;io.kotlintest:kotlintest:2.0.7;junit:junit:4.12;org.hamcrest:hamcrest-core:1.3;org.jetbrains.kotlin:kotlin-reflect:1.1.51;org.mockito:mockito-core:2.7.11;net.bytebuddy:byte-buddy:1.6.5;net.bytebuddy:byte-buddy-agent:1.6.5;org.objenesis:objenesis:2.5;org.reflections:reflections:0.9.11;com.google.guava:guava:20.0;org.javassist:javassist:3.21.0-GA
7,io.arrow-kt:arrow-test:0.8.2,io.arrow-kt:arrow-effects:0.8.2,210,2408,207,12108,1901,1289,23053,io.arrow-kt:arrow-test:0.8.2;io.arrow-kt:arrow-data:0.8.2;io.arrow-kt:arrow-annotations:0.8.2;io.kindedj:kindedj:1.1.0;io.arrow-kt:arrow-typeclasses:0.8.2;io.arrow-kt:arrow-core:0.8.2;io.arrow-kt:arrow-optics:0.8.2;io.arrow-kt:arrow-mtl:0.8.2;io.arrow-kt:arrow-free:0.8.2;io.arrow-kt:arrow-instances-core:0.8.2;io.arrow-kt:arrow-instances-data:0.8.2;io.arrow-kt:arrow-effects-instances:0.8.2;io.arrow-kt:arrow-recursion:0.8.2;org.jetbrains.kotlin:kotlin-stdlib-jdk7:1.3.11;org.jetbrains.kotlin:kotlin-stdlib:1.3.11;org.jetbrains.kotlin:kotlin-stdlib-common:1.3.11;org.jetbrains:annotations:13.0;org.jetbrains.kotlinx:kotlinx-coroutines-core:1.1.0;org.jetbrains.kotlinx:kotlinx-coroutines-core-common:1.1.0;io.kotlintest:kotlintest:2.0.7;junit:junit:4.12;org.hamcrest:hamcrest-core:1.3;org.jetbrains.kotlin:kotlin-reflect:1.1.51;org.mockito:mockito-core:2.7.11;net.bytebuddy:byte-buddy:1.6.5;net.bytebuddy:byte-buddy-agent:1.6.5;org.objenesis:objenesis:2.5;org.reflections:reflections:0.9.11;com.google.guava:guava:20.0;org.javassist:javassist:3.21.0-GA
8,io.arrow-kt:arrow-test:0.8.2,io.arrow-kt:arrow-mtl:0.8.2,4,3981,299,3357,2613,304,2594,io.arrow-kt:arrow-test:0.8.2;io.arrow-kt:arrow-data:0.8.2;io.arrow-kt:arrow-annotations:0.8.2;io.kindedj:kindedj:1.1.0;io.arrow-kt:arrow-typeclasses:0.8.2;io.arrow-kt:arrow-core:0.8.2;io.arrow-kt:arrow-optics:0.8.2;io.arrow-kt:arrow-effects:0.8.2;io.arrow-kt:arrow-free:0.8.2;io.arrow-kt:arrow-instances-core:0.8.2;io.arrow-kt:arrow-instances-data:0.8.2;io.arrow-kt:arrow-effects-instances:0.8.2;io.arrow-kt:arrow-recursion:0.8.2;org.jetbrains.kotlin:kotlin-stdlib-jdk7:1.3.11;org.jetbrains.kotlin:kotlin-stdlib:1.3.11;org.jetbrains.kotlin:kotlin-stdlib-common:1.3.11;org.jetbrains:annotations:13.0;org.jetbrains.kotlinx:kotlinx-coroutines-core:1.1.0;org.jetbrains.kotlinx:kotlinx-coroutines-core-common:1.1.0;io.kotlintest:kotlintest:2.0.7;junit:junit:4.12;org.hamcrest:hamcrest-core:1.3;org.jetbrains.kotlin:kotlin-reflect:1.1.51;org.mockito:mockito-core:2.7.11;net.bytebuddy:byte-buddy:1.6.5;net.bytebuddy:byte-buddy-agent:1.6.5;org.objenesis:objenesis:2.5;org.reflections:reflections:0.9.11;com.google.guava:guava:20.0;org.javassist:javassist:3.21.0-GA
9,io.arrow-kt:arrow-test:0.8.2,io.arrow-kt:arrow-free:0.8.2,105,528,35,959,312,1148,9249,io.arrow-kt:arrow-test:0.8.2;io.arrow-kt:arrow-data:0.8.2;io.arrow-kt:arrow-annotations:0.8.2;io.kindedj:kindedj:1.1.0;io.arrow-kt:arrow-typeclasses:0.8.2;io.arrow-kt:arrow-core:0.8.2;io.arrow-kt:arrow-optics:0.8.2;io.arrow-kt:arrow-effects:0.8.2;io.arrow-kt:arrow-mtl:0.8.2;io.arrow-kt:arrow-instances-core:0.8.2;io.arrow-kt:arrow-instances-data:0.8.2;io.arrow-kt:arrow-effects-instances:0.8.2;io.arrow-kt:arrow-recursion:0.8.2;org.jetbrains.kotlin:kotlin-stdlib-jdk7:1.3.11;org.jetbrains.kotlin:kotlin-stdlib:1.3.11;org.jetbrains.kotlin:kotlin-stdlib-common:1.3.11;org.jetbrains:annotations:13.0;org.jetbrains.kotlinx:kotlinx-coroutines-core:1.1.0;org.jetbrains.kotlinx:kotlinx-coroutines-core-common:1.1.0;io.kotlintest:kotlintest:2.0.7;junit:junit:4.12;org.hamcrest:hamcrest-core:1.3;org.jetbrains.kotlin:kotlin-reflect:1.1.51;org.mockito:mockito-core:2.7.11;net.bytebuddy:byte-buddy:1.6.5;net.bytebuddy:byte-buddy-agent:1.6.5;org.objenesis:objenesis:2.5;org.reflections:reflections:0.9.11;com.google.guava:guava:20.0;org.javassist:javassist:3.21.0-GA
