number,coordinate,occurrence,isolatedRevisionTime,internalNodes,externalNodes,internalEdges,externalEdges
0,org.tinygroup:org.tinygroup.loader:2.0.6,1,15,9,22,4,31
1,org.springframework:spring-aop:2.5.6,1,269,1424,525,2236,2551
2,org.tinygroup:org.tinygroup.beancontainer:2.0.6,1,9,14,5,0,5
3,org.apache.maven.wagon:wagon-http-lightweight:1.0-beta-6,1,16,22,69,12,116
4,dom4j:dom4j:1.6.1,1,313,2775,522,6023,2674
5,com.google.apis:google-api-services-ml:v1-rev62-1.23.0,1,135,1719,41,1221,534
6,org.codehaus.plexus:plexus-component-annotations:1.5.5,1,20,19,0,0,0
7,concurrent:concurrent:1.0,1,363,1403,293,4381,1607
8,org.tinygroup:org.tinygroup.formater:2.0.6,1,16,51,30,9,40
9,org.tinygroup:org.tinygroup.config:2.0.6,1,19,56,55,17,97
10,org.tinygroup:org.tinygroup.threadgroup:2.0.6,1,117,19,26,4,31
11,org.javassist:javassist:3.18.1-GA,1,547,3770,500,10906,3626
12,com.google.guava:failureaccess:1.0,1,13,4,1,0,1
13,org.springframework:spring-test:4.2.5.RELEASE,1,320,2741,940,2714,4602
14,software.amazon.ion:ion-java:1.0.2,2,579,3807,386,8537,2867
15,com.amazonaws:aws-java-sdk-sqs:1.11.676,1,260,1835,265,2148,2360
16,org.tinygroup:org.tinygroup.xstream:2.0.6,1,13,44,13,3,23
17,org.apache.httpcomponents:httpcore:4.4.11,1,257,1674,348,2925,1613
18,com.github.shiver-me-timbers:smt-aws-cfn-cr-kms-decrypt:1.2,1,60,32,13,15,27
19,org.ops4j.pax.url:pax-url-aether:1.2.8,1,2922,13720,1462,137521,18333
20,stax:stax-api:1.0.1,1,35,340,48,72,94
21,org.slf4j:slf4j-api:1.7.7,1,40,322,87,307,206
22,com.google.guava:listenablefuture:9999.0-empty-to-avoid-conflict-with-guava,1,11,0,0,0,0
23,com.fasterxml.jackson.core:jackson-annotations:2.8.0,1,50,272,55,127,149
24,com.google.api-client:google-api-client:1.23.0,1,149,1000,522,765,1126
25,org.tinygroup:org.tinygroup.context:2.0.6,1,19,77,22,83,71
26,org.tinygroup:org.tinygroup.spring256:2.0.6,1,9,0,0,0,0
27,org.sonatype.aether:aether-spi:1.7,1,15,89,9,49,22
28,org.tinygroup:org.tinygroup.vfs:2.0.6,1,54,204,127,293,448
29,org.tinygroup:org.tinygroup.springutil:2.0.6,1,24,67,101,34,199
30,com.google.collections:google-collections:1.0,1,488,4074,335,39870,2724
31,org.apache.xbean:xbean-reflect:3.4,1,131,508,313,795,1281
32,org.codehaus.plexus:plexus-classworlds:2.2.2,1,35,256,130,377,331
33,org.springframework:spring-jdbc:2.5.6,1,237,1928,524,2181,2656
34,com.amazonaws:aws-lambda-java-log4j:1.0.0,1,18,4,13,0,13
35,joda-time:joda-time:2.10.1,1,608,4485,343,23435,2387
36,commons-logging:commons-logging:1.0.4,1,41,251,127,177,359
37,commons-logging:commons-logging:1.1.1,2,76,335,198,380,588
38,org.apache.maven:maven-aether-provider:3.0,1,80,137,300,86,588
39,com.google.guava:guava:27.0-jre,1,2390,16542,1635,133450,12656
40,org.tinygroup:org.tinygroup.i18n:2.0.6,1,27,96,53,67,118
41,org.springframework:spring-webmvc:2.5.6,1,274,2025,879,2012,3419
42,org.tinygroup:org.tinygroup.xmlparser:2.0.6,1,25,64,67,60,144
43,commons-codec:commons-codec:1.2,1,50,148,51,249,152
44,com.google.http-client:google-http-client-jackson2:1.23.0,1,24,50,45,11,53
45,com.thoughtworks.feature:untyper_2.12:2.2.1,1,54,93,157,116,318
46,com.google.errorprone:error_prone_annotations:2.2.0,1,14,15,0,0,0
47,org.apache.maven.wagon:wagon-http-shared:1.0-beta-6,1,28,68,168,41,236
48,org.typelevel:scala-library:2.12.4-bin-typelevel-4,1,10841,53890,920,606425,10078
49,org.tinygroup:org.tinygroup.parser:2.0.6,1,37,214,54,93,240
50,com.fasterxml.jackson.core:jackson-databind:2.6.7.3,1,1002,6700,916,25137,6830
51,org.apache.httpcomponents:httpcore:4.0.1,1,118,951,162,1478,823
52,commons-net:commons-net:3.3,1,220,1713,435,2231,1967
53,org.tinygroup:org.tinygroup.order:2.0.6,1,29,35,67,37,123
54,org.tinygroup:org.tinygroup.binarytree:2.0.6,1,28,75,12,108,28
55,org.tinygroup:org.tinygroup.commons:2.0.6,1,301,1283,551,1249,2109
56,org.tinygroup:org.tinygroup.fileresolver:2.0.6,1,44,211,156,128,455
57,com.googlecode.gwt-crypto:gwt-crypto:2.3.0,1,205,530,59,798,336
58,org.springframework:spring-beans:4.2.5.RELEASE,1,485,2696,919,4719,5424
59,org.apache.httpcomponents:httpclient:4.5.9,1,704,3100,1070,4818,5502
60,org.springframework:spring-orm:2.5.6,1,262,1829,862,1572,2780
61,javassist:javassist:3.12.1.GA,1,705,3557,483,10185,3480
62,org.slf4j:slf4j-api:1.7.18,1,57,447,104,466,246
63,commons-lang:commons-lang:2.6,1,371,2369,424,3643,2765
64,org.tinygroup:org.tinygroup.testutil:2.0.6,1,29,19,83,9,102
65,com.amap.api:navi-solo:1.9.3,1,756,3585,1182,5151,5275
66,com.fasterxml.jackson.core:jackson-core:2.6.7,1,278,1847,226,3894,1185
67,com.amazonaws:aws-java-sdk-core:1.11.202,1,623,4532,1061,5915,5190
68,org.springframework:spring-core:4.2.5.RELEASE,1,838,5037,1099,11711,7371
69,org.sonatype.aether:aether-connector-wagon:1.7,1,41,64,155,68,231
70,org.tinygroup:org.tinygroup.application:2.0.6,1,13,27,18,0,25
71,org.springframework:spring-core:2.5.6,1,272,1688,580,2550,2758
72,javax.persistence:javax.persistence-api:2.2,1,60,1074,41,98,192
73,com.amazonaws:aws-lambda-java-core:1.1.0,1,20,32,2,1,3
74,org.codehaus.mojo:animal-sniffer-annotations:1.17,1,16,0,0,0,0
75,org.codehaus.plexus:plexus-container-default:1.5.4,1,133,1112,299,1325,1305
76,org.slf4j:slf4j-log4j12:1.7.7,1,15,56,38,7,128
77,org.scala-lang:scala-library:2.12.0,1,19326,63009,908,1868036,16389
78,commons-collections:commons-collections:3.1,1,986,4021,463,53762,4223
79,commons-logging:commons-logging:1.1.3,2,106,337,200,384,592
80,org.apache.maven.wagon:wagon-file:1.0-beta-6,1,12,10,43,3,86
81,org.springframework:spring-beans:2.5.6,1,356,2102,640,3348,4203
82,commons-codec:commons-codec:1.9,1,157,625,177,776,918
83,org.codehaus.jettison:jettison:1.3.3,1,64,494,233,776,740
84,com.thoughtworks.extractor:extractor_2.12:2.1.0,1,26,168,45,71,155
85,org.apache.maven:maven-model:3.0,1,335,1082,138,2265,2210
86,com.newrelic.agent.android:class-rewriter:5.6.1,1,7885,22421,2208,177670,20193
87,org.apache.maven:maven-model-builder:3.0,1,140,613,450,657,1332
88,org.jboss.logging:jboss-logging-annotations:1.2.0.Beta1,1,13,27,3,2,8
89,com.google.code.findbugs:jsr305:1.3.9,1,19,30,12,5,16
90,org.springframework:spring-orm:4.2.5.RELEASE,1,310,2182,833,1884,3589
91,org.springframework:spring-aop:4.2.5.RELEASE,1,199,1493,592,2307,2671
92,org.apache.httpcomponents:httpcore:4.4.4,1,271,1652,336,2852,1561
93,org.springframework:spring-jdbc:4.2.5.RELEASE,1,273,2161,601,2473,3177
94,commons-logging:commons-logging:1.2,1,90,337,199,381,587
95,org.codehaus.plexus:plexus-utils:2.0.5,1,227,1251,445,1833,2625
96,com.google.guava:guava:16.0.1,1,1789,12928,1256,105855,9575
97,com.google.http-client:google-http-client:1.23.0,1,248,2007,608,3550,2088
98,commons-httpclient:commons-httpclient:3.1,1,281,1822,357,2955,2768
99,one.util:streamex:0.6.7,1,608,4971,656,28715,4142
100,commons-pool:commons-pool:1.4,1,120,587,119,1455,679
101,commons-codec:commons-codec:1.3,1,59,213,57,326,250
102,org.springframework:spring-web:2.5.6,1,126,911,633,657,1837
103,com.github.shiver-me-timbers:smt-aws-cfn-cr-scaffold:1.2,1,62,63,37,47,82
104,com.amazonaws:aws-java-sdk-core:1.11.676,1,791,5113,1146,6780,5794
105,xmlpull:xmlpull:1.1.3.1,1,19,81,35,10,65
106,commons-lang:commons-lang:2.4,1,287,2182,393,3224,2591
107,org.jresearch.commons.base.resources:org.jresearch.commons.base.resources.impl:1.0.9,1,29,73,113,37,336
108,joda-time:joda-time:2.8.1,2,706,4425,328,23104,2276
109,org.apache.maven.wagon:wagon-provider-api:1.0-beta-6,1,123,358,121,222,415
110,org.apache.httpcomponents:httpclient:4.0.1,1,242,1233,552,1426,2390
111,com.amazonaws:jmespath-java:1.11.202,1,32,127,38,263,110
