number,coordinate,occurrence,isolatedRevisionTime,internalNodes,externalNodes,internalEdges,externalEdges
0,com.google.apis:google-api-services-bigquerydatatransfer:v1-rev92-1.22.0,1,32,1372,0,0,0
1,com.google.guava:guava-jdk5:17.0,1,359,11984,0,0,0
2,org.openscience.cdk:cdk-standard:1.5.15,1,56,1006,0,0,0
3,commons-logging:commons-logging:1.1.1,1,16,335,0,0,0
4,org.apache.commons:commons-compress:1.2,1,134,798,163,431,420
5,com.fasterxml.jackson.core:jackson-core:2.1.3,1,52,1383,0,0,0
6,org.slf4j:slf4j-api:1.6.2,1,20,249,0,0,0
7,org.apache.mina:mina-core:1.1.7,1,74,2056,0,0,0
8,commons-io:commons-io:1.4,1,32,693,0,0,0
9,com.google.oauth-client:google-oauth-client:1.22.0,1,22,469,0,0,0
10,com.linkedin.pegasus:data:2.1.0,1,68,2178,0,0,0
11,org.json:json:20070829,1,131,195,101,471,389
12,com.google.code.findbugs:jsr305:1.3.9,1,17,30,0,0,0
13,net.sf.jni-inchi:jni-inchi:0.8,1,42,206,31,38,62
14,javax.mail:mail:1.4.1,1,73,2252,18,11,31
15,org.apache.httpcomponents:httpcore:4.0.1,1,36,951,0,0,0
16,org.eclipse.jetty.aggregate:jetty-all:8.1.8.v20121106,1,305,9024,112,92,236
17,net.sf.jnati:jnati-deploy:0.4,1,18,130,0,0,0
18,com.google.http-client:google-http-client:1.22.0,1,53,2007,0,0,0
19,com.fasterxml.jackson.core:jackson-core:2.4.3,1,55,1545,0,0,0
20,org.openscience.cdk:cdk-interfaces:1.5.15,1,35,493,0,0,0
21,com.linkedin.pegasus:r2-jetty:2.1.0,1,11,12,0,0,0
22,com.linkedin.pegasus:pegasus-common:2.1.0,1,11,121,0,0,0
23,com.google.http-client:google-http-client-jackson2:1.22.0,1,8,50,0,0,0
24,org.openscience.cdk:cdk-inchi:1.5.15,1,20,49,0,0,0
25,org.openscience.cdk:cdk-core:1.5.15,1,68,1062,0,0,0
26,commons-lang:commons-lang:2.4,1,68,2182,0,0,0
27,javax.activation:activation:1.1,1,15,264,0,0,0
28,org.apache.httpcomponents:httpclient:4.0.1,1,46,1233,0,0,0
29,net.sf.jnati:jnati-core:0.4,1,21,56,46,9,59
30,commons-codec:commons-codec:1.3,1,22,213,0,0,0
31,com.google.guava:guava:17.0,1,434,12985,0,0,0
32,org.eclipse.jetty.orbit:javax.servlet:3.0.0.v201112011016,1,25,604,0,0,0
33,org.jboss.netty:netty:3.2.3.Final,1,140,4035,67,39,89
34,javax.servlet:javax.servlet-api:3.0.1,1,20,604,0,0,0
35,com.google.api-client:google-api-client:1.22.0,1,32,996,0,0,0
36,javax.vecmath:vecmath:1.5.2,1,81,1351,0,0,0
37,org.iq80.snappy:snappy:0.3,1,130,152,48,121,105
38,com.linkedin.pegasus:r2:2.1.0,1,39,972,0,0,0
39,log4j:log4j:1.2.14,1,244,1763,481,1009,1684
